WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Langat 2,2021-07-10,pH,7.14,7.25,7.33
Langat 2,2021-07-11,pH,7.22,7.26,7.29
Langat 2,2021-07-12,pH,7.02,7.15,7.24
Langat 2,2021-07-15,pH,7.36,7.41,7.48
Langat 2,2021-07-16,pH,7.32,7.37,7.4
Langat 2,2021-07-17,pH,7.31,7.38,7.43
Langat 2,2021-07-18,pH,7.42,7.48,7.56
Langat 2,2021-07-19,pH,7.4,7.43,7.48
Langat 2,2021-07-20,pH,7.21,7.37,7.55
Langat 2,2021-07-21,pH,7.24,7.41,7.49
Langat 2,2021-07-22,pH,7.4,7.44,7.52
Langat 2,2021-07-23,pH,7.44,7.49,7.52
Langat 2,2021-07-24,pH,7.46,7.48,7.53
Langat 2,2021-07-25,pH,7.42,7.5,7.53
Langat 2,2021-07-26,pH,7.4,7.44,7.5
Langat 2,2021-07-27,pH,7.4,7.48,7.55
Langat 2,2021-07-28,pH,7.4,7.5,7.62
Langat 2,2021-07-29,pH,7.5,7.58,7.73
Langat 2,2021-07-30,pH,7.48,7.53,7.6
Langat 2,2021-07-31,pH,7.45,7.5,7.55
Langat 2,2021-08-06,pH,7.25,7.34,7.45
Langat 2,2021-08-07,pH,7.62,7.7,7.86
Langat 2,2021-08-08,pH,7.4,7.46,7.53
Langat 2,2021-08-09,pH,7.26,7.31,7.33
Langat 2,2021-08-10,pH,7.17,7.19,7.2
Langat 2,2021-08-11,pH,7.0,7.18,7.29
Langat 2,2021-08-12,pH,7.13,7.17,7.19
Langat 2,2021-08-13,pH,6.99,7.14,7.31
Langat 2,2021-08-14,pH,7.09,7.16,7.2
Langat 2,2021-08-15,pH,7.19,7.31,7.38
Langat 2,2021-08-16,pH,7.36,7.81,7.99
Langat 2,2021-08-19,pH,7.77,7.86,7.94
Langat 2,2021-08-24,pH,7.06,7.18,7.42
Langat 2,2021-08-26,pH,7.19,7.2,7.22
Langat 2,2021-08-27,pH,7.15,7.28,7.37
Langat 2,2021-08-28,pH,7.26,7.35,7.39
Langat 2,2021-08-29,pH,7.18,7.22,7.26
Langat 2,2021-08-30,pH,7.1,7.2,7.26
Langat 2,2021-08-31,pH,7.1,7.21,7.35
Langat 2,2021-09-05,pH,7.05,7.1,7.16
Langat 2,2021-09-06,pH,7.25,7.3,7.35
Langat 2,2021-09-07,pH,7.6,7.66,7.78
Langat 2,2021-09-08,pH,7.36,7.41,7.44
Langat 2,2021-09-09,pH,7.32,7.4,7.5
Langat 2,2021-09-10,pH,7.13,7.19,7.24
Langat 2,2021-09-12,pH,7.2,7.25,7.31
Langat 2,2021-09-13,pH,7.13,7.19,7.29
Langat 2,2021-09-15,pH,7.04,7.17,7.22
Langat 2,2021-09-16,pH,7.16,7.25,7.37
Langat 2,2021-09-20,pH,7.03,7.12,7.22
Langat 2,2021-09-22,pH,7.09,7.14,7.17
Langat 2,2021-09-23,pH,7.07,7.16,7.29
Langat 2,2021-09-24,pH,7.11,7.16,7.2
Langat 2,2021-09-25,pH,7.15,7.22,7.42
Langat 2,2021-09-27,pH,7.04,7.14,7.26
Langat 2,2021-09-30,pH,6.7,6.83,6.9
Langat 2,2021-10-04,pH,7.39,7.44,7.56
Langat 2,2021-10-05,pH,7.0,7.14,7.23
Langat 2,2021-10-06,pH,7.23,7.31,7.36
Langat 2,2021-10-08,pH,7.32,7.47,7.57
Langat 2,2021-10-09,pH,7.32,7.43,7.55
Langat 2,2021-10-10,pH,7.15,7.2,7.22
Langat 2,2021-10-11,pH,6.99,7.19,7.4
Langat 2,2021-10-12,pH,7.17,7.23,7.29
Langat 2,2021-10-13,pH,7.09,7.27,7.56
Langat 2,2021-10-14,pH,7.3,7.35,7.4
Langat 2,2021-10-15,pH,7.34,7.41,7.48
Langat 2,2021-10-16,pH,7.14,7.28,7.34
Langat 2,2021-10-17,pH,7.21,7.29,7.36
Langat 2,2021-10-18,pH,7.13,7.28,7.38
Langat 2,2021-10-19,pH,7.31,7.33,7.36
Langat 2,2021-10-20,pH,7.3,7.34,7.38
Langat 2,2021-10-21,pH,7.21,7.31,7.45
Langat 2,2021-10-23,pH,7.08,7.11,7.14
Langat 2,2021-10-24,pH,7.11,7.23,7.32
Langat 2,2021-10-25,pH,7.07,7.11,7.16
Langat 2,2021-10-26,pH,7.0,7.06,7.18
Langat 2,2021-10-27,pH,6.99,7.05,7.17
Langat 2,2021-10-28,pH,6.87,6.93,6.98
Langat 2,2021-10-29,pH,6.9,7.03,7.26
Langat 2,2021-10-30,pH,7.13,7.22,7.26
Langat 2,2021-10-31,pH,7.01,7.21,7.41
Langat 2,2021-11-04,pH,7.32,7.38,7.5
Langat 2,2021-11-05,pH,7.1,7.18,7.26
Langat 2,2021-11-06,pH,7.2,7.31,7.37
Langat 2,2021-11-07,pH,7.56,7.6,7.64
Langat 2,2021-11-08,pH,7.46,7.49,7.52
Langat 2,2021-11-09,pH,7.26,7.3,7.33
Langat 2,2021-11-10,pH,7.1,7.16,7.22
Langat 2,2021-11-11,pH,6.85,6.98,7.15
Langat 2,2021-11-12,pH,7.13,7.2,7.28
Langat 2,2021-11-13,pH,6.81,6.84,6.88
Langat 2,2021-11-14,pH,6.79,6.94,7.08
Langat 2,2021-11-15,pH,7.06,7.18,7.36
Langat 2,2021-11-16,pH,7.11,7.24,7.32
Langat 2,2021-11-17,pH,7.21,7.26,7.28
Langat 2,2021-11-18,pH,7.16,7.32,7.55
Langat 2,2021-11-19,pH,7.22,7.3,7.42
Langat 2,2021-11-20,pH,7.23,7.31,7.39
Langat 2,2021-11-21,pH,7.22,7.3,7.42
Langat 2,2021-11-22,pH,6.7,7.06,7.22
Langat 2,2021-11-23,pH,6.69,7.22,7.55
Langat 2,2021-11-28,pH,7.03,7.07,7.14
Langat 2,2021-11-29,pH,7.07,7.11,7.14
Langat 2,2021-12-04,pH,7.32,7.37,7.43
Langat 2,2021-12-06,pH,7.25,7.34,7.42
Langat 2,2021-12-08,pH,7.13,7.23,7.33
Langat 2,2021-12-09,pH,7.22,7.25,7.28
Langat 2,2021-12-10,pH,7.04,7.1,7.16
Langat 2,2021-12-11,pH,7.2,7.25,7.31
Langat 2,2021-12-12,pH,7.06,7.15,7.33
Langat 2,2021-12-13,pH,6.79,7.07,7.2
Langat 2,2021-12-14,pH,7.09,7.12,7.17
Langat 2,2021-12-15,pH,7.08,7.14,7.19
Langat 2,2021-12-16,pH,6.99,7.09,7.18
Langat 2,2021-12-17,pH,6.89,7.03,7.11
Langat 2,2021-12-18,pH,7.11,7.2,7.22
Langat 2,2021-12-26,pH,6.86,6.95,7.03
Langat 2,2021-12-27,pH,6.92,6.96,6.98
Langat 2,2021-12-28,pH,6.83,6.95,6.99
Langat 2,2021-12-29,pH,6.96,6.98,7.0
Langat 2,2021-12-30,pH,6.96,6.99,7.06
Langat 2,2021-01-05,Turbidity,75.0,156.72,471.0
Langat 2,2021-01-06,Turbidity,48.0,125.83,360.0
Langat 2,2021-01-07,Turbidity,22.0,26.0,28.0
Langat 2,2021-01-08,Turbidity,16.7,22.7,27.0
Langat 2,2021-01-09,Turbidity,33.0,60.83,111.0
Langat 2,2021-01-10,Turbidity,35.0,42.33,49.0
Langat 2,2021-01-11,Turbidity,33.0,60.0,92.0
Langat 2,2021-01-12,Turbidity,28.0,35.5,40.0
Langat 2,2021-02-05,Turbidity,62.0,204.67,615.0
Langat 2,2021-02-06,Turbidity,48.9,75.48,152.0
Langat 2,2021-02-07,Turbidity,20.0,36.5,44.0
Langat 2,2021-02-08,Turbidity,14.0,24.33,34.0
Langat 2,2021-02-09,Turbidity,21.0,44.33,92.0
Langat 2,2021-02-10,Turbidity,22.0,25.83,28.0
Langat 2,2021-02-11,Turbidity,20.0,35.67,68.0
Langat 2,2021-02-12,Turbidity,29.0,29.83,32.0
Langat 2,2021-03-06,Turbidity,33.4,80.02,256.0
Langat 2,2021-03-07,Turbidity,34.0,93.17,210.0
Langat 2,2021-03-08,Turbidity,15.0,19.5,26.0
Langat 2,2021-03-09,Turbidity,18.0,49.0,88.0
Langat 2,2021-03-10,Turbidity,21.0,24.5,26.0
Langat 2,2021-03-11,Turbidity,21.0,34.67,73.0
Langat 2,2021-04-05,Turbidity,75.3,119.23,200.0
Langat 2,2021-04-06,Turbidity,47.0,88.4,199.0
Langat 2,2021-04-07,Turbidity,36.0,110.67,224.0
Langat 2,2021-04-08,Turbidity,13.0,22.33,36.0
Langat 2,2021-04-09,Turbidity,24.0,30.0,38.0
Langat 2,2021-04-10,Turbidity,19.0,32.33,46.0
Langat 2,2021-04-11,Turbidity,20.0,28.67,39.0
Langat 2,2021-04-12,Turbidity,41.0,49.83,64.0
Langat 2,2021-04-13,Turbidity,26.0,44.55,59.0
Langat 2,2021-04-14,Turbidity,25.0,86.17,169.0
Langat 2,2021-04-15,Turbidity,53.0,88.17,153.0
Langat 2,2021-04-16,Turbidity,39.0,85.4,154.0
Langat 2,2021-04-17,Turbidity,38.5,80.47,160.0
Langat 2,2021-04-18,Turbidity,83.0,123.33,153.0
Langat 2,2021-04-19,Turbidity,32.9,63.52,122.0
Langat 2,2021-04-20,Turbidity,37.0,57.33,95.1
Langat 2,2021-04-21,Turbidity,37.0,52.58,65.0
Langat 2,2021-04-22,Turbidity,38.0,60.33,89.5
Langat 2,2021-04-23,Turbidity,61.7,106.1,139.0
Langat 2,2021-04-24,Turbidity,107.0,150.67,213.0
Langat 2,2021-04-25,Turbidity,41.3,50.23,56.0
Langat 2,2021-04-26,Turbidity,29.2,47.03,80.3
Langat 2,2021-04-27,Turbidity,34.0,60.43,112.0
Langat 2,2021-04-28,Turbidity,82.0,143.88,231.0
Langat 2,2021-04-29,Turbidity,60.8,118.78,294.0
Langat 2,2021-05-05,Turbidity,44.3,58.65,89.0
Langat 2,2021-05-06,Turbidity,46.0,91.83,234.0
Langat 2,2021-05-07,Turbidity,52.0,132.33,200.0
Langat 2,2021-05-08,Turbidity,19.0,58.67,212.0
Langat 2,2021-05-09,Turbidity,22.0,29.33,41.0
Langat 2,2021-05-10,Turbidity,33.0,66.17,133.0
Langat 2,2021-05-11,Turbidity,19.0,27.0,51.0
Langat 2,2021-05-12,Turbidity,24.0,27.67,32.0
Langat 2,2021-05-14,Turbidity,83.2,129.2,180.0
Langat 2,2021-05-15,Turbidity,112.0,136.33,182.0
Langat 2,2021-05-17,Turbidity,73.0,101.02,188.0
Langat 2,2021-05-18,Turbidity,55.0,73.45,120.0
Langat 2,2021-05-19,Turbidity,65.0,102.32,151.0
Langat 2,2021-05-21,Turbidity,92.0,140.17,217.0
Langat 2,2021-05-22,Turbidity,60.8,83.62,147.0
Langat 2,2021-05-23,Turbidity,42.0,155.17,416.0
Langat 2,2021-05-24,Turbidity,32.0,38.1,45.0
Langat 2,2021-05-25,Turbidity,26.9,32.9,36.2
Langat 2,2021-05-26,Turbidity,45.0,105.5,210.0
Langat 2,2021-05-27,Turbidity,62.0,158.6,288.0
Langat 2,2021-05-29,Turbidity,37.6,57.7,75.0
Langat 2,2021-05-30,Turbidity,66.0,173.45,272.0
Langat 2,2021-05-31,Turbidity,36.0,127.05,445.0
Langat 2,2021-06-05,Turbidity,36.6,74.17,142.0
Langat 2,2021-06-06,Turbidity,51.0,108.58,195.0
Langat 2,2021-06-07,Turbidity,50.0,83.5,142.0
Langat 2,2021-06-08,Turbidity,21.0,30.0,45.0
Langat 2,2021-06-09,Turbidity,14.0,20.0,23.0
Langat 2,2021-06-10,Turbidity,19.0,72.83,292.0
Langat 2,2021-06-11,Turbidity,44.0,147.0,298.0
Langat 2,2021-06-12,Turbidity,30.0,52.83,69.0
Langat 2,2021-06-13,Turbidity,21.0,52.67,128.0
Langat 2,2021-06-14,Turbidity,42.0,87.82,234.0
Langat 2,2021-06-18,Turbidity,86.0,133.0,242.0
