,wtp,Date,Aluminium_avg,Ammonia_avg,Color_avg,Chlorine_avg,E.coli_avg,Iron_avg,Fluoride_avg,FRChlorine_avg,flow_rate_avg,Manganese_avg,Odor_avg,Taste_avg,Total_coliform_avg,Turbidity_avg,Weather_avg,pH_avg
5224,Sungai Selisek,7/16/2020,0.0,1.84,788.92,0.0,0.0,1.99,0.0,0.0,94.58,0.39,0.0,0.0,0.0,256.6,0.0,6.23
5225,Sungai Selisek,7/17/2020,0.0,3.25,1342.92,0.0,0.0,1.47,0.0,0.0,89.5,0.89,0.0,0.0,0.0,448.58,0.0,5.99
5226,Sungai Selisek,7/18/2020,0.0,0.88,479.58,0.0,0.0,1.15,0.0,0.0,89.5,0.2,0.0,0.0,0.0,127.22,0.0,6.13
5227,Sungai Selisek,7/19/2020,0.0,0.94,311.25,0.0,0.0,1.09,0.0,0.0,90.0,0.24,0.0,0.0,0.0,82.08,0.0,6.15
5228,Sungai Selisek,7/2/2020,0.0,0.29,101.18,0.0,0.0,0.8,0.0,0.0,90.0,0.06,0.0,0.0,0.0,32.18,0.0,6.36
5229,Sungai Selisek,7/20/2020,0.0,0.41,156.5,0.0,0.0,0.86,0.0,0.0,93.58,0.11,0.0,0.0,0.0,41.77,0.0,6.17
5230,Sungai Selisek,7/21/2020,0.0,0.55,256.75,0.0,0.0,0.96,0.0,0.0,91.33,0.14,0.0,0.0,0.0,66.78,0.0,6.19
5231,Sungai Selisek,7/22/2020,0.0,1.51,513.17,0.0,0.0,1.18,0.0,0.0,89.83,0.32,0.0,0.0,0.0,145.31,0.0,6.21
5232,Sungai Selisek,7/23/2020,0.0,0.7,259.25,0.0,0.0,1.07,0.0,0.0,89.0,0.19,0.0,0.0,0.0,63.62,0.0,6.2
5233,Sungai Selisek,7/24/2020,0.0,0.42,213.33,0.0,0.0,0.8,0.0,0.0,90.5,0.12,0.0,0.0,0.0,77.77,0.0,6.24
5234,Sungai Selisek,7/25/2020,0.0,0.82,285.33,0.0,0.0,0.99,0.0,0.0,90.0,0.2,0.0,0.0,0.0,101.52,0.0,6.25
5235,Sungai Selisek,7/26/2020,0.0,0.73,318.75,0.0,0.0,1.16,0.0,0.0,89.83,0.26,0.0,0.0,0.0,108.13,0.0,6.45
5236,Sungai Selisek,7/27/2020,0.0,0.53,244.42,0.0,0.0,1.29,0.0,0.0,90.83,0.23,0.0,0.0,0.0,74.59,0.0,6.5
5237,Sungai Selisek,7/28/2020,0.0,0.69,261.58,0.0,0.0,0.75,0.0,0.0,92.0,0.17,0.0,0.0,0.0,71.76,0.0,6.39
5238,Sungai Selisek,7/29/2020,0.0,0.36,144.5,0.0,0.0,0.56,0.0,0.0,91.0,0.12,0.0,0.0,0.0,40.44,0.0,6.44
5239,Sungai Selisek,7/3/2020,0.0,0.49,69.83,0.0,0.0,0.71,0.0,0.0,97.92,0.05,0.0,0.0,0.0,20.96,0.0,6.45
5240,Sungai Selisek,7/30/2020,0.0,0.23,86.58,0.0,0.0,0.72,0.0,0.0,92.0,0.08,0.0,0.0,0.0,26.38,0.0,6.39
5241,Sungai Selisek,7/31/2020,0.0,0.3,127.08,0.0,0.0,0.61,0.0,0.0,95.67,0.09,0.0,0.0,0.0,36.21,0.0,6.54
5242,Sungai Selisek,7/4/2020,0.0,0.89,307.92,0.0,0.0,1.78,0.0,0.0,89.17,0.18,0.0,0.0,0.0,114.41,0.0,6.44
5243,Sungai Selisek,7/5/2020,0.0,1.31,335.08,0.0,0.0,1.77,0.0,0.0,91.25,0.2,0.0,0.0,0.0,99.56,0.0,6.37
5244,Sungai Selisek,7/6/2020,0.0,0.59,171.17,0.0,0.0,1.31,0.0,0.0,91.33,0.16,0.0,0.0,0.0,50.97,0.0,6.3
5245,Sungai Selisek,7/7/2020,0.0,0.65,269.92,0.0,0.0,1.3,0.0,0.0,90.0,0.12,0.0,0.0,0.0,81.95,0.0,6.36
5246,Sungai Selisek,7/8/2020,0.0,1.77,305.17,0.0,0.0,1.54,0.0,0.0,90.5,0.3,0.0,0.0,0.0,107.44,0.0,6.26
5247,Sungai Selisek,7/9/2020,0.0,0.58,158.67,0.0,0.0,0.82,0.0,0.0,93.5,0.1,0.0,0.0,0.0,42.81,0.0,6.3
5248,Sungai Selisek,8/1/2020,0.0,0.36,143.92,0.0,0.0,0.64,0.0,0.0,93.58,0.12,0.0,0.0,0.0,38.66,0.0,6.46
5249,Sungai Selisek,8/10/2020,0.0,0.18,66.0,0.0,0.0,0.69,0.0,0.0,101.0,0.05,0.0,0.0,0.0,26.86,0.0,61.4
5250,Sungai Selisek,8/11/2020,0.0,0.11,76.67,0.0,0.0,0.66,0.0,0.0,99.42,0.06,0.0,0.0,0.0,23.35,0.0,15.84
5251,Sungai Selisek,8/12/2020,0.0,0.2,101.83,0.0,0.0,0.69,0.0,0.0,99.08,0.07,0.0,0.0,0.0,28.23,0.0,6.68
5252,Sungai Selisek,8/13/2020,0.0,0.14,83.92,0.0,0.0,0.61,0.0,0.0,101.25,0.08,0.0,0.0,0.0,23.61,0.0,6.63
5253,Sungai Selisek,8/14/2020,0.0,0.9,647.67,0.0,0.0,0.9,0.0,0.0,95.83,0.21,0.0,0.0,0.0,196.67,0.0,6.24
5254,Sungai Selisek,8/15/2020,0.0,0.42,114.67,0.0,0.0,0.67,0.0,0.0,98.5,0.08,0.0,0.0,0.0,35.26,0.0,16.91
5255,Sungai Selisek,8/16/2020,0.0,0.44,152.33,0.0,0.0,0.96,0.0,0.0,93.08,0.1,0.0,0.0,0.0,48.14,0.0,6.44
5256,Sungai Selisek,8/17/2020,0.0,0.34,118.25,0.0,0.0,0.77,0.0,0.0,100.0,0.1,0.0,0.0,0.0,38.48,0.0,6.5
5257,Sungai Selisek,8/18/2020,0.0,0.52,323.83,0.0,0.0,0.74,0.0,0.0,96.67,0.11,0.0,0.0,0.0,116.53,0.0,6.39
5258,Sungai Selisek,8/19/2020,0.0,0.66,222.08,0.0,0.0,0.89,0.0,0.0,92.17,0.15,0.0,0.0,0.0,62.33,0.0,6.49
5259,Sungai Selisek,8/2/2020,0.0,0.26,77.17,0.0,0.0,0.67,0.0,0.0,92.17,0.06,0.0,0.0,0.0,19.52,0.0,6.61
5260,Sungai Selisek,8/20/2020,0.0,0.55,139.75,0.0,0.0,0.84,0.0,0.0,93.75,0.13,0.0,0.0,0.0,39.27,0.0,6.51
5261,Sungai Selisek,8/21/2020,0.0,0.22,72.67,0.0,0.0,0.59,0.0,0.0,95.5,0.05,0.0,0.0,0.0,24.51,0.0,6.38
5262,Sungai Selisek,8/22/2020,0.0,0.21,73.17,0.0,0.0,0.71,0.0,0.0,94.0,0.07,0.0,0.0,0.0,20.8,0.0,6.36
5263,Sungai Selisek,8/23/2020,0.0,0.28,136.5,0.0,0.0,0.71,0.0,0.0,89.58,0.09,0.0,0.0,0.0,33.43,0.0,6.46
5264,Sungai Selisek,8/24/2020,0.0,0.32,93.33,0.0,0.0,0.62,0.0,0.0,97.67,0.09,0.0,0.0,0.0,31.02,0.0,6.51
5265,Sungai Selisek,8/25/2020,0.0,0.24,91.0,0.0,0.0,0.64,0.0,0.0,97.33,0.05,0.0,0.0,0.0,23.4,0.0,6.51
5266,Sungai Selisek,8/26/2020,0.0,0.27,97.42,0.0,0.0,0.77,0.0,0.0,97.42,0.08,0.0,0.0,0.0,28.94,0.0,6.55
5267,Sungai Selisek,8/27/2020,0.0,0.27,86.75,0.0,0.0,0.74,0.0,0.0,104.5,0.11,0.0,0.0,0.0,28.68,0.0,6.65
5268,Sungai Selisek,8/28/2020,0.0,0.22,146.83,0.0,0.0,0.68,0.0,0.0,97.0,0.06,0.0,0.0,0.0,45.02,0.0,6.49
5269,Sungai Selisek,8/29/2020,0.0,0.8,354.67,0.0,0.0,1.11,0.0,0.0,90.0,0.18,0.0,0.0,0.0,103.73,0.0,6.46
5270,Sungai Selisek,8/3/2020,0.0,0.23,62.67,0.0,0.0,0.65,0.0,0.0,89.92,0.06,0.0,0.0,0.0,17.38,0.0,6.5
5271,Sungai Selisek,8/30/2020,0.0,1.27,592.83,0.0,0.0,1.79,0.0,0.0,89.92,0.4,0.0,0.0,0.0,186.98,0.0,6.38
5272,Sungai Selisek,8/31/2020,0.0,1.25,447.33,0.0,0.0,1.53,0.0,0.0,91.92,0.3,0.0,0.0,0.0,124.55,0.0,6.37
5273,Sungai Selisek,8/4/2020,0.0,0.26,61.75,0.0,0.0,0.67,0.0,0.0,97.5,0.05,0.0,0.0,0.0,17.02,0.0,6.41
5274,Sungai Selisek,8/5/2020,0.0,0.24,63.0,0.0,0.0,0.63,0.0,0.0,95.08,0.05,0.0,0.0,0.0,16.1,0.0,6.3
5275,Sungai Selisek,8/6/2020,0.0,0.35,53.67,0.0,0.0,0.61,0.0,0.0,100.0,0.05,0.0,0.0,0.0,16.2,0.0,6.43
5276,Sungai Selisek,8/7/2020,0.0,0.29,113.91,0.0,0.0,0.8,0.0,0.0,104.09,0.1,0.0,0.0,0.0,32.45,0.0,6.27
5277,Sungai Selisek,8/8/2020,0.0,0.18,77.58,0.0,0.0,0.69,0.0,0.0,93.75,0.05,0.0,0.0,0.0,19.91,0.0,6.43
5278,Sungai Selisek,8/9/2020,0.0,0.2,61.25,0.0,0.0,0.65,0.0,0.0,94.92,0.08,0.0,0.0,0.0,13.81,0.0,6.53
5279,Sungai Selisek,9/1/2020,0.0,1.34,668.58,0.0,0.0,1.53,0.0,0.0,97.33,0.34,0.0,0.0,0.0,207.4,0.0,6.35
5280,Sungai Selisek,9/10/2020,0.0,2.39,865.83,0.0,0.0,1.46,0.0,0.0,92.08,0.58,0.0,0.0,0.0,311.29,0.0,6.41
5281,Sungai Selisek,9/11/2020,0.0,2.54,999.83,0.0,0.0,1.89,0.0,0.0,103.75,0.59,0.0,0.0,0.0,360.58,0.0,6.33
5282,Sungai Selisek,9/12/2020,0.0,1.09,495.92,0.0,0.0,1.04,0.0,0.0,95.92,0.27,0.0,0.0,0.0,144.86,0.0,6.28
5283,Sungai Selisek,9/13/2020,0.0,1.66,609.92,0.0,0.0,1.29,0.0,0.0,91.25,0.44,0.0,0.0,0.0,185.27,0.0,6.2
5284,Sungai Selisek,9/14/2020,0.0,0.55,220.33,0.0,0.0,0.81,0.0,0.0,96.42,0.14,0.0,0.0,0.0,67.29,0.0,6.21
5285,Sungai Selisek,9/15/2020,0.0,0.37,149.0,0.0,0.0,0.91,0.0,0.0,92.5,0.13,0.0,0.0,0.0,46.15,0.0,6.33
5286,Sungai Selisek,9/16/2020,0.0,0.37,110.25,0.0,0.0,0.77,0.0,0.0,91.0,0.08,0.0,0.0,0.0,33.12,0.0,6.21
