,wtp,pH_avg,Date,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Soda_Ash_T,Liquid Chlorine,Sodium Silico Fluoride,Month,Soda Ash,Hydrated Lime,Liquid Polyaluminium Chloride,Sodium Aluminosilicate,Liquid Aluminium Sulphate,Liquid_Chlorine_T,Hydrated_Lime_Pow_T,Flopam FO 4290 PWG,Microsand,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Sodium Silico Fluoride (mg/L)
554,Batang Kali,6.68,2021-02-06,2.31,0.75,0.14,0.0,0.0,7.37,0.02,0.9,2.31,0.51,2,,,,,,,,,,,,
555,Batang Kali,6.69,2021-02-07,2.24,0.5,0.16,0.0,0.0,7.7,0.02,0.9,2.3,0.51,2,,,,,,,,,,,,
556,Batang Kali,6.72,2021-02-08,2.69,0.5,0.16,0.0,0.0,7.5,0.02,0.95,2.26,0.54,2,,,,,,,,,,,,
557,Batang Kali,6.74,2021-02-09,3.5,0.0,0.16,0.0,0.01,10.02,0.02,0.91,2.29,0.51,2,,,,,,,,,,,,
558,Batang Kali,6.75,2021-02-10,2.63,0.0,0.18,0.04,0.01,11.37,0.02,0.9,2.32,0.51,2,,,,,,,,,,,,
559,Batang Kali,6.68,2021-02-11,4.17,4.63,0.16,0.0,0.01,9.93,0.02,0.96,2.07,0.53,2,,,,,,,,,,,,
560,Batang Kali,6.62,2021-02-12,36.9,1.42,0.29,0.0,0.01,14.82,0.02,1.85,2.31,0.52,2,,,,,,,,,,,,
561,Batang Kali,6.71,2021-02-13,28.19,0.63,0.21,0.0,0.01,15.79,0.02,2.15,2.28,0.55,2,,,,,,,,,,,,
562,Batang Kali,6.65,2021-02-14,43.64,2.13,0.16,0.0,0.01,19.19,0.02,2.07,2.28,0.55,2,,,,,,,,,,,,
563,Batang Kali,6.76,2021-02-15,102.12,10.63,0.43,0.0,0.07,18.66,0.02,3.15,2.33,0.56,2,,,,,,,,,,,,
564,Batang Kali,6.67,2021-02-16,17.43,0.17,0.2,0.38,0.04,11.58,0.02,1.78,2.21,0.52,2,,,,,,,,,,,,
565,Batang Kali,6.63,2021-02-17,8.98,0.0,0.17,0.09,0.01,12.3,0.02,1.94,2.14,0.56,2,,,,,,,,,,,,
566,Batang Kali,6.65,2021-02-18,6.43,2.21,0.19,0.06,0.01,11.07,0.02,1.98,2.24,0.5,2,,,,,,,,,,,,
567,Batang Kali,6.84,2021-02-19,7.27,0.25,0.16,0.02,0.01,12.23,0.02,2.03,2.25,0.48,2,,,,,,,,,,,,
568,Batang Kali,6.69,2021-02-20,5.99,0.0,0.2,0.0,0.02,10.48,0.02,1.11,2.18,0.47,2,,,,,,,,,,,,
569,Batang Kali,6.69,2021-02-21,5.96,0.0,0.15,0.0,0.01,9.6,0.02,1.03,2.18,0.46,2,,,,,,,,,,,,
570,Batang Kali,6.72,2021-02-22,5.66,1.5,0.24,0.0,0.02,9.67,0.02,1.05,2.21,0.47,2,,,,,,,,,,,,
571,Batang Kali,6.79,2021-02-23,12.13,0.0,0.25,0.0,0.03,9.57,0.02,0.95,2.25,0.49,2,,,,,,,,,,,,
572,Batang Kali,6.82,2021-02-24,6.38,0.0,0.16,0.09,0.02,10.15,0.02,0.98,2.17,0.44,2,,,,,,,,,,,,
573,Batang Kali,6.7,2021-02-25,2.69,0.0,0.17,0.0,0.0,9.38,0.02,0.99,2.2,0.44,2,,,,,,,,,,,,
574,Batang Kali,6.76,2021-02-26,5.66,0.0,0.2,0.0,0.01,11.68,0.02,1.0,2.11,0.45,2,,,,,,,,,,,,
575,Batang Kali,6.73,2021-02-27,4.3,0.0,0.17,0.0,0.0,11.08,0.02,1.02,2.15,0.46,2,,,,,,,,,,,,
576,Batang Kali,6.87,2021-02-28,5.91,0.0,0.24,0.0,0.02,10.54,0.02,1.03,2.17,0.46,2,,,,,,,,,,,,
577,Rantau Panjang New,6.41,2021-02-01,95.21,198.21,1.32,0.28,0.29,,,,3.63,0.54,2,,10.63,19.61,0.0,,,,,,,,
578,Rantau Panjang New,6.39,2021-02-02,38.42,90.5,0.95,0.17,0.19,,,,3.64,0.55,2,,10.62,17.5,0.0,,,,,,,,
579,Rantau Panjang New,6.39,2021-02-03,56.54,109.88,0.97,0.17,0.17,,,,3.65,0.55,2,,10.67,19.25,0.0,,,,,,,,
580,Rantau Panjang New,6.43,2021-02-04,63.42,119.38,1.21,0.27,0.25,,,,3.69,0.55,2,,10.82,18.94,0.0,,,,,,,,
581,Rantau Panjang New,6.44,2021-02-05,47.75,94.25,1.04,0.21,0.17,,,,3.68,0.55,2,,10.81,18.97,0.0,,,,,,,,
582,Rantau Panjang New,6.45,2021-02-06,51.71,109.67,1.29,0.37,0.31,,,,3.68,0.55,2,,10.8,19.74,0.0,,,,,,,,
583,Rantau Panjang New,6.39,2021-02-07,49.33,103.33,0.93,0.24,0.18,,,,3.71,0.55,2,,10.85,19.84,0.0,,,,,,,,
584,Rantau Panjang New,6.33,2021-02-08,109.25,157.79,1.84,0.44,0.49,,,,3.69,0.55,2,,10.84,21.61,0.0,,,,,,,,
585,Rantau Panjang New,6.39,2021-02-09,63.54,127.25,1.19,0.25,0.27,,,,3.69,0.55,2,,10.83,20.13,0.0,,,,,,,,
586,Rantau Panjang New,6.39,2021-02-10,46.21,101.0,1.02,0.24,0.22,,,,3.69,0.55,2,,10.83,18.96,0.0,,,,,,,,
587,Rantau Panjang New,6.29,2021-02-11,72.58,150.38,0.85,0.2,0.18,,,,3.69,0.55,2,,10.83,20.98,0.0,,,,,,,,
588,Rantau Panjang New,6.32,2021-02-12,69.04,165.79,0.93,0.22,0.19,,,,3.69,0.55,2,,10.84,20.5,0.0,,,,,,,,
589,Rantau Panjang New,6.27,2021-02-13,89.29,206.17,1.33,0.3,0.28,,,,3.69,0.55,2,,10.83,22.23,0.0,,,,,,,,
590,Rantau Panjang New,6.34,2021-02-14,65.79,152.42,0.94,0.16,0.22,,,,3.69,0.55,2,,10.83,20.11,0.0,,,,,,,,
591,Rantau Panjang New,6.36,2021-02-15,54.42,114.33,0.89,0.12,0.16,,,,3.72,0.56,2,,10.91,18.47,0.0,,,,,,,,
592,Rantau Panjang New,6.38,2021-02-16,75.83,130.38,1.17,0.19,0.2,,,,3.73,0.54,2,,10.85,20.85,0.0,,,,,,,,
593,Rantau Panjang New,6.31,2021-02-17,49.79,113.04,0.93,0.21,0.15,,,,3.56,0.51,2,,10.52,16.63,0.0,,,,,,,,
594,Rantau Panjang New,6.4,2021-02-18,41.0,95.25,0.84,0.2,0.16,,,,4.05,0.57,2,,11.54,16.52,0.0,,,,,,,,
595,Rantau Panjang New,6.46,2021-02-19,41.75,101.67,1.02,0.25,0.18,,,,3.86,0.54,2,,10.77,16.97,0.0,,,,,,,,
596,Rantau Panjang New,6.42,2021-02-20,51.04,119.17,0.94,0.31,0.21,,,,3.94,0.5,2,,10.61,16.93,0.0,,,,,,,,
597,Rantau Panjang New,6.45,2021-02-21,34.33,84.21,1.01,0.19,0.19,,,,3.82,0.54,2,,11.19,17.94,0.0,,,,,,,,
598,Rantau Panjang New,6.4,2021-02-22,34.96,97.33,1.0,0.25,0.13,,,,3.73,0.52,2,,10.82,16.87,0.0,,,,,,,,
599,Rantau Panjang New,6.37,2021-02-23,29.88,90.54,0.92,0.18,0.13,,,,3.87,0.51,2,,11.06,17.04,0.0,,,,,,,,
600,Rantau Panjang New,6.39,2021-02-24,30.38,84.38,1.03,0.23,0.18,,,,3.83,0.54,2,,11.25,16.64,0.0,,,,,,,,
601,Rantau Panjang New,6.39,2021-02-25,30.67,87.38,1.12,0.2,0.22,,,,3.8,0.53,2,,10.94,17.11,0.0,,,,,,,,
602,Rantau Panjang New,6.4,2021-02-26,27.67,76.17,0.86,0.19,0.12,,,,3.84,0.53,2,,11.22,16.99,0.0,,,,,,,,
603,Rantau Panjang New,6.35,2021-02-27,36.54,91.5,1.04,0.17,0.16,,,,3.78,0.53,2,,10.9,17.34,0.0,,,,,,,,
604,Rantau Panjang New,6.37,2021-02-28,32.0,87.58,0.84,0.17,0.2,,,,3.86,0.54,2,,10.96,15.82,0.0,,,,,,,,
605,Rantau Panjang Old,6.42,2021-02-01,291.18,536.36,2.26,0.56,0.41,,,,6.6,0.49,2,,2.74,22.48,0.0,,,,,,,,
606,Rantau Panjang Old,6.43,2021-02-02,62.76,200.0,1.22,0.35,0.16,,,,6.56,0.49,2,,2.74,18.69,0.0,,,,,,,,
607,Rantau Panjang Old,6.41,2021-02-03,53.65,200.0,1.43,0.45,0.14,,,,6.54,0.49,2,,2.72,18.24,0.0,,,,,,,,
608,Rantau Panjang Old,6.41,2021-02-04,56.86,192.86,1.87,0.48,0.2,,,,6.57,0.49,2,,2.74,18.5,0.0,,,,,,,,
609,Rantau Panjang Old,6.44,2021-02-05,62.31,200.0,1.26,0.43,0.14,,,,6.68,0.5,2,,2.79,17.96,0.0,,,,,,,,
610,Rantau Panjang Old,6.29,2021-02-06,105.81,243.75,2.19,0.4,0.31,,,,6.65,0.48,2,,2.76,19.54,0.0,,,,,,,,
611,Rantau Panjang Old,6.46,2021-02-07,221.93,407.14,1.68,0.22,0.27,,,,6.53,0.49,2,,2.72,23.19,0.0,,,,,,,,
612,Rantau Panjang Old,6.33,2021-02-08,100.8,253.33,0.85,0.19,0.18,,,,6.85,0.5,2,,2.83,19.82,0.0,,,,,,,,
613,Rantau Panjang Old,6.25,2021-02-09,179.93,300.0,1.09,0.23,0.21,,,,6.66,0.5,2,,2.73,21.79,0.0,,,,,,,,
614,Rantau Panjang Old,6.21,2021-02-10,167.6,300.0,1.02,0.22,0.2,,,,6.83,0.5,2,,2.83,21.58,0.0,,,,,,,,
615,Rantau Panjang Old,6.26,2021-02-11,113.17,270.83,1.1,0.21,0.18,,,,6.38,0.49,2,,2.71,19.41,0.0,,,,,,,,
616,Rantau Panjang Old,6.48,2021-02-12,185.27,300.0,1.28,0.23,0.16,,,,6.27,0.48,2,,2.58,21.45,0.0,,,,,,,,
617,Rantau Panjang Old,6.5,2021-02-13,212.36,364.29,1.61,0.3,0.3,,,,6.24,0.48,2,,2.56,23.72,0.0,,,,,,,,
618,Rantau Panjang Old,6.47,2021-02-14,129.83,300.0,1.57,0.26,0.16,,,,6.28,0.48,2,,2.58,21.66,0.0,,,,,,,,
619,Rantau Panjang Old,6.49,2021-02-15,112.57,267.86,1.13,0.5,0.14,,,,6.4,0.53,2,,2.54,19.9,0.0,,,,,,,,
620,Rantau Panjang Old,6.52,2021-02-16,71.42,254.17,1.49,0.21,0.12,,,,6.44,0.52,2,,2.57,18.24,0.0,,,,,,,,
621,Rantau Panjang Old,6.52,2021-02-17,86.62,250.0,1.82,0.23,0.14,,,,6.44,0.52,2,,2.57,18.31,0.0,,,,,,,,
622,Rantau Panjang Old,6.54,2021-02-18,88.12,250.0,1.31,0.3,0.11,,,,6.45,0.52,2,,2.56,18.28,0.0,,,,,,,,
623,Rantau Panjang Old,6.48,2021-02-19,74.06,233.33,1.32,0.39,0.14,,,,6.41,0.52,2,,2.56,18.23,0.0,,,,,,,,
624,Rantau Panjang Old,6.45,2021-02-20,79.0,236.36,1.25,0.28,0.14,,,,6.44,0.53,2,,2.57,18.39,0.0,,,,,,,,
625,Rantau Panjang Old,6.45,2021-02-21,87.83,254.17,1.51,0.41,0.12,,,,6.54,0.55,2,,2.72,18.88,0.0,,,,,,,,
626,Rantau Panjang Old,6.49,2021-02-22,70.89,222.22,1.22,0.4,0.14,,,,6.59,0.53,2,,2.75,18.23,0.0,,,,,,,,
627,Rantau Panjang Old,6.49,2021-02-23,68.53,200.0,1.31,0.34,0.13,,,,6.37,0.54,2,,2.77,18.41,0.0,,,,,,,,
628,Rantau Panjang Old,6.42,2021-02-24,70.94,200.0,1.31,0.31,0.17,,,,6.34,0.51,2,,2.64,18.24,0.0,,,,,,,,
629,Rantau Panjang Old,6.4,2021-02-25,65.94,200.0,1.36,0.33,0.16,,,,6.33,0.56,2,,2.72,18.2,0.0,,,,,,,,
630,Rantau Panjang Old,6.44,2021-02-26,60.53,200.0,1.08,0.41,0.12,,,,6.31,0.51,2,,2.7,18.39,0.0,,,,,,,,
631,Rantau Panjang Old,6.4,2021-02-27,65.73,200.0,1.12,0.38,0.12,,,,6.24,0.52,2,,2.79,18.4,0.0,,,,,,,,
632,Rantau Panjang Old,6.41,2021-02-28,63.23,200.0,1.04,0.28,0.18,,,,6.29,0.52,2,,2.8,18.41,0.0,,,,,,,,
633,Sungai Rangkap,6.8,2021-02-01,2.73,1.29,0.03,0.04,0.08,0.0,,,4.82,0.5,2,0.0,,,,,,,,,,,
634,Sungai Rangkap,6.82,2021-02-02,1.93,0.96,0.01,0.02,0.08,0.0,,,4.82,0.5,2,0.0,,,,,,,,,,,
635,Sungai Rangkap,6.85,2021-02-03,2.17,1.33,0.03,0.03,0.07,0.0,,,4.8,0.5,2,0.0,,,,,,,,,,,
636,Sungai Rangkap,6.85,2021-02-04,1.91,0.96,0.13,0.12,0.02,0.0,,,4.75,0.5,2,0.0,,,,,,,,,,,
637,Sungai Rangkap,6.85,2021-02-05,1.99,0.79,0.01,0.1,0.05,0.0,,,4.74,0.51,2,0.0,,,,,,,,,,,
638,Sungai Rangkap,6.92,2021-02-06,1.59,2.46,0.14,0.02,0.04,0.0,,,4.76,0.49,2,0.0,,,,,,,,,,,
639,Sungai Rangkap,6.82,2021-02-07,2.29,2.04,0.12,0.02,0.04,0.0,,,4.57,0.5,2,0.0,,,,,,,,,,,
640,Sungai Rangkap,6.97,2021-02-08,2.16,0.96,0.08,0.04,0.02,0.0,,,4.66,0.48,2,0.0,,,,,,,,,,,
641,Sungai Rangkap,6.84,2021-02-09,1.76,0.29,0.14,0.07,0.04,0.0,,,4.66,0.48,2,0.0,,,,,,,,,,,
642,Sungai Rangkap,6.83,2021-02-10,1.9,1.63,0.1,0.02,0.04,0.0,,,4.64,0.49,2,0.0,,,,,,,,,,,
643,Sungai Rangkap,6.87,2021-02-11,2.23,0.71,0.09,0.02,0.02,0.0,,,4.61,0.5,2,0.0,,,,,,,,,,,
644,Sungai Rangkap,6.73,2021-02-12,2.5,1.71,0.14,0.03,0.04,0.0,,,4.56,0.5,2,0.0,,,,,,,,,,,
645,Sungai Rangkap,6.89,2021-02-13,2.42,0.13,0.06,0.04,0.03,0.0,,,4.63,0.5,2,0.0,,,,,,,,,,,
646,Sungai Rangkap,6.89,2021-02-14,1.47,1.13,0.09,0.06,0.03,0.0,,,4.69,0.49,2,0.0,,,,,,,,,,,
647,Sungai Rangkap,6.93,2021-02-15,1.89,1.25,0.09,0.06,0.02,0.0,,,4.7,0.47,2,0.0,,,,,,,,,,,
648,Sungai Rangkap,6.91,2021-02-16,1.61,0.5,0.08,0.05,0.05,0.0,,,4.7,0.47,2,0.0,,,,,,,,,,,
649,Sungai Rangkap,6.88,2021-02-17,1.59,0.63,0.1,0.05,0.05,0.0,,,4.7,0.46,2,0.0,,,,,,,,,,,
650,Sungai Rangkap,6.87,2021-02-18,1.42,1.33,0.07,0.04,0.02,0.0,,,4.77,0.47,2,0.0,,,,,,,,,,,
651,Sungai Rangkap,6.89,2021-02-19,1.18,0.96,0.08,0.04,0.03,0.0,,,4.76,0.47,2,0.0,,,,,,,,,,,
652,Sungai Rangkap,6.83,2021-02-20,1.53,1.79,0.07,0.02,0.06,0.0,,,4.7,0.46,2,0.0,,,,,,,,,,,
653,Sungai Rangkap,6.88,2021-02-21,2.34,0.38,0.11,0.1,0.02,0.0,,,4.74,0.47,2,0.0,,,,,,,,,,,
654,Sungai Rangkap,6.87,2021-02-22,1.98,0.21,0.1,0.02,0.04,0.0,,,4.65,0.47,2,0.0,,,,,,,,,,,
655,Sungai Rangkap,6.88,2021-02-23,1.7,1.08,0.04,0.04,0.06,0.0,,,4.68,0.47,2,0.0,,,,,,,,,,,
656,Sungai Rangkap,6.82,2021-02-24,1.33,1.71,0.04,0.02,0.05,0.0,,,4.67,0.46,2,0.0,,,,,,,,,,,
657,Sungai Rangkap,6.84,2021-02-25,1.27,1.0,0.03,0.01,0.02,0.0,,,4.65,0.46,2,0.0,,,,,,,,,,,
658,Sungai Rangkap,6.86,2021-02-26,1.59,0.17,0.02,0.02,0.03,0.0,,,4.7,0.47,2,0.0,,,,,,,,,,,
659,Sungai Rangkap,6.83,2021-02-27,1.41,2.13,0.12,0.02,0.04,0.0,,,4.65,0.46,2,0.0,,,,,,,,,,,
660,Sungai Rangkap,6.74,2021-02-28,2.14,1.08,0.13,0.02,0.03,0.0,,,4.57,0.46,2,0.0,,,,,,,,,,,
661,Kuala Kubu Bharu,6.96,2021-02-01,2.67,7.21,0.01,0.0,0.02,0.0,,,2.45,0.5,2,2.0,,,,,,,,,,,
662,Kuala Kubu Bharu,6.98,2021-02-02,2.68,8.42,0.01,0.02,0.02,0.0,,,2.51,0.51,2,2.0,,,,,,,,,,,
663,Kuala Kubu Bharu,7.0,2021-02-03,2.86,7.83,0.02,0.01,0.02,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
664,Kuala Kubu Bharu,7.02,2021-02-04,2.77,8.42,0.03,0.02,0.01,0.0,,,2.5,0.5,2,2.0,,,,,,,,,,,
665,Kuala Kubu Bharu,6.97,2021-02-05,2.21,6.75,0.01,0.03,0.02,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
666,Kuala Kubu Bharu,6.87,2021-02-06,2.58,9.5,0.03,0.02,0.02,0.0,,,2.48,0.51,2,2.0,,,,,,,,,,,
667,Kuala Kubu Bharu,6.84,2021-02-07,2.54,6.88,0.02,0.01,0.03,0.0,,,2.48,0.51,2,2.0,,,,,,,,,,,
668,Kuala Kubu Bharu,6.87,2021-02-08,2.41,6.58,0.02,0.01,0.03,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
669,Kuala Kubu Bharu,6.91,2021-02-09,2.46,9.79,0.01,0.02,0.02,0.0,,,2.62,0.53,2,2.0,,,,,,,,,,,
670,Kuala Kubu Bharu,6.84,2021-02-10,8.05,32.75,0.01,0.01,0.02,11.33,,,2.5,0.51,2,2.0,,,,,,,,,,,
671,Kuala Kubu Bharu,6.72,2021-02-11,56.77,170.83,0.22,0.02,0.05,16.67,,,2.49,0.51,2,2.0,,,,,,,,,,,
672,Kuala Kubu Bharu,6.65,2021-02-12,9.44,34.21,0.13,0.07,0.04,10.83,,,2.49,0.51,2,2.0,,,,,,,,,,,
673,Kuala Kubu Bharu,6.82,2021-02-13,31.05,117.71,0.1,0.03,0.02,15.14,,,2.52,0.52,2,2.0,,,,,,,,,,,
674,Kuala Kubu Bharu,6.75,2021-02-14,16.94,60.29,0.12,0.02,0.05,11.67,,,2.5,0.51,2,2.0,,,,,,,,,,,
675,Kuala Kubu Bharu,6.92,2021-02-15,5.01,15.21,0.09,0.01,0.02,10.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
676,Kuala Kubu Bharu,6.93,2021-02-16,3.63,9.42,0.06,0.01,0.03,0.0,,,2.51,0.51,2,2.0,,,,,,,,,,,
677,Kuala Kubu Bharu,6.96,2021-02-17,3.19,7.21,0.01,0.01,0.01,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
678,Kuala Kubu Bharu,6.92,2021-02-18,3.54,7.96,0.03,0.0,0.01,0.0,,,2.52,0.52,2,2.0,,,,,,,,,,,
679,Kuala Kubu Bharu,6.92,2021-02-19,2.34,6.25,0.0,0.0,0.0,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
680,Kuala Kubu Bharu,6.97,2021-02-20,2.55,7.29,0.04,0.11,0.01,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
681,Kuala Kubu Bharu,6.95,2021-02-21,2.51,9.71,0.01,0.0,0.0,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
682,Kuala Kubu Bharu,6.94,2021-02-22,2.48,7.67,0.02,0.03,0.0,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
683,Kuala Kubu Bharu,6.96,2021-02-23,2.48,8.83,0.0,0.0,0.01,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
684,Kuala Kubu Bharu,6.94,2021-02-24,2.25,8.79,0.04,0.01,0.0,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
685,Kuala Kubu Bharu,6.95,2021-02-25,2.12,7.67,0.01,0.01,0.02,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
686,Kuala Kubu Bharu,6.93,2021-02-26,1.94,9.33,0.01,0.01,0.02,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
687,Kuala Kubu Bharu,6.96,2021-02-27,2.11,9.33,0.01,0.0,0.02,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
688,Kuala Kubu Bharu,6.94,2021-02-28,2.38,12.04,0.01,0.0,0.03,0.0,,,2.5,0.51,2,2.0,,,,,,,,,,,
689,Rasa,6.84,2021-02-01,4.37,17.67,0.33,0.0,0.03,,,,,,2,,,,,,2.68,3.66,,,29.17,0.05,2.1
690,Rasa,6.8,2021-02-02,4.2,16.0,0.29,0.0,0.02,,,,,,2,,,,,,2.7,8.77,,,28.88,0.04,0.0
691,Rasa,6.82,2021-02-03,4.15,17.08,0.3,0.0,0.05,,,,,,2,,,,,,2.96,11.5,,,31.0,0.04,0.99
692,Rasa,6.79,2021-02-04,4.6,16.33,0.33,0.02,0.03,,,,,,2,,,,,,2.48,5.04,,,26.53,0.04,0.0
693,Rasa,6.82,2021-02-05,4.25,16.27,0.31,0.0,0.02,,,,,,2,,,,,,2.99,15.08,,,29.34,0.03,0.0
694,Rasa,6.8,2021-02-06,4.17,15.0,0.29,0.0,0.02,,,,,,2,,,,,,2.93,4.93,,,28.43,0.03,2.16
695,Rasa,6.98,2021-02-07,4.46,17.42,0.29,0.0,0.02,,,,,,2,,,,,,2.89,0.0,,,28.75,0.04,0.0
696,Rasa,6.82,2021-02-08,4.04,16.17,0.31,0.0,0.02,,,,,,2,,,,,,2.7,5.38,,,29.46,0.04,1.07
697,Rasa,6.78,2021-02-09,5.23,18.17,0.36,0.0,0.03,,,,,,2,,,,,,2.63,20.21,,,29.76,0.04,0.53
698,Rasa,6.82,2021-02-10,4.41,16.75,0.33,0.0,0.03,,,,,,2,,,,,,2.97,12.86,,,28.6,0.07,0.56
699,Rasa,6.84,2021-02-11,16.95,20.82,0.45,0.02,0.03,,,,,,2,,,,,,3.06,4.26,,,24.58,0.04,0.53
700,Rasa,6.8,2021-02-12,8.38,20.83,0.4,0.0,0.03,,,,,,2,,,,,,2.87,0.0,,,23.94,0.04,0.48
701,Rasa,6.78,2021-02-13,12.35,19.67,0.38,0.0,0.03,,,,,,2,,,,,,3.04,9.85,,,27.69,0.04,0.5
702,Rasa,6.76,2021-02-14,18.09,23.92,0.33,0.02,0.03,,,,,,2,,,,,,2.65,0.0,,,23.1,0.04,0.44
703,Rasa,6.81,2021-02-15,6.01,17.45,0.25,0.0,0.02,,,,,,2,,,,,,2.83,0.0,,,22.69,0.03,0.53
704,Rasa,6.83,2021-02-16,5.59,17.17,0.25,0.0,0.02,,,,,,2,,,,,,3.3,9.9,,,24.62,0.04,0.62
705,Rasa,6.8,2021-02-17,4.15,18.17,0.27,0.02,0.02,,,,,,2,,,,,,3.09,0.0,,,30.45,0.03,0.63
706,Rasa,6.83,2021-02-18,4.06,17.27,0.26,0.02,0.02,,,,,,2,,,,,,2.94,9.89,,,28.71,0.04,0.41
707,Rasa,6.85,2021-02-19,4.12,17.33,0.27,0.02,0.02,,,,,,2,,,,,,2.74,6.94,,,28.36,0.04,0.48
708,Rasa,6.87,2021-02-20,4.23,16.67,0.27,0.0,0.02,,,,,,2,,,,,,2.74,6.78,,,22.61,0.04,0.62
709,Rasa,6.83,2021-02-21,4.02,17.33,0.27,0.0,0.02,,,,,,2,,,,,,2.77,5.54,,,22.15,0.04,0.61
710,Rasa,6.85,2021-02-22,7.3,19.42,0.32,0.02,0.03,,,,,,2,,,,,,2.98,5.36,,,19.08,0.05,0.57
711,Rasa,6.86,2021-02-23,5.57,18.83,0.32,0.0,0.02,,,,,,2,,,,,,2.94,0.0,,,22.92,0.01,0.57
712,Rasa,6.88,2021-02-24,4.48,18.17,0.29,0.0,0.02,,,,,,2,,,,,,2.93,9.01,,,24.49,0.01,0.55
713,Rasa,6.9,2021-02-25,3.73,18.45,0.28,0.0,0.02,,,,,,2,,,,,,2.88,9.32,,,19.88,0.01,0.62
714,Rasa,6.92,2021-02-26,3.48,17.58,0.28,0.0,0.02,,,,,,2,,,,,,2.88,5.31,,,19.61,0.03,0.55
715,Rasa,6.83,2021-02-27,3.3,15.83,0.26,0.03,0.02,,,,,,2,,,,,,2.89,10.45,,,21.47,0.03,0.51
716,Rasa,6.9,2021-02-28,8.63,16.25,0.35,0.0,0.03,,,,,,2,,,,,,2.62,4.99,,,19.44,0.03,0.49
717,Sungai Selangor Fasa 1,6.28,2021-02-01,50.9,414.83,0.94,0.03,0.12,,,,,,2,,,,,,5.339857727999999,11.75583839,,,25.66662023,0.044223629,0.646695016
718,Sungai Selangor Fasa 1,6.3,2021-02-02,18.99,148.0,0.67,0.03,0.04,,,,,,2,,,,,,5.188240196,7.16198686,,,24.67499706,0.065907507,0.757420906
719,Sungai Selangor Fasa 1,6.32,2021-02-03,15.28,130.25,0.7,0.02,0.04,,,,,,2,,,,,,5.169537614999999,10.43171491,,,24.61974841,0.05,0.678524912
720,Sungai Selangor Fasa 1,6.29,2021-02-04,22.22,182.08,0.74,0.05,0.06,,,,,,2,,,,,,5.008238067000001,10.20650166,,,26.69950518,0.044439472,0.805031107
721,Sungai Selangor Fasa 1,6.35,2021-02-05,15.74,126.58,0.76,0.03,0.04,,,,,,2,,,,,,5.077866836,9.769215929,,,23.6765258,0.065644864,0.600465588
722,Sungai Selangor Fasa 1,6.22,2021-02-06,11.71,102.42,0.8,0.02,0.03,,,,,,2,,,,,,5.452250444,9.437999862,,,22.40722646,0.043078224,0.646526148
723,Sungai Selangor Fasa 1,6.24,2021-02-07,14.64,108.58,0.68,0.03,0.04,,,,,,2,,,,,,4.284160718,12.4647221,,,19.99420907,0.068254765,0.779268788
724,Sungai Selangor Fasa 1,6.23,2021-02-08,64.83,598.5,0.76,0.02,0.04,,,,,,2,,,,,,5.249815103,11.80750034,,,25.64582758,0.042722602,0.744451183
725,Sungai Selangor Fasa 1,6.16,2021-02-09,51.54,392.08,1.82,0.02,0.15,,,,,,2,,,,,,5.424648945,15.22517027,,,23.45770633,0.043474118,0.716750437
726,Sungai Selangor Fasa 1,6.16,2021-02-10,25.07,202.42,1.05,0.05,0.1,,,,,,2,,,,,,5.567931196,10.23335631,,,22.33020821,0.042973827,0.67441755
727,Sungai Selangor Fasa 1,6.28,2021-02-11,41.63,322.92,1.11,0.07,0.09,,,,,,2,,,,,,5.862756325,9.068103351,,,28.3265501,0.046553025,0.739475877
728,Sungai Selangor Fasa 1,6.25,2021-02-12,39.98,303.08,1.12,0.03,0.09,,,,,,2,,,,,,6.014395354,13.15213386,,,27.18956875,0.065902177,0.692666857
729,Sungai Selangor Fasa 1,6.29,2021-02-13,54.83,441.67,1.07,0.06,0.33,,,,,,2,,,,,,5.558899015,10.94644684,,,26.2400506,0.070191204,0.652129188
730,Sungai Selangor Fasa 1,6.27,2021-02-14,44.9,333.33,1.17,0.06,0.09,,,,,,2,,,,,,5.5883256040000004,8.963912506,,,26.06928497,0.046251131,0.799264719
731,Sungai Selangor Fasa 1,6.44,2021-02-15,52.23,732.83,1.16,0.25,0.13,,,,,,2,,,,,,5.293006067,12.07282934,,,27.16500494,0.043804465,0.624967112
