,wtp,pH_avg,Date,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Soda_Ash_T,Liquid Chlorine,Sodium Silico Fluoride,Month,Soda Ash,Hydrated Lime,Liquid Polyaluminium Chloride,Sodium Aluminosilicate,Liquid Polyaluminium Chloride ,Liquid Aluminium Sulphate,Liquid_Chlorine_T,Hydrated_Lime_Pow_T,Flopam FO 4290 PWG,Microsand,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Sodium Silico Fluoride (mg/L)
0,Batang Kali,6.77,2021-04-01,28.75,4.96,0.26,0.28,0.02,8.18,0.02,1.73,2.22,0.49,4.0,,,,,,,,,,,,,
1,Batang Kali,6.65,2021-04-02,5.67,0.42,0.22,0.12,0.02,7.89,0.02,1.01,2.21,0.54,4.0,,,,,,,,,,,,,
2,Batang Kali,6.61,2021-04-03,14.72,0.42,0.13,0.22,0.02,12.43,0.02,1.0,2.25,0.45,4.0,,,,,,,,,,,,,
3,Batang Kali,6.6,2021-04-04,9.5,3.42,0.22,0.47,0.04,16.32,0.02,1.03,2.36,0.46,4.0,,,,,,,,,,,,,
4,Batang Kali,6.61,2021-04-05,9.01,0.17,0.14,0.15,0.02,11.52,0.02,1.06,2.2,0.47,4.0,,,,,,,,,,,,,
5,Batang Kali,6.61,2021-04-06,9.03,0.96,0.17,0.14,0.01,13.61,0.02,9.34,2.12,0.45,4.0,,,,,,,,,,,,,
6,Batang Kali,6.68,2021-04-07,33.31,16.5,0.29,0.2,0.02,10.97,0.02,1.01,2.13,0.45,4.0,,,,,,,,,,,,,
7,Batang Kali,6.67,2021-04-08,9.47,11.46,0.25,0.37,0.03,16.88,0.02,0.93,2.17,0.44,4.0,,,,,,,,,,,,,
8,Batang Kali,6.67,2021-04-09,5.0,0.08,0.17,0.0,0.01,7.51,0.02,1.03,2.89,0.52,4.0,,,,,,,,,,,,,
9,Batang Kali,6.67,2021-04-10,3.98,0.42,0.17,0.0,0.01,8.58,0.02,1.04,2.66,0.52,4.0,,,,,,,,,,,,,
10,Batang Kali,6.63,2021-04-11,33.03,7.04,0.16,0.07,0.03,15.88,0.02,1.02,2.74,0.52,4.0,,,,,,,,,,,,,
11,Batang Kali,6.66,2021-04-12,9.09,0.0,0.23,0.13,0.03,,,,,,,,,,,,,,,,,,,
12,Batang Kali,6.7,2021-04-13,8.62,0.17,0.22,0.0,0.03,13.37,0.02,0.97,2.18,0.44,4.0,,,,,,,,,,,,,
13,Batang Kali,6.6,2021-04-14,5.86,0.0,0.21,0.18,0.01,13.53,0.02,1.04,2.21,0.46,4.0,,,,,,,,,,,,,
14,Batang Kali,6.58,2021-04-15,4.63,0.0,0.18,0.08,0.01,19.63,0.02,0.93,2.11,0.42,4.0,,,,,,,,,,,,,
15,Batang Kali,6.73,2021-04-16,50.58,0.0,0.5,0.2,0.09,13.6,0.02,1.02,2.4,0.46,4.0,,,,,,,,,,,,,
16,Batang Kali,6.76,2021-04-17,60.53,14.17,0.34,0.13,0.08,15.54,0.02,1.04,2.35,0.47,4.0,,,,,,,,,,,,,
