,wtp,Date,pH_avg,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Soda_Ash,Liquid_Chlorine,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate
0,Batang Kali,2021-04-01,0.5943536404160349,246.38554216867465,1610.3448275862072,30.0,180.0,0.0,0.9615384615384623,5.309734513274342,,,18.533944189920877
1,Batang Kali,2021-04-02,-1.188707280832096,-31.686746987951814,44.827586206896555,9.999999999999995,19.99999999999999,0.0,-2.8846153846153872,4.424778761061951,,,11.037067888379852
2,Batang Kali,2021-04-03,-1.7830609212481439,77.34939759036143,44.827586206896555,-35.0,120.0,0.0,-5.7692307692307745,0.0,,,37.19283631820075
3,Batang Kali,2021-04-04,-1.931649331352166,14.457831325301196,1079.3103448275863,9.999999999999995,370.0,100.0,-0.9615384615384623,4.424778761061951,,,35.94335693461059
4,Batang Kali,2021-04-05,-1.7830609212481439,8.554216867469867,-41.37931034482758,-30.0,49.999999999999986,0.0,0.9615384615384623,3.982300884955766,,,42.3573511037068
5,Batang Kali,2021-04-06,-1.7830609212481439,8.79518072289155,231.0344827586207,-15.0,40.00000000000001,-50.0,-7.692307692307699,-2.212389380530966,,,38.5256143273636
6,Batang Kali,2021-04-07,-0.74294205052007,301.3253012048193,5589.6551724137935,44.999999999999986,100.0,0.0,-1.9230769230769247,3.982300884955766,,,58.93377759266972
7,Batang Kali,2021-04-08,-0.8915304606240787,14.096385542168674,3851.724137931036,24.999999999999993,270.0,49.999999999999986,0.0,6.637168141592936,,,22.365680966264062
8,Batang Kali,2021-04-09,-0.8915304606240787,-39.75903614457832,-72.41379310344827,-15.0,-100.0,-50.0,2.8846153846153872,8.407079646017717,,,19.950020824656406
9,Batang Kali,2021-04-10,-0.8915304606240787,-52.04819277108433,44.827586206896555,-15.0,-100.0,-50.0,0.9615384615384623,-3.097345132743356,,,12.119950020824673
10,Batang Kali,2021-04-11,-1.4858841010401267,297.95180722891564,2327.586206896552,-20.000000000000004,-30.0,49.999999999999986,0.9615384615384623,-3.097345132743356,,,12.119950020824673
11,Batang Kali,2021-04-12,-1.0401188707280873,9.518072289156615,-100.0,15.0,30.0,49.999999999999986,8.653846153846139,4.867256637168156,,,12.20324864639735
12,Batang Kali,2021-04-13,-0.44576523031203935,3.8554216867469697,-41.37931034482758,9.999999999999995,-100.0,49.999999999999986,-6.730769230769236,-3.5398230088495417,,,11.370262390670556
13,Batang Kali,2021-04-14,-1.931649331352166,-29.397590361445786,-100.0,4.99999999999999,79.99999999999999,-50.0,0.0,-2.212389380530966,,,12.703040399833407
14,Batang Kali,2021-04-15,-2.2288261515601837,-44.216867469879524,-100.0,-10.000000000000009,-20.000000000000004,-50.0,-10.576923076923075,-6.637168141592917,,,63.51520199916701
15,Batang Kali,2021-04-16,0.0,509.39759036144574,-100.0,149.99999999999997,100.0,349.99999999999994,-1.9230769230769247,6.194690265486732,,,13.286130778842157
16,Batang Kali,2021-04-17,0.4457652303120261,629.277108433735,4786.206896551725,70.0,30.0,300.0,0.0,3.982300884955766,,,29.446064139941697
17,Batang Kali,2021-04-18,-0.74294205052007,198.79518072289156,934.4827586206897,79.99999999999999,-100.0,199.99999999999994,-0.9615384615384623,-3.9823008849557464,,,32.19491878384007
18,Batang Kali,2021-04-19,0.0,16.626506024096372,-100.0,4.99999999999999,260.0,0.0,3.8461538461538494,6.637168141592936,,,0.20824656393169813
19,Batang Kali,2021-04-20,0.14858841010400872,0.36144578313252235,-100.0,65.0,-100.0,49.999999999999986,-2.8846153846153872,1.7699115044247804,,,-0.20824656393168328
20,Batang Kali,2021-04-21,0.29717682020801744,310.9638554216867,44.827586206896555,35.0,89.99999999999999,100.0,80.76923076923075,-0.44247787610618533,,,46.68887963348605
21,Batang Kali,2021-04-22,0.7429420505200567,190.6024096385542,186.20689655172416,44.999999999999986,89.99999999999999,150.0,81.73076923076921,1.3274336283185952,,,72.67805081216162
22,Batang Kali,2021-04-23,1.4858841010401134,-36.14457831325302,-86.20689655172413,-25.000000000000007,120.0,0.0,-8.65384615384616,-3.5398230088495417,,,35.19366930445649
23,Batang Kali,2021-04-24,1.337295690936105,17.59036144578312,-100.0,-30.0,49.999999999999986,-50.0,-0.9615384615384623,0.0,,,5.372761349437746
24,Batang Kali,2021-04-25,1.0401188707280742,283.6144578313253,-100.0,4.99999999999999,-100.0,100.0,4.807692307692312,1.7699115044247804,,,17.284464806330707
25,Batang Kali,2021-04-26,1.6344725111441223,407.3493975903614,217.24137931034488,19.99999999999999,-100.0,49.999999999999986,47.11538461538461,3.0973451327433756,,,33.77759266972095
26,Batang Kali,2021-04-27,2.5260029717682007,131.80722891566262,244.82758620689657,30.0,89.99999999999999,100.0,4.807692307692312,1.3274336283185952,,,16.284881299458576
27,Batang Kali,2021-04-28,2.5260029717682007,32.89156626506022,-100.0,9.999999999999995,139.99999999999997,49.999999999999986,6.730769230769236,2.2123893805309858,,,3.6234902124114994
28,Batang Kali,2021-04-29,-1.0401188707280873,32.530120481927696,-100.0,15.0,0.0,0.0,4.807692307692312,1.3274336283185952,,,-2.8738025822573836
29,Batang Kali,2021-04-30,-0.1485884101040219,153.49397590361443,-13.793103448275856,89.99999999999999,219.99999999999997,150.0,17.307692307692303,-3.097345132743356,,,75.09371095376927
30,Rantau Panjang New,2021-04-01,-0.15673981191222236,-34.02253311873221,-39.307102839848035,-4.385964912280686,-15.384615384615389,0.0,,-0.5025125628140708,-14.379544921416834,0.9174311926605472,
