,Feature,final_weight
0,pH_avg,0.28070518081982176
1,Turbidity_avg,0.026660774947012182
2,Color_avg,0.5831510029516672
3,Iron_avg,0.043437902305788784
4,Ammonia_avg,0.03206814029211916
5,Manganese_avg,0.033976998683590914
