,Feature,Soda_Ash,Liquid_Chlorine,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate
0,pH_avg,0.3154276149737547,0.6623413958727447,0.02321147563143993,0.7011336370449761,0.14360474423123074
1,Turbidity_avg,0.19122435378174038,0.03441651378685637,0.018664327347593993,0.014851314704256892,0.007648691883396752
2,Color_avg,0.2539898622731108,0.2043037674821631,0.8910765523027748,0.2035603254747572,0.47143542033394625
3,Iron_avg,0.07894490849778141,0.010251698008262054,0.019275486978336566,0.014568490907659713,0.2877137230666291
4,Ammonia_avg,0.11754649939914234,0.004122688684754945,0.03372028253271268,0.037223466232432584,0.012758557336891903
5,Manganese_avg,0.04286676107447025,0.08456393616521897,0.014051875207142041,0.028662765635917457,0.07683886314790514
