,wtp,corr_wgi_unit
0,Batang Kali,-0.1378803196221796
1,Kuala Kubu Bharu,-0.7451519005147919
2,Rantau Panjang New,-0.17547321483681982
3,Rantau Panjang Old,
4,Rasa,-0.4225540678443664
5,Sungai Rangkap,-0.09676960077826963
6,Sungai Selangor Fasa 1,-0.8498432117937915
7,Sungai Selangor Fasa 2 Stream C,-0.9049830965359962
8,Sungai Selangor Fasa 3,
