,wtp,corr_wgi_unit,corr_wqi_unit
0,Batang Kali,-0.519763121383499,-0.254970308990931
1,Kuala Kubu Bharu,-0.6605058787624809,-0.29534136521810495
2,Rantau Panjang New,-0.13121841579258645,-0.21207412839560139
3,Rantau Panjang Old,,
4,Rasa,0.04921240931911819,-0.40481553494791117
5,Sungai Rangkap,0.695860002059462,-0.12430225016025523
6,Sungai Selangor Fasa 1,-0.7936539840204527,-0.6772729027467508
7,Sungai Selangor Fasa 2 Stream C,-0.6537234974063596,0.159640140059008
8,Sungai Selangor Fasa 2 Stream D,-0.6537234974063149,0.15964014005899863
9,Sungai Selangor Fasa 3 Stage 1,0.127981604134311,0.07458290597387225
10,Sungai Selangor Fasa 3 Stage 2,0.127981604134311,0.07458290597387225
