,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate,Liquid_Chlorine,Soda_Ash,Sodium Aluminosilicate,Feature,Batang Kali,Kuala Kubu Bharu,Rantau Panjang New,Rantau Panjang Old,Rasa,Sungai Rangkap,Sungai Selangor Fasa 1,Sungai Selangor Fasa 2 Stream C,Sungai Selangor Fasa 3
0,0.24357610936004725,0.3916427287415429,0.1455988738519989,0.3316002810367686,0.3962391173690498,0.0,pH_avg,0.18060020091998005,0.7087652013814388,0.15924445120153752,0.18890277678572373,0.15444745328199527,0.2208329113069964,0.09984754398669458,0.20492364260257237,0.6035011693618411
1,0.06048084542165272,0.08629059213963094,0.09145533609747324,0.1411341124112044,0.11858072766377245,0.0,Turbidity_avg,0.09214967053275529,0.023879470961054763,0.05892238223617227,0.05603461910594302,0.044851167097154296,0.10856689231227123,0.11210735063392772,0.0388071751294467,0.019145609741077603
2,0.36426775056215704,0.11411138310426247,0.3871159641332731,0.1561257566395594,0.10386743616692956,0.0,Color_avg,0.20475926449508744,0.06995756741951525,0.2658360746688129,0.21404270208579354,0.17399293076767852,0.19191477684349562,0.45907212229129957,0.41384745551427937,0.23715508657272552
3,0.20531009597715782,0.23237200096696375,0.15076033414823273,0.17825806239892258,0.23406641034628262,0.0,Iron_avg,0.2518299923924566,0.15440412237518888,0.14188257346495195,0.06689018029512742,0.39060916030991455,0.2685619457407113,0.02106538796628925,0.13758500030533932,0.017862880541405043
4,0.09587441306982904,0.10178463559055416,0.17604887516285758,0.096002933110145,0.06510546406198951,0.0,Ammonia_avg,0.132565932561356,0.020910142636270477,0.19369025480913643,0.3492713461243294,0.19126749323105172,0.08776547922591688,0.26948736873938534,0.17086194788560158,0.09169840139334666
5,0.03049078560915609,0.07379865945704575,0.049020616606164406,0.09687885440340008,0.08214084439197614,0.0,Manganese_avg,0.13809493909836462,0.02208349522653167,0.18042426361938893,0.12485837560308294,0.04483179531220552,0.12235799457060861,0.03842022638240362,0.03397477856276064,0.03063685238960403
weight,45432.710661189994,19223.834950201002,16871.989999999998,14399.570964180999,1278.38,0.0,,,,,,,,,,
chem_ratio,0.4673835282161843,0.19776288216379126,0.17356856105361934,0.14813384858824447,0.013151179978160605,0.0,,,,,,,,,,
