,Feature,weight,MLD_produced,MLD_ratio,weight_adj,chem_ratio
13,Liquid_Polyaluminium_Chloride,45432.710661189994,3013.0,0.9881928501147917,45975.55088150292,0.1652007977898158
14,Hydrated_Lime,19223.834950201002,1019.7,0.3344375204985241,57481.09518796005,0.2065428820495935
15,Aluminium_Sulphate,16871.989999999998,986.0,0.32338471630042637,52173.12120689655,0.18747010272435294
12,Liquid_Chlorine,14399.570964180999,3049.0,1.0,14399.570964180999,0.051740992016494264
11,Soda_Ash,1278.38,36.0,0.011807149885208265,108271.68388888889,0.3890452254197435
9,Sodium Aluminosilicate,0.0,0.0,0.0,0.0,0.0
