,Feature,weight,chem_ratio
10,Liquid_Polyaluminium_Chloride,68304.99,0.4771584919484164
11,Hydrated_Lime,29490.46,0.2060116460080749
9,Liquid_Chlorine,19844.1,0.13862502329732526
12,Aluminium_Sulphate,18891.170000000002,0.13196813568585788
8,Soda_Ash,6152.76,0.04298136465462536
21,wtp_Sungai Selangor Fasa 2 Stream D,466.0,0.003255338405700111
