,wtp,corr_wgi_unit,corr_wqi_unit
0,Batang Kali,-0.16169664120152366,-0.2617995147429514
1,Kuala Kubu Bharu,-0.6167461040270465,-0.1831004987776855
2,Rantau Panjang New,-0.11656888726176916,-0.1740176596372976
3,Rantau Panjang Old,,
4,Rasa,-0.4157074745157733,-0.2962603178014754
5,Sungai Rangkap,-0.38515178662845767,0.08432379034850215
6,Sungai Selangor Fasa 1,-0.8006943609307587,0.23850169600844967
7,Sungai Selangor Fasa 2 Stream C,-0.8167024995214643,0.0268074364637619
8,Sungai Selangor Fasa 3,0.2304037260815134,-0.2072005757728794
