,Feature,weight,chem_ratio
11,Liquid_Polyaluminium_Chloride,61587.266046469995,0.4935035980728964
12,Hydrated_Lime,26296.707657452,0.21071758302490004
10,Liquid_Chlorine,18270.368102421002,0.1464018940190939
13,Aluminium_Sulphate,12488.88,0.10007437594729693
9,Soda_Ash,6152.76,0.04930254893581256
