,Feature,Soda_Ash,Liquid_Chlorine,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate
0,pH_avg,0.504377171671775,0.4723329012535011,0.042538334016286365,0.6228402889671173,0.055694573441883166
1,Turbidity_avg,0.139346200344765,0.1709850990524107,0.0548800795108373,0.019178086915818723,0.011445394433439943
2,Color_avg,0.14697934328477047,0.1972183309455672,0.7749768608819415,0.2408241327711838,0.4721038739028253
3,Iron_avg,0.07036867110258903,0.010094511517598496,0.041208765107394636,0.021577474959046262,0.25486752535798757
4,Ammonia_avg,0.10883937225378475,0.006294153229601032,0.0579879859595586,0.04771027571914542,0.009891157940031642
5,Manganese_avg,0.030089241342315623,0.14307500400132162,0.02840797452398142,0.047869740667688496,0.19599747492383213
