,wtp,corr_wgi_unit,corr_wqi_unit
0,Batang Kali,-0.13738805992761943,-0.26179951474295043
1,Kuala Kubu Bharu,-0.646102334111379,-0.1831004987775825
2,Rantau Panjang New,-0.13126788807184622,-0.17401765963730353
3,Rantau Panjang Old,,
4,Rasa,-0.3184961358084896,-0.2962603178014634
5,Sungai Rangkap,-0.09449269454953889,0.08432379034847184
6,Sungai Selangor Fasa 1,-0.7612710187710668,0.2385016960084578
7,Sungai Selangor Fasa 2 Stream C,-0.7988163726470504,0.026807436463762616
8,Sungai Selangor Fasa 2 Stream D,-0.7988163726470656,0.1559162114925563
9,Sungai Selangor Fasa 3 Stage 1,,
10,Sungai Selangor Fasa 3 Stage 2,,
