,Unnamed: 0,Kibbled Aluminium Sulphate_min,Kibbled Aluminium Sulphate_max,Kibbled Aluminium Sulphate _avg,Flopam FA 920 PWG _min,Flopam FA 920 PWG _max,Flopam FA 920 PWG _avg,Soda Ash (Pre) _min,Soda Ash (Pre) _max,Soda Ash (Pre) _avg,Soda Ash (Post) _min,Soda Ash (Post) _max,Soda Ash (Post) _avg,Liquid Chlorine _min,Liquid Chlorine _max,Liquid Chlorine _avg,Sodium Silico Fluoride _min,Sodium Silico Fluoride _max,Sodium Silico Fluoride _avg,Date,wtp,Liquid Aluminium Sulphate_min,Liquid Aluminium Sulphate_max,Liquid Aluminium Sulphate _avg,Hydrated Lime (Pre) _min,Hydrated Lime (Pre) _max,Hydrated Lime (Pre) _avg,Hydrated Lime (Post) _min,Hydrated Lime (Post) _max,Hydrated Lime (Post) _avg,Soda Ash _min,Soda Ash _max,Soda Ash _avg,Hydrated Lime _min,Hydrated Lime _max,Hydrated Lime _avg,Liquid Polyaluminium Chloride_min,Liquid Polyaluminium Chloride_max,Liquid Polyaluminium Chloride _avg,Liquid Chlorine (Pre) _min,Liquid Chlorine (Pre) _max,Liquid Chlorine (Pre) _avg,Liquid Chlorine (Intermediate)_min,Liquid Chlorine (Intermediate)_max,Liquid Chlorine (Intermediate) _avg,Liquid Chlorine (Post) _min,Liquid Chlorine (Post) _max,Liquid Chlorine (Post) _avg,Sodium Aluminosilicate_min,Sodium Aluminosilicate_max,Sodium Aluminosilicate _avg,Sodium Fluoride _min,Sodium Fluoride _max,Sodium Fluoride _avg,Superfloc C 591 PWG _min,Superfloc C 591 PWG _max,Superfloc C 591 PWG _avg,Aluminium Chlorohydrate_min,Aluminium Chlorohydrate_max,Aluminium Chlorohydrate _avg,Flopam AH 912 PWG _min,Flopam AH 912 PWG _max,Flopam AH 912 PWG _avg,Hydrated Lime (Intermediate)_min,Hydrated Lime (Intermediate)_max,Hydrated Lime (Intermediate) _avg,Hydrated Lime (Powder) (Pre)_min,Hydrated Lime (Powder) (Pre)_max,Hydrated Lime (Powder) (Pre) _avg,Hydrated Lime (Powder) (Post)_min,Hydrated Lime (Powder) (Post)_max,Hydrated Lime (Powder) (Post) _avg,Hydrated Lime (Powder)_min,Hydrated Lime (Powder)_max,Hydrated Lime (Powder) _avg,Flopam FO 4190 PWG_min,Flopam FO 4190 PWG_max,Flopam FO 4190 PWG _avg,Flopam FO 4290 PWG_min,Flopam FO 4290 PWG_max,Flopam FO 4290 PWG _avg,Polyelectrolyte AN 910 PWG_min,Polyelectrolyte AN 910 PWG_max,Polyelectrolyte AN 910 PWG _avg,Microsand _min,Microsand _max,Microsand _avg,Activated Carbon _min,Activated Carbon _max,Activated Carbon _avg,Flopam FL 4520 PWG_min,Flopam FL 4520 PWG_max,Flopam FL 4520 PWG _avg,Modified Liquid Alum _min,Modified Liquid Alum _max,Modified Liquid Alum _avg,Potassium Permanganate_min,Potassium Permanganate_max,Potassium Permanganate _avg,Polymer Tianfloc C3080_min,Polymer Tianfloc C3080_max,Polymer Tianfloc C3080 _avg,Sodium Hypochlorite _min,Sodium Hypochlorite _max,Sodium Hypochlorite _avg
0,1,12.1,17.1,14.23,0.02,0.02,0.02,1.03,1.08,1.05,0,0,0,2.29,2.42,2.38,0.44,0.47,0.46,1/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,9.4,17.5,13.33,0.02,0.02,0.02,0.96,1.07,1.01,0,0,0,2.22,2.47,2.36,0.43,0.48,0.46,2/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,11.7,26.7,16.47,0.02,0.02,0.02,0.88,1.13,0.98,0,0,0,2.06,2.49,2.26,0.4,0.48,0.44,3/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,13.1,19.6,16.32,0.02,0.02,0.02,0.95,1.12,1.03,0,0,0,2.13,2.5,2.36,0.41,0.49,0.46,4/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,11.7,24.6,17.09,0.02,0.02,0.02,1.01,1.1,1.05,0,0,0,2.24,2.4,2.35,0.45,0.49,0.47,5/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,12.3,20.2,16.63,0.02,0.02,0.02,0.9,1.02,0.96,0,0,0,2.07,2.37,2.21,0.4,0.46,0.43,6/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,11.4,31.4,19.08,0.02,0.02,0.02,0.92,1.15,1.02,0,0,0,2.1,2.59,2.35,0.4,0.5,0.46,7/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,11.9,19.8,14.69,0.02,0.02,0.02,1.01,1.07,1.04,0,0,0,2.28,2.55,2.41,0.43,0.48,0.46,8/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,11.5,19.4,14.4,0.02,0.02,0.02,0.91,1.21,1.07,0,0,0,2.11,2.66,2.45,0.41,0.51,0.48,9/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,11.5,18,13.46,0.02,0.02,0.02,0.97,1.12,1.05,0,0,0,2,2.36,2.19,0.42,0.5,0.46,10/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,9.4,18.3,13.46,0.02,0.02,0.02,0.96,1.15,1.05,0,0,0,2.04,2.34,2.19,0.43,0.5,0.47,11/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,11.5,14.9,13.47,0.02,0.02,0.02,1.05,1.17,1.13,0,0,0,2.22,2.47,2.37,0.47,0.52,0.5,12/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,11.4,15.6,13.37,0.02,0.02,0.02,0.89,1.14,0.97,0,0,0,2.02,2.42,2.18,0.4,0.51,0.44,13/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,11,16.3,13.53,0.02,0.02,0.02,0.91,1.11,1.04,0,0,0,2.11,2.34,2.21,0.41,0.5,0.46,14/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,8.9,100.1,19.63,0.02,0.02,0.02,0.88,1.06,0.93,0,0,0,2.02,2.24,2.11,0.39,0.48,0.42,15/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,8.6,20.8,13.6,0.02,0.02,0.02,0.91,1.08,1.02,0,0,0,2.24,2.51,2.4,0.41,0.48,0.46,16/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,10.7,27.7,15.54,0.02,0.02,0.02,0.99,1.09,1.04,0,0,0,2.26,2.44,2.35,0.45,0.49,0.47,17/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,12.9,23.6,15.87,0.02,0.02,0.02,0.98,1.07,1.03,0,0,0,2.06,2.25,2.17,0.44,0.48,0.46,18/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,10.2,13.9,12.03,0.02,0.02,0.02,0.97,1.17,1.08,0,0,0,2.26,2.48,2.41,0.44,0.53,0.48,19/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,9.5,14.2,11.98,0.02,0.02,0.02,0.96,1.13,1.01,0,0,0,2.22,2.43,2.3,0.43,0.51,0.45,20/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,11.4,25.3,17.61,0.02,0.02,0.02,0.94,3.82,1.88,0,0,0,2.13,2.32,2.25,0.41,0.45,0.44,21/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,11.3,33.8,20.73,0.02,0.02,0.02,0.94,3.1,1.89,0,0,0,2.17,2.48,2.29,0.42,0.48,0.44,22/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,13.2,19.7,16.23,0.02,0.02,0.02,0.91,1.03,0.95,0,0,0,2.09,2.33,2.18,0.4,0.45,0.42,23/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,11.6,14.1,12.65,0.02,0.02,0.02,0.93,1.07,1.03,0,0,0,2.09,2.42,2.26,0.4,0.48,0.45,24/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,11.4,20.3,14.08,0.02,0.02,0.02,1.07,1.12,1.09,0,0,0,2.24,2.36,2.3,0.48,0.5,0.49,25/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,11.3,21.7,16.06,0.02,0.02,0.02,1.07,3.21,1.53,0,0,0,2.27,2.43,2.33,0.48,0.52,0.5,26/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,11.4,19.8,13.96,0.02,0.02,0.02,1.06,1.12,1.09,0,0,0,2.21,2.36,2.29,0.47,0.5,0.49,27/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,11.2,13.8,12.44,0.02,0.02,0.02,1.08,1.13,1.11,0,0,0,2.23,2.35,2.31,0.47,0.5,0.49,28/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,10.3,13,11.66,0.02,0.02,0.02,1.03,1.15,1.09,0,0,0,2.17,2.43,2.29,0.46,0.52,0.49,29/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,11.2,75.1,21.02,0.02,0.02,0.02,0.99,3.14,1.22,0,0,0,2.1,2.28,2.19,0.45,0.48,0.47,30/4/2021,Batang Kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,,,,0.03,0.05,0.03,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,1/4/2021,Bernam River Headworks (New),18,18,18,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,,,,0.05,10,0.88,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,2/4/2021,Bernam River Headworks (New),18,18,18,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3,,,,0.05,0.05,0.05,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,3/4/2021,Bernam River Headworks (New),16,16,16,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4,,,,0.05,0.05,0.05,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,4/4/2021,Bernam River Headworks (New),16,28,23.33,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,,,,0.05,0.05,0.05,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,5/4/2021,Bernam River Headworks (New),20,20,20,3,30,5.25,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6,,,,0.05,0.05,0.05,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,6/4/2021,Bernam River Headworks (New),18,34,19.33,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,7,,,,0.05,0.07,0.06,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,7/4/2021,Bernam River Headworks (New),24,30,25.67,3,5,3.67,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,8,,,,0.06,0.09,0.08,,,,,,,3.91,3.91,3.91,0.39,19,1.94,8/4/2021,Bernam River Headworks (New),20,32,25.67,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9,,,,0.05,0.05,0.05,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,9/4/2021,Bernam River Headworks (New),20,20,20,3,30,5.25,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10,,,,0.07,20,1.74,,,,,,,3.91,4.5,3.96,0.39,19,1.94,10/4/2021,Bernam River Headworks (New),22,36,27,4,4,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11,,,,0.05,0.05,0.05,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,11/4/2021,Bernam River Headworks (New),20,24,20.83,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,12,,,,0.05,0.05,0.05,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,12/4/2021,Bernam River Headworks (New),22,26,22.83,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,13,,,,0.05,0.09,0.08,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,13/4/2021,Bernam River Headworks (New),24,32,29.67,3,30,5.25,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,14,,,,0.05,10,0.88,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,14/4/2021,Bernam River Headworks (New),24,34,26.83,4,5,4.5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,15,,,,0.05,0.09,0.08,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,15/4/2021,Bernam River Headworks (New),22,34,25.5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,16,,,,0.05,0.09,0.07,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,16/4/2021,Bernam River Headworks (New),22,32,26,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,17,,,,0.05,0.09,0.06,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,17/4/2021,Bernam River Headworks (New),16,32,21.83,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,18,,,,0.05,0.12,0.08,,,,,,,3.91,3.91,3.91,0.39,0.39,0.39,18/4/2021,Bernam River Headworks (New),24,38,29.5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,19,,,,0.05,0.05,0.05,,,,,,,3.91,3.91,3.91,0.41,0.41,0.41,19/4/2021,Bernam River Headworks (New),22,24,23,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,20,,,,0.05,0.05,0.05,,,,,,,3.91,3.91,3.91,0.41,0.41,0.41,20/4/2021,Bernam River Headworks (New),18,20,19.5,4,5,4.5,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,21,,,,0.05,0.05,0.05,,,,,,,3.91,3.91,3.91,0.41,0.41,0.41,21/4/2021,Bernam River Headworks (New),16,18,17.67,4,4,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,22,,,,0.05,0.09,0.07,,,,,,,3.91,4.5,3.96,0.41,0.42,0.41,22/4/2021,Bernam River Headworks (New),20,36,26.5,4,5,4.5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,23,,,,0.05,0.09,0.07,,,,,,,3.91,3.91,3.91,0.41,21,2.13,23/4/2021,Bernam River Headworks (New),22,44,31.25,3,5,4.33,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,24,,,,0.05,0.09,0.06,,,,,,,3.91,3.91,3.91,0.42,0.42,0.42,24/4/2021,Bernam River Headworks (New),22,30,25.5,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,25,,,,0.05,0.05,0.05,,,,,,,3.91,3.91,3.91,0.42,0.42,0.42,25/4/2021,Bernam River Headworks (New),18,24,20.33,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,26,,,,0.05,0.15,0.06,,,,,,,3.91,3.91,3.91,0.42,0.42,0.42,26/4/2021,Bernam River Headworks (New),18,46,22.17,3,5,3.17,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,27,,,,0.05,0.09,0.08,,,,,,,3.91,3.91,3.91,0.42,0.42,0.42,27/4/2021,Bernam River Headworks (New),26,40,31.67,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,28,,,,0.09,0.09,0.09,,,,,,,3.91,3.91,3.91,0.42,0.42,0.42,28/4/2021,Bernam River Headworks (New),28,32,28.83,5,55,9.55,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,29,,,,0.05,0.07,0.07,,,,,,,3.91,3.91,3.91,0.42,0.42,0.42,29/4/2021,Bernam River Headworks (New),24,26,24.67,3,3,3,5,50,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,30,,,,0.05,10,0.89,,,,,,,3.91,3.91,3.91,0.43,0.43,0.43,30/4/2021,Bernam River Headworks (New),18,24,22.33,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,,,,0.01,0.02,0.02,,,,,,,3.81,3.81,3.81,0.35,0.4,0.38,1/4/2021,Bernam River Headworks (Old),26,28.3,26.19,4.08,4.08,4.08,6.99,6.99,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2,,,,0.02,0.02,0.02,,,,,,,3.86,3.86,3.86,0.4,0.4,0.4,2/4/2021,Bernam River Headworks (Old),25.5,25.5,25.5,4.16,4.16,4.16,7.01,7.01,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3,,,,0.02,0.02,0.02,,,,,,,3.86,3.86,3.86,0.4,0.4,0.4,3/4/2021,Bernam River Headworks (Old),25.5,25.5,25.5,4.13,4.13,4.13,7.04,7.04,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4,,,,0.01,0.03,0.02,,,,,,,3.86,4.21,3.89,0.35,0.4,0.38,4/4/2021,Bernam River Headworks (Old),25.9,43,31.95,4.12,5.94,5.13,6.84,7.09,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5,,,,0.02,0.02,0.02,,,,,,,3.81,3.81,3.81,0.4,0.4,0.4,5/4/2021,Bernam River Headworks (Old),25.7,30.8,27.84,4.1,4.1,4.1,7.03,7.03,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6,,,,0.02,0.02,0.02,,,,,,,3.81,3.81,3.81,0.4,0.4,0.4,6/4/2021,Bernam River Headworks (Old),25.6,46.2,28.4,4.1,6.07,4.26,7.05,7.05,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,7,,,,0.02,0.02,0.02,,,,,,,3.81,3.81,3.81,0.4,0.4,0.4,7/4/2021,Bernam River Headworks (Old),28.2,48.9,36.37,4.29,5.28,5.12,7.08,7.08,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,8,,,,0.02,0.02,0.02,,,,,,,3.81,3.81,3.81,0.4,0.4,0.4,8/4/2021,Bernam River Headworks (Old),28.3,51.4,36.4,4.31,5.29,5.21,7.05,7.05,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,9,,,,0.02,0.02,0.02,,,,,,,3.81,3.81,3.81,0.4,0.4,0.4,9/4/2021,Bernam River Headworks (Old),28.3,36,31.86,4.29,5.29,4.79,7.03,7.05,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,10,,,,0.02,0.02,0.02,,,,,,,3.81,3.81,3.81,0.4,0.4,0.4,10/4/2021,Bernam River Headworks (Old),33.4,59.2,42.98,5.27,6.27,5.75,7.05,7.05,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,11,,,,0.02,0.02,0.02,,,,,,,3.81,3.81,3.81,0.4,0.4,0.4,11/4/2021,Bernam River Headworks (Old),30.7,33.4,31.63,4.29,5.26,4.46,7.03,7.05,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,12,,,,0.02,0.02,0.02,,,,,,,3.81,3.81,3.81,0.4,0.4,0.4,12/4/2021,Bernam River Headworks (Old),33.3,33.4,33.33,4.31,4.31,4.31,7.04,7.05,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,13,,,,0.02,0.02,0.02,,,,,,,3.81,3.81,3.81,0.4,0.4,0.4,13/4/2021,Bernam River Headworks (Old),3.86,54,36.84,4.31,6.25,5.36,7.05,7.05,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
