WTP,n_wtp,Code,Description,Amount per month (RM),Production (m3 per month),UnitCost (cent per m3),Month,Year
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1747907.7,29696001,5.886003641,4,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,9716.6,26377036,0.036837346,1,2022
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6706,60429,11.09732082,4,2020
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,650201.8,17800579,3.652700286,4,2020
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4725,38082,12.40743658,4,2020
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,78697.5,482683,16.30417893,4,2020
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5457,60432,9.029984114,4,2020
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,32524.86,1168352,2.783823711,4,2020
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,45644,550086,8.297611646,5,2020
Batang Kali,Batang Kali,70110100,Chemical Consumed,25830,138831,18.60535471,5,2020
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,75217.43,1123906,6.692501864,5,2020
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,91422.6,3109860,2.939765777,5,2020
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,103104.78,482935,21.34961848,5,2020
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,55075.93,699568,7.872848672,5,2020
Kalumpang,Kalumpang,70110100,Chemical Consumed,6325.25,164574,3.843407829,5,2020
Kepong,Kepong,70110100,Chemical Consumed,2801,49724,5.633094683,5,2020
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,7650.38,196001,3.903235188,5,2020
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,79522.8,1604638,4.955809348,5,2020
Langat 2,Langat 2,70110100,Chemical Consumed,423265.7,11957787,3.539665826,5,2020
North Hummock,North Hummock,70110100,Chemical Consumed,50586.23,373209,13.55439713,5,2020
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,50972.24,890789,5.722145199,5,2020
Rasa,Rasa,70110100,Chemical Consumed,288.7,6756517,0.004272912,5,2020
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,9591.25,138400,6.930093931,5,2020
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,205455.55,2790137,7.363636624,5,2020
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,81792.35,3408102,2.399938441,5,2020
Sungai Buaya,NA,70110100,Chemical Consumed,323,NULL,NULL,5,2020
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,5134.5,50022,10.26448363,5,2020
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,34504.63,929802,3.710965345,5,2020
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,50964.6,2357059,2.162211468,5,2020
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,333564.42,8719226,3.825619613,5,2020
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,7062.5,168005,4.203743936,5,2020
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4368,114142,3.826812216,5,2020
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,11125,189300,5.87691495,5,2020
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,2498.5,32077,7.78907005,5,2020
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,488633.25,29906396,1.633875409,5,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1659599.15,32221471,5.150600201,5,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,23638496,,2,2021
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6404.5,57206,11.19550397,5,2020
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,655021.1,18537527,3.533486964,5,2020
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4770,40170,11.87453323,5,2020
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,106946.8,525919,20.33522272,5,2020
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5261.5,66975,7.855916387,5,2020
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,38356.88,1189011,3.225948288,5,2020
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,39624.5,517075,7.663201663,6,2020
Batang Kali,Batang Kali,70110100,Chemical Consumed,23467,127409,18.41863605,6,2020
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,74232.6,1087884,6.823576778,6,2020
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,118945.9,3304215,3.599823256,6,2020
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,106076.3,456806,23.22130182,6,2020
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,50627.3,673830,7.513363905,6,2020
Kalumpang,Kalumpang,70110100,Chemical Consumed,6767.75,156161,4.333828549,6,2020
Kepong,Kepong,70110100,Chemical Consumed,3003.5,48839,6.149798317,6,2020
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8774.75,185565,4.728666505,6,2020
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,65206.13,1471883,4.430116388,6,2020
Langat 2,Langat 2,70110100,Chemical Consumed,503748,12855554,3.918524243,6,2020
North Hummock,North Hummock,70110100,Chemical Consumed,36194.72,316648,11.43058538,6,2020
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,45930.8,775078,5.92595842,6,2020
Rasa,Rasa,70110100,Chemical Consumed,269.77,6524214,0.004134904,6,2020
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,9302.25,120066,7.747613812,6,2020
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,203874,2717745,7.501586793,6,2020
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,84358.15,3232324,2.609829646,6,2020
Sungai Buaya,NA,70110100,Chemical Consumed,274,NULL,NULL,6,2020
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,5264,47623,11.05348256,6,2020
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,35069.25,883920,3.967468775,6,2020
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,51916.78,2404980.5,2.158719374,6,2020
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,305272.91,7267383,4.200589263,6,2020
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,7422.5,153982,4.820368615,6,2020
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,3437,113897,3.017638744,6,2020
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,9226.5,183415,5.030395551,6,2020
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1110.5,30495,3.641580587,6,2020
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,422570.2,27796975,1.520202108,6,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1629731.76,31116226,5.237562422,6,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,64469.96,23280025,0.27693252,2,2022
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6859,57386,11.95239257,6,2020
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,609455.7,18104534,3.366315311,6,2020
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4950,41607,11.89703656,6,2020
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,70201.5,495732,14.16117983,6,2020
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,4830,59940,8.058058058,6,2020
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,33467.24,1131865,2.956822589,6,2020
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,42058.5,555915,7.565635034,7,2020
Batang Kali,Batang Kali,70110100,Chemical Consumed,23786,82858,28.70694441,7,2020
