WTP,n_wtp,Code,Description,Amount per month (RM),Production (m3 per month),UnitCost (cent per m3),Month,Year
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,429120.2,28693903,1.495510039,10,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1509301.7,30231353,4.992504636,10,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,24223604,0,4,2020
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,5090,59324,8.580001349,10,2020
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,815725.9,18067842,4.514794296,10,2020
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4050,37598,10.77184957,10,2020
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,125471.5,509406,24.63094271,10,2020
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5040,56626,8.900505068,10,2020
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,37087.46,1291505,2.871646645,10,2020
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,42835.5,448817,9.544090353,11,2020
Batang Kali,Batang Kali,70110100,Chemical Consumed,24111,194305,12.40884177,11,2020
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,76974.34,1032862,7.452528992,11,2020
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,102914.9,3068312,3.354121093,11,2020
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,65369.99,383748,17.03461386,11,2020
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,44045.25,671832,6.555991676,11,2020
Kalumpang,Kalumpang,70110100,Chemical Consumed,7609,145313,5.236283058,11,2020
Kepong,Kepong,70110100,Chemical Consumed,2508,49080,5.11002445,11,2020
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,10305,177855,5.794045711,11,2020
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,96870.4,1601078,6.050323594,11,2020
Langat 2,Langat 2,70110100,Chemical Consumed,519857.5,12833310,4.050845028,11,2020
North Hummock,North Hummock,70110100,Chemical Consumed,45336.98,391753,11.5728482,11,2020
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,40247.43,630899,6.379377682,11,2020
Rasa,Rasa,70110100,Chemical Consumed,283.97,6526559,0.004350991,11,2020
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,6279.75,100784,6.230899746,11,2020
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,138805.75,2587433,5.36461234,11,2020
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,202662.03,3797553,5.336647836,11,2020
Sungai Buaya,NA,70110100,Chemical Consumed,241,NULL,NULL,11,2020
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4231,41759,10.1319476,11,2020
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,39143.75,896350,4.367016232,11,2020
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,62896.87,2179308.5,2.886092997,11,2020
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,286814.32,7165596,4.002658258,11,2020
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,8556,165106,5.182125422,11,2020
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,2987,113567,2.630165453,11,2020
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,11775.75,215854,5.455423573,11,2020
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,610,9244,6.598874946,11,2020
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,445755.85,27837093,1.601301724,11,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1478276.05,28706561,5.149610397,11,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,25657888,,4,2021
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6761.5,59206,11.42029524,11,2020
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,590570.3,17983795,3.283902536,11,2020
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4455,36883,12.07873546,11,2020
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,97829.5,506588,19.3114523,11,2020
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5019.5,56928,8.817277965,11,2020
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,33002.14,1174122,2.810793086,11,2020
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,34107,457432,7.45619021,12,2020
Batang Kali,Batang Kali,70110100,Chemical Consumed,30233,195011,15.50322802,12,2020
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,58350.94,1085701,5.374494451,12,2020
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,76830.4,2885490,2.662646552,12,2020
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,34208.5,386431,8.85242126,12,2020
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,53595.75,697733,7.681412517,12,2020
Kalumpang,Kalumpang,70110100,Chemical Consumed,8765,150542,5.822295439,12,2020
Kepong,Kepong,70110100,Chemical Consumed,2698.5,50741,5.318184506,12,2020
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,10782,187721,5.743630175,12,2020
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,91966.2,1630816,5.639275062,12,2020
Langat 2,Langat 2,70110100,Chemical Consumed,524707.6,13185663,3.979379725,12,2020
North Hummock,North Hummock,70110100,Chemical Consumed,46083.21,416003,11.07761482,12,2020
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,40685.41,684892,5.940412503,12,2020
Rasa,Rasa,70110100,Chemical Consumed,320.65,6843620,0.004685386,12,2020
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,10438.25,109853,9.502016331,12,2020
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,127487.2,2615465,4.874360773,12,2020
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,198297.97,3968825,4.996389863,12,2020
Sungai Buaya,NA,70110100,Chemical Consumed,135,NULL,NULL,12,2020
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4142,45386,9.126162253,12,2020
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,36903.75,923249,3.997161113,12,2020
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,56993.67,2194386,2.597249071,12,2020
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,272292.83,7074746,3.848800084,12,2020
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,6927.5,172216,4.022564686,12,2020
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4946,117656,4.203780513,12,2020
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,9847.25,220076,4.474476999,12,2020
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1545.5,11788,13.11079063,12,2020
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,471329.2,29917353,1.575437506,12,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1437721.9,29972569,4.79679236,12,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,77953.08,25731979,0.30294242,4,2022
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6923,58478,11.83864017,12,2020
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,646907.2,18481387,3.500317373,12,2020
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,5805,35935,16.15416725,12,2020
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,157956.5,514195,30.71918241,12,2020
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5231,62460,8.374959974,12,2020
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,31288.51,1207433,2.591324736,12,2020
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,40271.5,477102,8.440857511,1,2021
Batang Kali,Batang Kali,70110100,Chemical Consumed,21255,168771,12.5939883,1,2021
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,63970.9,1088377,5.877641663,1,2021
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,93433.7,2753879,3.392803388,1,2021
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,37008.01,380680,9.721553536,1,2021
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,42438.95,705484,6.015579375,1,2021
Kalumpang,Kalumpang,70110100,Chemical Consumed,7609,143927,5.286707845,1,2021
Kepong,Kepong,70110100,Chemical Consumed,3504,48399,7.239819005,1,2021
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8402,180732,4.648872364,1,2021
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,102000,1681142,6.067304249,1,2021
Langat 2,Langat 2,70110100,Chemical Consumed,582515.2,13980476,4.166633525,1,2021
North Hummock,North Hummock,70110100,Chemical Consumed,45914.61,462656,9.924135859,1,2021
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,43979.89,699871,6.28399948,1,2021
Rasa,Rasa,70110100,Chemical Consumed,414,6882858,0.006014943,1,2021
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,9182.5,109149,8.412811844,1,2021
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,120358.9,2692057,4.470889732,1,2021
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,107626.22,4011845,2.682711321,1,2021
Sungai Buaya,NA,70110100,Chemical Consumed,233,NULL,NULL,1,2021
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,5396,42430,12.71741692,1,2021
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,36605,942081,3.885546996,1,2021
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,59690.18,2183060.5,2.73424305,1,2021
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,254983.8,5596165,4.556402465,1,2021
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,8038.5,171614,4.68405841,1,2021
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,3918,117614,3.331236077,1,2021
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,10003.75,211280,4.734830557,1,2021
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,875,7976,10.97041123,1,2021
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,394120.85,30788252,1.280101417,1,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1364411.45,29904794,4.562517468,1,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,25587818,0,5,2020
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,5341.5,59002,9.053082946,1,2021
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,596504.1,18725232,3.185563202,1,2021
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,3982.5,35526,11.21009965,1,2021
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,147447.5,503535,29.28247292,1,2021
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5387,60611,8.887825642,1,2021
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,32682.42,1213096,2.694133028,1,2021
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,32227,422764,7.622929105,2,2021
Batang Kali,Batang Kali,70110100,Chemical Consumed,23876,134818,17.70980136,2,2021
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,58328.72,1009391,5.778605119,2,2021
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,61797,2462063,2.509968266,2,2021
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,44939.05,429898,10.45342151,2,2021
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,48426.3,682400,7.096468347,2,2021
Kalumpang,Kalumpang,70110100,Chemical Consumed,7143,137345,5.200771779,2,2021
Kepong,Kepong,70110100,Chemical Consumed,1620.5,44715,3.624063513,2,2021
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,7958,172086,4.62443197,2,2021
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,106331,1520608,6.992663461,2,2021
Langat 2,Langat 2,70110100,Chemical Consumed,423652.4,12677368,3.341800916,2,2021
North Hummock,North Hummock,70110100,Chemical Consumed,53131.78,416985,12.74189239,2,2021
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,40581.85,671314,6.045136851,2,2021
Rasa,Rasa,70110100,Chemical Consumed,354,6399964,0.005531281,2,2021
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,11346.5,101547,11.17364373,2,2021
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,131928.9,2490826,5.296592375,2,2021
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,90155.26,3718525,2.424489818,2,2021
Sungai Buaya,NA,70110100,Chemical Consumed,282,NULL,NULL,2,2021
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,3639,39848,9.132202369,2,2021
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,31771.88,854823,3.716778795,2,2021
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,56119.21,1985596,2.826315625,2,2021
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,249169.37,5864216,4.248980085,2,2021
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,7723.5,155787,4.957730748,2,2021
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,3212,105375,3.048161329,2,2021
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,7903.25,179841,4.39457632,2,2021
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1463,6585,22.21716021,2,2021
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,339525.5,27546853,1.23253825,2,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1268785.93,27709543,4.57887714,2,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,26349429,,5,2021
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,4523,53748,8.415196845,2,2021
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,555721.4,17231178,3.22509233,2,2021
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4005,35187,11.38204451,2,2021
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,95031,461367,20.59770205,2,2021
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,4257,55502,7.669993874,2,2021
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,27268.96,1074358,2.538163257,2,2021
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,32246,452932,7.11939099,3,2021
Batang Kali,Batang Kali,70110100,Chemical Consumed,25993,154227,16.85372859,3,2021
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,75411.16,1170520,6.442534942,3,2021
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,101836.8,2985659,3.410865072,3,2021
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,79321.83,464971,17.05952199,3,2021
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,66374.85,760068,8.732751543,3,2021
Kalumpang,Kalumpang,70110100,Chemical Consumed,6814,145375,4.687188306,3,2021
Kepong,Kepong,70110100,Chemical Consumed,2856,52542,5.435651479,3,2021
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8045,193792,4.151358157,3,2021
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,96526.8,1685361,5.727366422,3,2021
Langat 2,Langat 2,70110100,Chemical Consumed,352805.3,11025813,3.199812114,3,2021
North Hummock,North Hummock,70110100,Chemical Consumed,49761.41,439316,11.32701973,3,2021
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,49193.49,1118446,4.398378643,3,2021
Rasa,Rasa,70110100,Chemical Consumed,483,6969577,0.006930119,3,2021
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,13632.25,117320,11.61971531,3,2021
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,133009.07,2698396,4.929190156,3,2021
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,97565.49,3937737,2.47770458,3,2021
Sungai Buaya,NA,70110100,Chemical Consumed,90,NULL,NULL,3,2021
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,5378,44075,12.20192853,3,2021
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,35710.63,917743,3.89113619,3,2021
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,66905.39,2209336,3.028303074,3,2021
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,416511.65,9388550,4.436378887,3,2021
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,8083.5,171083,4.72489961,3,2021
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4368,115348,3.786801678,3,2021
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,9996.75,221578,4.511616677,3,2021
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,595,6611,9.000151263,3,2021
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,421841.7,30357885,1.389562218,3,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1419705.75,31061426,4.57063932,3,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,66863.83,25884089,0.258320198,5,2022
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,5229,59768,8.748828805,3,2021
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,648736.9,19351507,3.352384391,3,2021
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,3105,40222,7.71965591,3,2021
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,37927.5,499336,7.595586939,3,2021
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,4997,61076,8.181609798,3,2021
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,30087.49,1306370,2.303136937,3,2021
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,37438,388200,9.643997939,4,2021
Batang Kali,Batang Kali,70110100,Chemical Consumed,29316,148405,19.75405141,4,2021
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,64775.5,1127589,5.744601978,4,2021
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,96793.45,3049288,3.174296754,4,2021
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,52346.31,376522,13.90259002,4,2021
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,65470.83,736438,8.89020257,4,2021
Kalumpang,Kalumpang,70110100,Chemical Consumed,7480,139128,5.376344086,4,2021
Kepong,Kepong,70110100,Chemical Consumed,2981.5,49631,6.007334126,4,2021
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8686,189160,4.59187989,4,2021
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,112933.4,1664386,6.785288989,4,2021
Langat 2,Langat 2,70110100,Chemical Consumed,397985.9,10178021,3.910248368,4,2021
North Hummock,North Hummock,70110100,Chemical Consumed,49169.72,425212,11.5635777,4,2021
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,61162.77,1057261,5.785020917,4,2021
Rasa,Rasa,70110100,Chemical Consumed,465,6733245,0.006906031,4,2021
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,13905,119489,11.63705446,4,2021
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,149005.62,2663631,5.59407891,4,2021
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,96290.66,3808380,2.528388974,4,2021
Sungai Buaya,NA,70110100,Chemical Consumed,188,NULL,NULL,4,2021
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4504,42223,10.66717192,4,2021
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,36989.38,892278,4.145499497,4,2021
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,64637.46,2126001.5,3.040329934,4,2021
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,413591.6,8736303,4.73417188,4,2021
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,6725,166190,4.046573199,4,2021
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4593,112329,4.088881767,4,2021
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,8863.25,206563,4.290821686,4,2021
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1673,8167,20.48487817,4,2021
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,446026.55,28765985,1.550534598,4,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1571129.55,30442417,5.160988203,4,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,24204155,0,6,2020
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,5376,59758,8.996285016,4,2021
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,633422.7,18542197,3.416114606,4,2021
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,5197.5,39131,13.28230814,4,2021
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,44643,479066,9.318757749,4,2021
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,6305.5,57880,10.89409122,4,2021
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,34002.54,1151754,2.952239801,4,2021
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,32018,389916,8.211512223,5,2021
Batang Kali,Batang Kali,70110100,Chemical Consumed,30581,153606,19.90872752,5,2021
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,85435.92,1127325,7.578641474,5,2021
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,98787,3026342,3.264237816,5,2021
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,46561.97,392500,11.86292229,5,2021
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,50176.23,754793,6.647680887,5,2021
Kalumpang,Kalumpang,70110100,Chemical Consumed,6554,145369,4.508526577,5,2021
Kepong,Kepong,70110100,Chemical Consumed,3946,53301,7.403238213,5,2021
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8290,188233,4.404116175,5,2021
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,99715.6,1690835,5.897417548,5,2021
Langat 2,Langat 2,70110100,Chemical Consumed,438308.7,9782152,4.480698112,5,2021
North Hummock,North Hummock,70110100,Chemical Consumed,44782.54,444558,10.07349772,5,2021
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,63565.05,1094555,5.807387477,5,2021
Rasa,Rasa,70110100,Chemical Consumed,447,6944848,0.006436426,5,2021
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,6338.5,115810,5.473188844,5,2021
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,150107.31,2771821,5.415476324,5,2021
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,95680.82,3956918,2.418064261,5,2021
Sungai Buaya,NA,70110100,Chemical Consumed,90,NULL,NULL,5,2021
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,3880,43995,8.819183998,5,2021
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,40202.5,914981,4.393807085,5,2021
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,66826.52,2250073,2.969971196,5,2021
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,416335.68,9531145,4.368160174,5,2021
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,8061,171370,4.703857151,5,2021
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4593,118748,3.867854616,5,2021
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,10944.5,212472,5.151031665,5,2021
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1223,8678,14.09310901,5,2021
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,522081.25,29391223,1.776316862,5,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1685743.6,31707823,5.316491138,5,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,25372289,,6,2021
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,8960.5,62487,14.33978267,5,2021
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,644356.2,19077290,3.377608665,5,2021
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4972.5,42141,11.79967253,5,2021
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,69169.5,540564,12.79580216,5,2021
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,4662.5,59527,7.832580174,5,2021
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,34777.55,1183923,2.93748411,5,2021
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,33064.5,392587,8.422209599,6,2021
Batang Kali,Batang Kali,70110100,Chemical Consumed,30721,146414,20.98228312,6,2021
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,70122.74,1103604,6.353976608,6,2021
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,85273.8,2774322,3.073680705,6,2021
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,51334.41,387426,13.25012002,6,2021
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,53406.6,709146,7.53111489,6,2021
Kalumpang,Kalumpang,70110100,Chemical Consumed,6769,140639,4.813031947,6,2021
Kepong,Kepong,70110100,Chemical Consumed,2603.5,54174,4.805810906,6,2021
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,7522,185927,4.04567384,6,2021
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,120756.2,1616963,7.468086777,6,2021
Langat 2,Langat 2,70110100,Chemical Consumed,361516,9277428,3.89672655,6,2021
North Hummock,North Hummock,70110100,Chemical Consumed,48104,429419,11.20211262,6,2021
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,58135.02,1002289,5.800225284,6,2021
Rasa,Rasa,70110100,Chemical Consumed,508.5,6593181,0.007712514,6,2021
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,7778.5,106783,7.284399202,6,2021
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,161603.2,2678929,6.032380851,6,2021
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,95203.73,3749290,2.539246897,6,2021
Sungai Buaya,NA,70110100,Chemical Consumed,965,NULL,NULL,6,2021
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4610,40733,11.31760489,6,2021
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,35033.75,884550,3.960629699,6,2021
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,61747.32,2141904,2.88282388,6,2021
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,383254.88,9515632,4.027634528,6,2021
