,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Soda Ash (Pre),Soda Ash (Post),Liquid Chlorine,Sodium Silico Fluoride,Liquid Aluminium Sulphate,Hydrated Lime (Pre),Hydrated Lime (Post),Soda Ash,Hydrated Lime,Liquid Polyaluminium Chloride,Liquid Chlorine (Pre),Liquid Chlorine (Intermediate),Liquid Chlorine (Post),Sodium Aluminosilicate,Sodium Fluoride,Superfloc C 591 PWG,Aluminium Chlorohydrate,Flopam AH 912 PWG,Hydrated Lime (Intermediate),Hydrated Lime (Powder) (Pre),Hydrated Lime (Powder) (Post),Hydrated Lime (Powder),Flopam FO 4190 PWG,Flopam FO 4290 PWG,Polyelectrolyte AN 910 PWG,Microsand,Activated Carbon,Flopam FL 4520 PWG,Modified Liquid Alum,Potassium Permanganate,Polymer Tianfloc C3080,Sodium Hypochlorite,Hydrated Lime (Powder) (Intermediate),Liquid Polyaluminium Chloride ,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Hydrated Lime (Post) (mg/L),Liquid Chlorine (Post) (mg/L),Sodium Silico Fluoride (mg/L),Liquid Chlorine (Pre) (mg/L),Hydrated Lime (Pre) (mg/L),wtp,Date,Month,Quarter,Water Source,Lembangan
9324,,,,,,0.45,36.0,,,,,,4.0,,4.09,,,,,,,0.0,15.3,,,0.47,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-05-11,5,2,River,Sg Selangor
9325,,,,,,0.46,36.67,,,,,,4.0,,4.22,,,,,,,0.0,15.3,,,0.46,,235.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-06-11,6,2,River,Sg Selangor
9326,,,,,,0.56,35.17,,,,,,3.69,,4.11,,,,,,,0.0,13.22,,,0.39,,240.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-07-11,7,3,River,Sg Selangor
9327,,,,,,0.59,39.33,,,,,,3.69,,3.96,,,,,,,0.0,14.58,,,0.41,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-08-11,8,3,River,Sg Selangor
9328,,,,,,0.42,37.67,,,,,,3.92,,4.78,,,,,,,0.0,15.0,,,0.45,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-09-11,9,3,River,Sg Selangor
9329,,,,,,0.41,37.67,,,,,,3.95,,4.16,,,,,,,0.0,14.4,,,0.38,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-10-11,10,4,River,Sg Selangor
9330,,,,,,0.37,33.83,,,,,,3.99,,4.32,,,,,,,0.0,14.97,,,0.4,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-11,11,4,River,Sg Selangor
9331,,,,,,0.4,35.17,,,,,,3.98,,4.07,,,,,,,0.0,10.4,,,0.38,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-12-11,12,4,River,Sg Selangor
9332,,,,,,0.41,31.67,,,,,,3.86,,3.86,,,,,,,0.0,14.55,,,0.38,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-13,11,4,River,Sg Selangor
9333,,,,,,0.3,32.17,,,,,,3.92,,4.25,,,,,,,0.0,10.0,,,0.38,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-14,11,4,River,Sg Selangor
9334,,,,,,0.45,31.0,,,,,,3.81,,5.15,,,,,,,0.0,9.65,,,0.38,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-15,11,4,River,Sg Selangor
9335,,,,,,0.6,31.33,,,,,,3.84,,5.04,,,,,,,0.0,10.0,,,0.37,,240.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-16,11,4,River,Sg Selangor
9336,,,,,,0.59,37.0,,,,,,3.81,,4.73,,,,,,,0.0,14.95,,,0.38,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-17,11,4,River,Sg Selangor
9337,,,,,,0.59,38.67,,,,,,4.06,,4.4,,,,,,,0.0,14.65,,,0.56,,240.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-18,11,4,River,Sg Selangor
9338,,,,,,0.58,34.33,,,,,,3.89,,4.25,,,,,,,0.0,13.88,,,0.45,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-19,11,4,River,Sg Selangor
9339,,,,,,0.6,34.67,,,,,,3.94,,4.4,,,,,,,0.0,10.0,,,0.42,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-20,11,4,River,Sg Selangor
9340,,,,,,0.43,35.0,,,,,,4.09,,4.36,,,,,,,0.0,10.3,,,0.51,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-21,11,4,River,Sg Selangor
9341,,,,,,0.59,37.0,,,,,,3.92,,3.88,,,,,,,0.0,10.2,,,0.52,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-22,11,4,River,Sg Selangor
9342,,,,,,0.58,29.33,,,,,,3.69,,4.55,,,,,,,0.0,14.4,,,0.39,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-23,11,4,River,Sg Selangor
9343,,,,,,0.5,38.17,,,,,,4.03,,4.07,,,,,,,0.0,10.08,,,0.55,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-24,11,4,River,Sg Selangor
9344,,,,,,0.48,29.33,,,,,,3.92,,4.0,,,,,,,0.0,5.83,,,0.42,,470.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-25,11,4,River,Sg Selangor
9345,,,,,,0.45,32.5,,,,,,3.92,,4.09,,,,,,,0.0,12.35,,,0.46,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-26,11,4,River,Sg Selangor
9346,,,,,,0.32,31.5,,,,,,3.84,,3.92,,,,,,,0.0,10.0,,,0.39,,235.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-27,11,4,River,Sg Selangor
9347,,,,,,0.44,31.33,,,,,,4.05,,3.7,,,,,,,0.0,5.15,,,0.38,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-28,11,4,River,Sg Selangor
9348,,,,,,0.4,32.33,,,,,,3.76,,3.14,,,,,,,0.0,7.37,,,0.42,,461.5,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-29,11,4,River,Sg Selangor
9349,,,,,,0.45,31.83,,,,,,3.97,,3.65,,,,,,,0.0,10.02,,,0.41,,0.0,,,,,,,,,,,,,,,,Sungai Selangor Fasa 2 Stream C,2021-11-30,11,4,River,Sg Selangor
9800,8.44,0.02,1.04,0.0,2.86,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-01-10,1,1,River,Sg Selangor
9801,8.72,0.02,1.07,0.0,2.8,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-02-10,2,1,River,Sg Selangor
9802,8.88,0.02,1.06,0.0,2.68,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-03-10,3,1,River,Sg Selangor
9803,8.58,0.02,1.04,0.0,2.66,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-04-10,4,2,River,Sg Selangor
9804,8.06,0.02,1.07,0.0,2.71,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-05-10,5,2,River,Sg Selangor
9805,9.08,0.02,1.03,0.0,2.86,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-06-10,6,2,River,Sg Selangor
9806,13.56,0.02,1.03,0.0,2.87,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-07-10,7,3,River,Sg Selangor
9807,10.43,0.02,1.03,0.0,2.88,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-08-10,8,3,River,Sg Selangor
9808,9.42,0.02,1.02,0.0,2.83,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-09-10,9,3,River,Sg Selangor
9809,15.14,0.02,0.97,0.0,2.71,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-10,10,4,River,Sg Selangor
9810,9.64,0.02,1.02,0.0,2.85,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-11-10,11,4,River,Sg Selangor
9811,9.41,0.02,1.03,0.0,2.85,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-12-10,12,4,River,Sg Selangor
9812,9.77,0.02,0.94,0.0,2.62,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-13,10,4,River,Sg Selangor
9813,9.18,0.02,1.03,0.0,2.85,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-14,10,4,River,Sg Selangor
9814,9.89,0.02,1.05,0.0,2.9,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-15,10,4,River,Sg Selangor
9815,9.98,0.02,1.03,0.0,2.86,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-16,10,4,River,Sg Selangor
9816,8.93,0.02,0.97,0.0,2.7,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-17,10,4,River,Sg Selangor
9817,10.63,0.02,1.13,0.0,2.68,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-18,10,4,River,Sg Selangor
9818,10.43,0.02,1.0,0.0,2.8,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-19,10,4,River,Sg Selangor
9819,12.88,0.02,1.0,0.0,2.79,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-20,10,4,River,Sg Selangor
9820,12.51,0.02,1.04,0.0,2.91,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-21,10,4,River,Sg Selangor
9821,11.15,0.02,1.03,0.0,2.88,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-22,10,4,River,Sg Selangor
9822,11.64,0.02,1.03,0.0,2.87,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-23,10,4,River,Sg Selangor
9823,10.73,0.02,1.01,0.0,2.8,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-24,10,4,River,Sg Selangor
9824,12.88,0.02,1.03,0.0,2.86,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-25,10,4,River,Sg Selangor
9825,18.59,0.02,1.04,0.0,2.91,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-26,10,4,River,Sg Selangor
9826,14.34,0.02,1.0,0.0,2.79,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-27,10,4,River,Sg Selangor
9827,14.22,0.02,0.99,0.0,2.76,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-28,10,4,River,Sg Selangor
9828,11.84,0.02,0.97,0.0,2.79,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-29,10,4,River,Sg Selangor
9829,13.05,0.02,1.03,0.0,2.87,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-30,10,4,River,Sg Selangor
9830,12.94,0.02,1.04,0.0,2.9,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batang Kali,2021-10-31,10,4,River,Sg Selangor
9924,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-01-10,1,1,River,Sg Selangor
9925,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-02-10,2,1,River,Sg Selangor
9926,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-03-10,3,1,River,Sg Selangor
9927,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-04-10,4,2,River,Sg Selangor
9928,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-05-10,5,2,River,Sg Selangor
9929,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-06-10,6,2,River,Sg Selangor
9930,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-07-10,7,3,River,Sg Selangor
9931,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-08-10,8,3,River,Sg Selangor
9932,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-09-10,9,3,River,Sg Selangor
9933,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-10,10,4,River,Sg Selangor
9934,0.0,,,,2.51,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-11-10,11,4,River,Sg Selangor
9935,0.0,,,,2.64,0.52,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-12-10,12,4,River,Sg Selangor
9936,0.0,,,,2.59,0.52,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-13,10,4,River,Sg Selangor
9937,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-14,10,4,River,Sg Selangor
9938,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-15,10,4,River,Sg Selangor
9939,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-16,10,4,River,Sg Selangor
9940,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-17,10,4,River,Sg Selangor
9941,0.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-18,10,4,River,Sg Selangor
9942,12.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-19,10,4,River,Sg Selangor
9943,14.86,,,,2.51,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-20,10,4,River,Sg Selangor
9944,13.17,,,,2.44,0.53,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-21,10,4,River,Sg Selangor
9945,11.5,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-22,10,4,River,Sg Selangor
9946,11.17,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-23,10,4,River,Sg Selangor
9947,9.33,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-24,10,4,River,Sg Selangor
9948,12.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-25,10,4,River,Sg Selangor
9949,10.33,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-26,10,4,River,Sg Selangor
9950,10.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-27,10,4,River,Sg Selangor
9951,12.17,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-28,10,4,River,Sg Selangor
9952,11.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-29,10,4,River,Sg Selangor
9953,10.83,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-30,10,4,River,Sg Selangor
9954,10.0,,,,2.5,0.51,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Kubu Bharu,2021-10-31,10,4,River,Sg Selangor
9986,,,,,4.03,0.51,,,,,10.91,18.71,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-01-10,1,1,River,Sg Selangor
9987,,,,,3.99,0.51,,,,,10.8,19.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-02-10,2,1,River,Sg Selangor
9988,,,,,4.1,0.52,,,,,11.09,17.79,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-03-10,3,1,River,Sg Selangor
9989,,,,,4.04,0.52,,,,,11.1,18.79,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-04-10,4,2,River,Sg Selangor
9990,,,,,4.02,0.51,,,,,10.8,17.96,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-05-10,5,2,River,Sg Selangor
9991,,,,,4.05,0.51,,,,,10.96,19.14,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-06-10,6,2,River,Sg Selangor
9992,,,,,4.05,0.51,,,,,10.93,20.57,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-07-10,7,3,River,Sg Selangor
9993,,,,,4.07,0.52,,,,,11.01,20.25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-08-10,8,3,River,Sg Selangor
9994,,,,,4.07,0.52,,,,,11.01,18.14,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-09-10,9,3,River,Sg Selangor
9995,,,,,4.06,0.52,,,,,10.99,17.72,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-10,10,4,River,Sg Selangor
9996,,,,,4.04,0.52,,,,,11.1,17.19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-11-10,11,4,River,Sg Selangor
9997,,,,,4.05,0.52,,,,,11.04,17.45,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-12-10,12,4,River,Sg Selangor
9998,,,,,4.03,0.51,,,,,10.93,17.19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-13,10,4,River,Sg Selangor
9999,,,,,3.98,0.52,,,,,10.99,17.16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-14,10,4,River,Sg Selangor
10000,,,,,3.92,0.51,,,,,10.93,18.36,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-15,10,4,River,Sg Selangor
10001,,,,,4.04,0.51,,,,,10.94,16.97,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-16,10,4,River,Sg Selangor
10002,,,,,3.98,0.51,,,,,10.93,20.08,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-17,10,4,River,Sg Selangor
10003,,,,,3.93,0.51,,,,,10.75,25.11,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-18,10,4,River,Sg Selangor
10004,,,,,3.99,0.51,,,,,10.95,23.19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-19,10,4,River,Sg Selangor
10005,,,,,3.98,0.51,,,,,11.21,26.43,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-20,10,4,River,Sg Selangor
10006,,,,,4.0,0.52,,,,,11.04,27.63,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-21,10,4,River,Sg Selangor
10007,,,,,4.0,0.52,,,,,11.01,19.52,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-22,10,4,River,Sg Selangor
10008,,,,,4.07,0.52,,,,,11.01,23.84,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-23,10,4,River,Sg Selangor
10009,,,,,3.99,0.52,,,,,11.14,23.65,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-24,10,4,River,Sg Selangor
10010,,,,,3.95,0.52,,,,,10.96,21.35,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-25,10,4,River,Sg Selangor
10011,,,,,4.07,0.52,,,,,11.03,22.25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-26,10,4,River,Sg Selangor
10012,,,,,3.93,0.51,,,,,10.95,23.42,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-27,10,4,River,Sg Selangor
10013,,,,,3.96,0.52,,,,,11.04,18.16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-28,10,4,River,Sg Selangor
10014,,,,,3.95,0.51,,,,,10.85,22.17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-29,10,4,River,Sg Selangor
10015,,,,,3.97,0.52,,,,,11.07,21.76,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-30,10,4,River,Sg Selangor
10016,,,,,4.02,0.52,,,,,11.04,21.14,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang New,2021-10-31,10,4,River,Sg Selangor
10017,,,,,6.32,0.51,,,,,2.64,20.08,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-01-10,1,1,River,Sg Selangor
10018,,,,,6.31,0.51,,,,,2.65,18.29,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-02-10,2,1,River,Sg Selangor
10019,,,,,6.37,0.52,,,,,2.64,18.24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-03-10,3,1,River,Sg Selangor
10020,,,,,6.33,0.53,,,,,2.62,19.04,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-04-10,4,2,River,Sg Selangor
10021,,,,,6.57,0.52,,,,,2.63,18.26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-05-10,5,2,River,Sg Selangor
10022,,,,,6.36,0.53,,,,,2.64,19.51,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-06-10,6,2,River,Sg Selangor
10023,,,,,6.33,0.51,,,,,2.62,19.76,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-07-10,7,3,River,Sg Selangor
10024,,,,,6.37,0.54,,,,,2.64,18.75,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-08-10,8,3,River,Sg Selangor
10025,,,,,6.41,0.52,,,,,2.65,18.01,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-09-10,9,3,River,Sg Selangor
10026,,,,,6.55,0.53,,,,,2.72,18.33,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-10-10,10,4,River,Sg Selangor
10027,,,,,6.56,0.53,,,,,2.72,18.34,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-11-10,11,4,River,Sg Selangor
10028,,,,,6.6,0.53,,,,,2.73,18.22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-12-10,12,4,River,Sg Selangor
10029,,,,,6.57,0.55,,,,,2.73,18.19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-10-13,10,4,River,Sg Selangor
10030,,,,,6.28,0.55,,,,,2.68,18.26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-10-14,10,4,River,Sg Selangor
10031,,,,,6.65,0.56,,,,,2.75,18.27,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-10-15,10,4,River,Sg Selangor
10032,,,,,6.57,0.55,,,,,2.74,18.22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-10-16,10,4,River,Sg Selangor
10033,,,,,6.33,0.51,,,,,2.62,20.15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-10-17,10,4,River,Sg Selangor
10034,,,,,6.69,0.54,,,,,2.77,25.19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-10-18,10,4,River,Sg Selangor
10035,,,,,6.7,0.54,,,,,2.78,21.74,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rantau Panjang Old,2021-10-19,10,4,River,Sg Selangor
