wtp,Date,Liquid Polyaluminium Chloride (mg/L) _avg,Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L) _avg,Hydrated Lime (Post) (mg/L) _avg,Liquid Chlorine (Post) (mg/L) _avg,Sodium Silico Fluoride (mg/L) _avg,Liquid Chlorine (Pre) (mg/L) _avg,Hydrated Lime (Pre) (mg/L) _avg
Rasa,1/4/2021,27.87,0.05,5.48,2.74,0.43,,
Rasa,2/4/2021,24.72,0.04,0,2.72,0.55,,
Rasa,3/4/2021,31,0.06,4.75,3.07,0.7,,
Rasa,4/4/2021,29.32,0.07,9.87,2.98,0.53,,
Rasa,5/4/2021,20.15,0.05,10.26,3.03,0.48,,
Rasa,6/4/2021,20.93,0.04,5.01,2.87,0.6,,
Rasa,7/4/2021,22.97,0.04,6.62,2.84,0.61,,
Rasa,8/4/2021,22.78,0.05,5.41,2.83,0.28,,
Rasa,9/4/2021,23.4,0.05,6.51,2.71,0.63,,
Rasa,10/4/2021,23.93,0.04,6.55,2.96,0.78,,
Rasa,11/4/2021,26.9,0.04,7.26,3.24,0.67,,
Rasa,12/4/2021,23.23,0.05,6.82,3,0.61,,
Rasa,13/4/2021,19.37,0.03,6.75,2.2,0.43,,
Rasa,14/4/2021,27.87,0.04,5.6,2.65,0.5,,
Rasa,15/4/2021,26.67,0.05,7.74,3.1,0.39,,
Rasa,16/4/2021,21.56,0.04,9.43,2.96,0.64,,
Rasa,17/4/2021,23.44,0.04,4.86,4.01,0.49,,
Rasa,18/4/2021,25.82,0.04,6.88,3.39,0.48,,
Rasa,19/4/2021,24.87,0.04,7.42,3.69,0.59,,
Rasa,20/4/2021,23.94,0.04,10.08,3.18,0.63,,
Rasa,21/4/2021,19.79,0.05,4.33,4.09,0.67,,
Rasa,22/4/2021,25.86,0.05,14.96,3.6,0.63,,
Rasa,23/4/2021,20.17,0.04,4.71,2.91,0.67,,
Rasa,24/4/2021,25.35,0.05,10.93,2.8,0.63,,
Rasa,25/4/2021,20.46,0.04,8.92,2.9,0.48,,
Rasa,26/4/2021,16.98,0.04,8.69,3.25,0,,
Rasa,27/4/2021,21.67,0.05,12.96,2.58,0.45,,
Rasa,28/4/2021,23.8,0.06,0,3.14,0.57,,
Rasa,29/4/2021,18.87,0.04,5.87,2.78,0.61,,
Rasa,30/4/2021,20.1,0.04,5.43,2.64,0.4,,
Rasa,1/5/2021,29.43,0.05,10.29,3.24,0.7,,
Rasa,2/5/2021,32.49,0.04,7.97,3.2,0.61,,
Rasa,3/5/2021,33.82,0.04,7.84,3.07,0.55,,
Rasa,4/5/2021,24.45,0.04,10.35,3.34,0.51,,
Rasa,5/5/2021,20.28,0.03,13.59,5,0.66,,
Rasa,6/5/2021,26.22,0.04,10.08,5.41,0.67,,
Rasa,7/5/2021,21.93,0.05,9.7,4.59,0.72,,
Rasa,8/5/2021,25.88,0.04,10.19,4.61,0.7,,
Rasa,9/5/2021,21.89,0.04,11.77,4.81,0.35,,
Rasa,10/5/2021,21.45,0.05,9.88,5.71,0.5,,
Rasa,11/5/2021,30.19,0.05,8.41,4.43,0,,
Rasa,12/5/2021,27.72,0.04,10.03,4.59,0.42,,
Rasa,13/5/2021,25.47,0.04,9.51,3.34,0.62,,
Rasa,14/5/2021,30.82,0.04,10.79,4.87,0.7,,
Rasa,15/5/2021,33.53,0.05,13.04,5.12,0.56,,
Rasa,16/5/2021,23.34,0.05,13.59,3.61,0.3,,
Rasa,17/5/2021,17.97,0.08,12.37,4.23,0.55,,
Rasa,18/5/2021,31.53,0.05,12.33,4.36,0.46,,
Rasa,19/5/2021,27.67,0.02,6.08,4.16,0.64,,
Rasa,20/5/2021,28.85,0.04,12.03,4.76,0.69,,
Rasa,21/5/2021,18.39,0.04,10.75,4.77,0.67,,
Rasa,22/5/2021,20.23,0.06,9.76,4.82,0.73,,
Rasa,23/5/2021,17.15,0.04,12.66,4.29,0.62,,
Rasa,24/5/2021,17.27,0.04,12.76,4.11,0.6,,
Rasa,25/5/2021,19.49,0.02,4.98,3.61,0.5,,
Rasa,26/5/2021,17.47,0.03,5.19,3.05,0.64,,
Rasa,27/5/2021,16.4,0.02,9.54,2.78,0.56,,
Rasa,28/5/2021,24.72,0.05,9.98,2.94,0.66,,
Rasa,29/5/2021,20.56,0.04,9.11,4.44,0.73,,
Rasa,30/5/2021,23.7,0.05,8.55,3.69,0.74,,
Rasa,31/5/2021,26.82,0.04,7.67,3.6,0.66,,
Rasa,1/6/2021,28.08,0.06,11.75,3.89,0.76,,
Rasa,2/6/2021,30.82,0.05,4.34,3.25,0.6,,
Rasa,3/6/2021,27.94,0.04,10.97,3.02,0.55,,
Rasa,4/6/2021,28.25,0.06,9.54,3.12,0.53,,
Rasa,5/6/2021,29.66,0.07,6.43,2.97,0.4,,
Rasa,6/6/2021,25.47,0.05,11.39,2.92,0.49,,
Rasa,7/6/2021,23.98,0.07,11.64,3.16,0.63,,
Rasa,8/6/2021,26.95,0.07,11.64,3.06,0,,
Rasa,9/6/2021,20.94,0.07,6.39,3.13,0.57,,
Rasa,10/6/2021,25.53,0.06,5.72,2.94,0.52,,
Rasa,11/6/2021,22.29,0.06,11.75,3.18,0,,
Rasa,12/6/2021,24.22,0.06,5.81,2.86,0.52,,
Rasa,13/6/2021,23.88,0.04,9.46,2.99,0.46,,
Rasa,14/6/2021,19.79,0.04,7.64,3.08,0.69,,
Rasa,15/6/2021,23.27,0.06,5.94,2.91,0.64,,
Rasa,16/6/2021,30.16,0.04,14.7,3.24,0,,
Rasa,17/6/2021,25.06,0.06,10.84,2.87,0.7,,
Rasa,18/6/2021,24.2,0.05,5.4,2.76,0.62,,
Rasa,19/6/2021,25.51,0.05,10.3,2.91,0.53,,
Rasa,20/6/2021,20.27,0.05,9.66,3.17,0.63,,
Rasa,21/6/2021,21.28,0.05,9.99,3.39,0.2,,
Rasa,22/6/2021,26.55,0.05,6.59,2.8,0.63,,
Rasa,23/6/2021,23.78,0.04,5.82,2.91,0.46,,
Rasa,24/6/2021,24.47,0.05,0,3.34,0.28,,
Rasa,25/6/2021,23.01,0.05,0,2.33,0.4,,
Rasa,26/6/2021,25.94,0.05,3.14,2.89,0.44,,
Rasa,27/6/2021,26.58,0.05,10.33,3.33,0.37,,
Rasa,28/6/2021,24.74,0.06,9.8,2.71,0.29,,
Rasa,29/6/2021,23.04,0.04,5.74,2.93,0.55,,
Rasa,30/6/2021,30.84,0.06,10.89,3.11,0.54,,
Rasa,1/7/2021,21.8,0.06,5.71,3.51,0.35,,
Rasa,2/7/2021,27.79,0.07,5.05,3.94,0.42,,
Rasa,3/7/2021,30.86,0.05,9.64,3.3,0.18,,
Rasa,4/7/2021,18.5,0.05,9.18,2.71,0.32,,
Rasa,5/7/2021,21.76,0.06,5.36,3.18,0.27,,
Rasa,6/7/2021,22.33,0.06,0,2.68,0.64,,
Rasa,7/7/2021,24.05,0.05,10.92,3.27,0.36,,
Rasa,8/7/2021,23.09,0.05,7.23,3.2,0.46,,
Rasa,9/7/2021,23.42,0.05,0,2.58,0.33,,
Rasa,10/7/2021,25.31,0.05,7.1,2.49,0.42,,
Rasa,11/7/2021,30.9,0.05,8.18,3.21,0.5,,
Rasa,12/7/2021,30.52,0.05,8.07,2.7,0.42,,
Rasa,13/7/2021,29.43,0.06,12.57,3.2,0.21,,
Rasa,14/7/2021,25.14,0.04,0,3.06,0.38,,
Rasa,15/7/2021,23.33,0.05,6.92,2.86,0.55,,
Rasa,16/7/2021,25.38,0.05,7.66,3.03,0.48,,
Rasa,17/7/2021,28.88,0.05,0,3.44,0,,
Rasa,18/7/2021,21.23,0.05,10.39,2.63,0.31,,
Rasa,19/7/2021,21.05,0.05,0,2.82,0.21,,
Rasa,20/7/2021,23.06,0.04,8.07,3.07,0.64,,
Rasa,21/7/2021,25.14,0.05,11.61,2.89,0.21,,
Rasa,22/7/2021,23.28,0.05,5.11,2.51,0.31,,
Rasa,23/7/2021,22.78,0.03,6.07,3.1,0.23,,
Rasa,24/7/2021,22.92,0.03,10.41,2.92,0.38,,
Rasa,25/7/2021,22.08,0.03,7.66,3.02,0.41,,
Rasa,26/7/2021,21.85,0.04,7.88,2.72,0,,
Rasa,27/7/2021,22.78,0.04,0,2.8,0.41,,
Rasa,28/7/2021,22.95,0.02,8.15,2.92,0.51,,
Rasa,29/7/2021,23.94,0.03,7.32,2.75,0.35,,
Rasa,30/7/2021,25.39,0.03,5.21,3.18,0.55,,
Rasa,31/7/2021,23.25,0.04,6.84,3.02,0.63,,
Rasa,1/8/2021,23.97,0.06,6.73,2.9,0,,
Rasa,2/8/2021,25.64,0.06,7.23,2.99,0.31,,
Rasa,3/8/2021,26.4,0.08,5.27,2.56,0.35,,
Rasa,4/8/2021,21.05,0.07,5.15,3.12,0.53,,
Rasa,5/8/2021,21.19,0.06,5.11,3.1,0.48,,
Rasa,6/8/2021,25.42,0.06,5.83,2.96,0.3,,
Rasa,7/8/2021,21.27,0.07,5.23,3.31,0.4,,
Rasa,8/8/2021,20.71,0.06,5.78,2.56,0.43,,
Rasa,9/8/2021,24.44,0.06,0,2.91,0.52,,
Rasa,10/8/2021,25.8,0.06,5.61,2.85,0.36,,
Rasa,11/8/2021,21.18,0.06,9.77,3.1,0.35,,
Rasa,12/8/2021,27.04,0.06,0,2.85,0.51,,
Rasa,13/8/2021,27.9,0.06,6.09,3.22,0.48,,
Rasa,14/8/2021,26.66,0.06,8.79,3.19,0,,
Rasa,15/8/2021,22.6,0.06,0,3.2,0.52,,
Rasa,16/8/2021,24.1,0.06,11.21,2.89,0.36,,
Rasa,17/8/2021,24.42,0.05,12.33,2.97,0.64,,
Rasa,18/8/2021,26.18,0.05,6.48,4.44,0.31,,
Rasa,19/8/2021,30.15,0.04,5,3.87,0.35,,
Rasa,20/8/2021,27.43,0.06,0,5.16,0.43,,
Rasa,21/8/2021,23.15,0.05,7.37,4.66,0.52,,
Rasa,22/8/2021,22.83,0.05,6.45,5.09,0.44,,
Rasa,23/8/2021,22.75,0.05,7.54,4.56,0.47,,
Rasa,24/8/2021,18.95,0.05,13.82,5.98,0.39,,
Rasa,25/8/2021,34.29,0.05,12.72,5.56,0.25,,
Rasa,26/8/2021,32.84,0.05,7.47,3.59,0.24,,
Rasa,27/8/2021,25.56,0.06,9.15,4.73,0.3,,
Rasa,28/8/2021,22.76,0.04,7.19,3.81,0.49,,
Rasa,29/8/2021,26.6,0.05,5.92,2.87,0.42,,
Rasa,30/8/2021,25.79,0.05,5.64,2.92,0.34,,
Rasa,31/8/2021,23.71,0.04,5.57,2.81,0.59,,
Rasa,1/9/2021,25.42,0.04,13.91,4.26,0.47,,
Rasa,2/9/2021,34.29,0.04,5.25,3.08,0.68,,
Rasa,3/9/2021,26.65,0.06,10.15,3.12,0.45,,
Rasa,4/9/2021,23.85,0.05,7.59,3.02,0.6,,
Rasa,5/9/2021,20,0.05,9.25,2.98,0.54,,
Rasa,6/9/2021,19.53,0.05,9.38,3.23,0.51,,
Rasa,7/9/2021,23.35,0.06,4.91,2.95,0.55,,
Rasa,8/9/2021,24.33,0.04,0,2.65,0.45,,
Rasa,9/9/2021,23.65,0.06,4.91,3.1,0.54,,
Rasa,10/9/2021,22.17,0.05,9.02,2.83,0.59,,
Rasa,11/9/2021,22.25,0.05,0,2.72,0.5,,
Rasa,12/9/2021,23.48,0.05,6.05,3.08,0.74,,
Rasa,13/9/2021,22,0.05,5.03,2.88,0.3,,
Rasa,14/9/2021,31.23,0.06,5.57,2.92,0.66,,
Rasa,15/9/2021,33.35,0.05,11.02,3.69,0.34,,
Rasa,16/9/2021,30.99,0.06,5.49,3.41,0.58,,
Rasa,17/9/2021,28.6,0.06,5.66,3.1,0.61,,
Rasa,18/9/2021,29.44,0.05,11.05,2.85,0.26,,
Rasa,19/9/2021,35.83,0.04,5.79,2.97,0.42,,
Rasa,20/9/2021,33.49,0.04,5.02,2.91,0.66,,
Rasa,21/9/2021,32.2,0.06,5.17,3.01,0.71,,
Rasa,22/9/2021,25.9,0.04,5.03,2.94,0.55,,
Rasa,23/9/2021,29.69,0.06,8.36,2.96,0.51,,
Rasa,24/9/2021,26.99,0.04,11.35,3.01,0.23,,
Rasa,25/9/2021,25.61,0.04,6.6,2.71,0.29,,
Rasa,26/9/2021,26.11,0.05,11.63,2.98,0.63,,
Rasa,27/9/2021,24.18,0.05,0,2.92,0.24,,
Rasa,28/9/2021,33.09,0.06,0,2.95,0.47,,
Rasa,29/9/2021,36.26,0.05,12.12,3.03,0.35,,
Rasa,30/9/2021,27.56,0.05,5.42,2.82,0.63,,
