wtp,Date,Liquid Polyaluminium Chloride (mg/L) _avg,Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L) _avg,Hydrated Lime (Post) (mg/L) _avg,Liquid Chlorine (Post) (mg/L) _avg,Sodium Silico Fluoride (mg/L) _avg,Liquid Chlorine (Pre) (mg/L) _avg,Hydrated Lime (Pre) (mg/L) _avg
Sungai Selangor Fasa 3,17/1/2021,24.98066235,0.067051649,5.642761011,4.484432665,0.54,1.571594878,1.706380131
Sungai Selangor Fasa 3,18/1/2021,43.88223769,0.067839336,6.54057779,3.074173369,0.53,2.202221371,2.231037191
Sungai Selangor Fasa 3,19/1/2021,45.12056699,0.064202513,7.027609151,3.739798246,0.525,1.273635119,2.376391713
Sungai Selangor Fasa 3,20/1/2021,44.84354189,0.065756377,7.015647925,4.260632662,0.53,1.774632965,2.374058968
Sungai Selangor Fasa 3,21/1/2021,45.96689909,0.066602717,6.97606224,4.727263313,0.505,1.91834727,2.424360427
Sungai Selangor Fasa 3,22/1/2021,25.8441521,0.06439699,5.980193899,4.283356907,0.525,1.562942008,2.291772934
Sungai Selangor Fasa 3,23/1/2021,25.15714232,0.066297179,6.250515635,4.521640912,0.525,1.320564274,2.247095121
Sungai Selangor Fasa 3,24/1/2021,20.06936059,0.065192833,6.230158969,4.474283545,0.53,1.443585121,2.078093151
Sungai Selangor Fasa 3,25/1/2021,31.06301214,0.064605845,6.241948799,5.187783136,0.55,1.634273467,1.856628524
Sungai Selangor Fasa 3,26/1/2021,27.82885711,0.064819549,6.345619496,4.80260531,0.56,1.323867039,1.652995778
Sungai Selangor Fasa 3,27/1/2021,26.37610149,0.064537658,6.075794695,5.229856649,0.515,0.97009392,1.666409565
Sungai Selangor Fasa 3,28/1/2021,28.08731589,0.064687256,6.258177384,4.928729418,0.53,1.139100516,1.579679902
Sungai Selangor Fasa 3,29/1/2021,32.57591513,0.064612176,6.386585967,5.104787062,0.495,1.213586185,1.590852757
Sungai Selangor Fasa 3,30/1/2021,27.70168421,0.065892246,6.300590962,4.603602928,0.49,1.160582665,1.557811811
Sungai Selangor Fasa 3,31/1/2021,26.03236105,0.06519008,6.302525597,4.740468078,0.52,1.234859602,1.586551745
Sungai Selangor Fasa 3,1/2/2021,30.6744803,0.067013252,6.065634415,5.109780439,0.49,1.318612774,1.817423431
Sungai Selangor Fasa 3,2/2/2021,28.41108474,0.063484506,6.064196279,4.515892297,0.51,1.276698046,1.843418308
Sungai Selangor Fasa 3,3/2/2021,25.11712742,0.069204145,6.768068005,4.071736641,0.51,1.226881747,1.778113972
Sungai Selangor Fasa 3,4/2/2021,28.10509922,0.063861238,6.623127109,4.812226647,0.485,1.167933149,1.781882339
Sungai Selangor Fasa 3,5/2/2021,25.00020796,0.06555293,6.30872147,4.400205058,0.505,1.259642613,1.793287472
Sungai Selangor Fasa 3,6/2/2021,26.11963032,0.067756535,6.243201132,4.249908302,0.505,1.32656804,1.808459432
Sungai Selangor Fasa 3,7/2/2021,24.04270291,0.064142755,6.456094451,4.781674319,0.505,1.365146039,1.793787696
Sungai Selangor Fasa 3,8/2/2021,23.26836334,0.063216159,6.825648777,4.54634194,0.52,1.063985553,1.814561637
Sungai Selangor Fasa 3,9/2/2021,29.36182411,0.068502405,6.804118075,4.865726877,0.535,1.308645582,1.728799643
Sungai Selangor Fasa 3,10/2/2021,26.19520248,0.065927559,6.883351126,4.55033557,0.535,1.339841367,1.779769132
Sungai Selangor Fasa 3,11/2/2021,29.36677863,0.071614001,7.099470502,4.808088645,0.51,1.226874864,1.770616087
Sungai Selangor Fasa 3,12/2/2021,27.25791288,0.069398793,7.118511416,4.615962578,0.495,1.32455949,1.733568716
Sungai Selangor Fasa 3,13/2/2021,28.38159168,0.06979932,6.591984388,4.621573807,0.495,1.187504544,1.697875318
Sungai Selangor Fasa 3,14/2/2021,28.56708886,0.069338193,6.660258456,4.418095586,0.485,1.336495196,1.730600102
Sungai Selangor Fasa 3,15/2/2021,27.40851456,0.069288517,6.719660044,4.157578728,0.49,1.308663154,1.792043616
Sungai Selangor Fasa 3,16/2/2021,26.21575774,0.068239745,6.528541957,4.311764421,0.515,1.285901099,1.777430251
Sungai Selangor Fasa 3,17/2/2021,25.22635878,0.069217745,6.558766353,4.133362399,0.515,1.213486412,1.801290816
Sungai Selangor Fasa 3,18/2/2021,27.70125957,0.073910399,6.677015159,4.415732795,0.565,1.107275689,1.782849273
Sungai Selangor Fasa 3,19/2/2021,26.3589558,0.071367493,6.464735026,4.035182281,0.52,1.184584477,1.75252294
Sungai Selangor Fasa 3,20/2/2021,24.93935832,0.072923518,6.53068806,4.391700878,0.565,1.02386981,1.73909618
Sungai Selangor Fasa 3,21/2/2021,27.5644151,0.073225767,6.469541909,4.232341641,0.55,1.177223919,1.738756691
Sungai Selangor Fasa 3,22/2/2021,29.14502166,0.072730788,5.933580212,4.509584267,0.51,1.331839681,1.865866086
Sungai Selangor Fasa 3,23/2/2021,29.39368833,0.072267078,6.055922327,4.433268956,0.52,1.304271489,1.784671691
Sungai Selangor Fasa 3,24/2/2021,28.61978004,0.078144353,5.959563589,4.363983327,0.5,1.03952192,1.797634227
Sungai Selangor Fasa 3,25/2/2021,28.13304895,0.07532121,6.028508259,4.299550849,0.5,1.550698818,1.796656361
Sungai Selangor Fasa 3,26/2/2021,31.42784132,0.069633972,6.062174306,4.278222468,0.485,1.051363762,1.782653784
Sungai Selangor Fasa 3,27/2/2021,29.97462343,0.069732609,5.725437521,4.181611299,0.46,1.252875553,1.597748665
Sungai Selangor Fasa 3,28/2/2021,27.49926813,0.067553955,6.441799393,4.60218024,0.47,1.25413111,0.567859902
Sungai Selangor Fasa 3,1/3/2021,24.48801245,0.065288002,5.950272501,4.98454499,0.49,1.342273712,1.771381053
Sungai Selangor Fasa 3,2/3/2021,25.93290288,0.060993916,5.813546741,4.348514755,0.51,1.354874869,1.772144777
Sungai Selangor Fasa 3,3/3/2021,35.43323987,0.069280554,6.760202734,4.098601913,0.51,1.353936718,1.782916387
Sungai Selangor Fasa 3,4/3/2021,31.63040155,0.065724441,6.759450495,4.978387806,0.485,1.370036147,1.836955048
Sungai Selangor Fasa 3,5/3/2021,26.35772083,0.067450529,6.498325174,4.547174571,0.505,1.117558022,1.847863906
Sungai Selangor Fasa 3,6/3/2021,26.38113518,0.069122263,6.357962662,4.354798296,0.505,1.468303683,1.847192282
Sungai Selangor Fasa 3,7/3/2021,33.93300224,0.065702092,6.631322797,4.927397639,0.505,1.094697637,1.840809034
Sungai Selangor Fasa 3,8/3/2021,40.87126648,0.066272313,6.431116447,5.08656641,0.48,1.290281815,0.664556962
Sungai Selangor Fasa 3,9/3/2021,29.3433727,0.065541561,6.942025984,4.797484277,0.465,1.285534591,0.662925289
Sungai Selangor Fasa 3,10/3/2021,25.97347749,0.070785696,6.486040012,4.634201077,0.51,1.339018552,0.666753314
Sungai Selangor Fasa 3,11/3/2021,24.65870087,0.070593359,6.626233802,4.687929269,0.49,1.077699243,1.812243842
Sungai Selangor Fasa 3,12/3/2021,25.62160675,0.068001576,6.254967279,4.873741621,0.485,1.243362726,1.781665185
Sungai Selangor Fasa 3,13/3/2021,29.25867679,0.067548885,6.086583249,5.218472724,0.485,1.286681176,1.785434947
Sungai Selangor Fasa 3,14/3/2021,28.14375742,0.069695208,6.299428183,4.568727846,0.46,1.289877905,1.825013967
Sungai Selangor Fasa 3,15/3/2021,26.90410418,0.071596282,6.354733277,4.867774981,0.495,1.323496423,1.716708292
Sungai Selangor Fasa 3,16/3/2021,27.73347697,0.069466535,6.127387104,4.353347306,0.465,1.30440143,1.697197183
Sungai Selangor Fasa 3,17/3/2021,41.19816116,0.065996697,6.225620237,4.289243207,0.49,0.998078699,1.71828055
Sungai Selangor Fasa 3,18/3/2021,38.42787683,0.067300235,6.327251887,4.801619639,0.47,1.378985433,1.726119575
Sungai Selangor Fasa 3,19/3/2021,34.46872153,0.063860737,6.428670248,4.4,0.455,1.355279503,1.660399173
Sungai Selangor Fasa 3,20/3/2021,29.91651617,0.068442727,6.278507687,5.111941204,0.505,1.273437311,1.632906137
Sungai Selangor Fasa 3,21/3/2021,31.1548275,0.068880432,6.340607129,4.408615385,0.445,1.294769231,1.670865631
Sungai Selangor Fasa 3,22/3/2021,30.03386674,0.069174473,6.627171559,4.561247875,0.57,1.357778271,1.68366394
Sungai Selangor Fasa 3,23/3/2021,27.350065,0.067378501,6.583050537,4.066206963,0.435,1.301957759,1.660304579
Sungai Selangor Fasa 3,24/3/2021,26.09571637,0.068736576,6.429827383,4.467471528,0.475,1.12053375,1.7600933
Sungai Selangor Fasa 3,25/3/2021,25.53399553,0.068688673,6.435242715,4.27655633,0.45,1.059084483,1.689150345
Sungai Selangor Fasa 3,26/3/2021,24.8500163,0.069286863,6.491693251,4.221677893,0.46,1.00183711,1.683411565
Sungai Selangor Fasa 3,27/3/2021,28.69850991,0.067738561,6.44828628,3.816729819,0.485,1.995299535,1.673742421
Sungai Selangor Fasa 3,28/3/2021,27.65178078,0.068450561,6.505084664,4.502800611,0.48,1.784631798,1.730155187
Sungai Selangor Fasa 3,29/3/2021,30.58143699,0.065649565,6.756257344,4.515983678,0.465,1.446917165,1.725153587
Sungai Selangor Fasa 3,30/3/2021,29.30477242,0.065170313,6.615938449,4.406644783,0.475,1.944693126,1.699686362
Sungai Selangor Fasa 3,31/3/2021,26.46109488,0.063928137,6.52396094,4.248310193,0.5,1.029745492,1.680218801
Sungai Selangor Fasa 3,1/4/2021,26.4290511,0.063453346,6.542324684,4.408150224,0.485,1.287912304,1.680587442
Sungai Selangor Fasa 3,2/4/2021,25.75903301,0.06305559,6.325072614,4.105187146,0.48,1.504392827,1.642973404
Sungai Selangor Fasa 3,3/4/2021,26.08092864,0.06421212,6.362989517,3.671095135,0.48,1.509484371,1.65851237
Sungai Selangor Fasa 3,4/4/2021,25.68452316,0.061892243,6.296395638,4.09175151,0.465,1.531999904,1.642860716
Sungai Selangor Fasa 3,5/4/2021,26.3441703,0.065168018,6.389920352,4.12300292,0.44,1.39274057,1.615540299
Sungai Selangor Fasa 3,6/4/2021,23.51814243,0.080866061,6.336411139,4.231880568,0.44,1.267758247,1.583722938
Sungai Selangor Fasa 3,7/4/2021,27.74306985,0.066650107,7.150588576,4.811918696,0.47,1.205711649,1.599423196
Sungai Selangor Fasa 3,8/4/2021,31.80126402,0.065843721,7.10130134,4.485198242,0.485,1.478968465,1.59201305
Sungai Selangor Fasa 3,9/4/2021,28.24149712,0.066148258,7.411169816,4.497691642,0.5,1.541309993,1.57042002
Sungai Selangor Fasa 3,10/4/2021,30.17183158,0.062612869,7.444643018,4.627658302,0.47,1.399421094,1.575893222
Sungai Selangor Fasa 3,11/4/2021,28.54135288,0.048268,7.651308946,4.521250964,0.46,0.695113724,1.586658253
Sungai Selangor Fasa 3,12/4/2021,29.68998529,0.064119756,8.124871114,4.540881429,0.495,1.247791519,1.585857437
Sungai Selangor Fasa 3,13/4/2021,34.98090394,0.068905672,7.911404237,4.888557262,0.53,0.853271073,1.565688033
Sungai Selangor Fasa 3,14/4/2021,36.669329,0.071171114,7.924633896,4.682115991,0.515,0.696432905,1.584386626
Sungai Selangor Fasa 3,15/4/2021,39.22598534,0.069624358,7.866862675,4.5632381,0.51,0.713647451,1.582923944
Sungai Selangor Fasa 3,16/4/2021,42.2258064,0.070857905,7.651120792,4.585478516,0.535,0.685656546,1.573003814
Sungai Selangor Fasa 3,17/4/2021,35.97160111,0.071589335,7.638776218,5.059687567,0.535,0.827731394,1.558874928
Sungai Selangor Fasa 3,18/4/2021,38.32903329,0.068655515,7.823163257,4.591885902,0.545,1.506938422,1.586057242
Sungai Selangor Fasa 3,19/4/2021,33.96340517,0.068006169,8.071268351,4.405228446,0.515,1.449292678,1.317354521
Sungai Selangor Fasa 3,20/4/2021,31.51714749,0.066855809,8.155933994,4.71162144,0.47,1.381963755,1.297816216
Sungai Selangor Fasa 3,21/4/2021,28.79440885,0.068611166,8.180209076,5.192874723,0.465,1.301264712,1.316990759
Sungai Selangor Fasa 3,22/4/2021,29.9317579,0.06041463,8.179331127,4.567307692,0.455,1.231357928,1.319334686
Sungai Selangor Fasa 3,23/4/2021,31.8991638,0.06133786,8.338333976,4.173241728,0.47,0.78779345,1.325229552
Sungai Selangor Fasa 3,24/4/2021,31.07349973,0.058177663,7.428996419,4.630638483,0.505,0.377714825,0.971489051
Sungai Selangor Fasa 3,25/4/2021,30.69365354,0.059322894,7.523861184,4.899821464,0.495,0.719103353,0.994706881
Sungai Selangor Fasa 3,26/4/2021,38.63685616,0.060829811,8.299412375,4.9524045,0.48,0.631722092,1.166255824
Sungai Selangor Fasa 3,27/4/2021,35.41908985,0.061440966,8.384415365,4.747700098,0.455,1.047802873,1.438883932
Sungai Selangor Fasa 3,28/4/2021,31.96452507,0.05745528,8.249405965,4.42662863,0.47,1.096820205,1.412508058
Sungai Selangor Fasa 3,29/4/2021,32.23870993,0.05450855,8.097562025,5.007195673,0.5,0.935437447,1.426016071
Sungai Selangor Fasa 3,30/4/2021,32.96522374,0.063920644,8.154279543,4.99913317,0.475,1.254427025,1.422408378
Sungai Selangor Fasa 3,1/5/2021,43.36105874,0.064698041,8.21976052,4.547046171,0.475,1.228052624,1.438024712
Sungai Selangor Fasa 3,2/5/2021,35.70317373,0.06057629,7.922412499,4.759281027,0.495,1.101968851,1.379416754
Sungai Selangor Fasa 3,3/5/2021,33.71284523,0.06397723,8.021769406,4.57247314,0.48,1.381565858,1.412355368
Sungai Selangor Fasa 3,4/5/2021,32.89144246,0.053080689,7.800069956,4.900012268,0.48,1.343393449,1.512782904
Sungai Selangor Fasa 3,5/5/2021,42.08239874,0.060459548,8.051502266,4.647802377,0.48,1.179855754,1.532919687
Sungai Selangor Fasa 3,6/5/2021,43.70526943,0.061118973,7.873275303,4.542460478,0.515,1.121047831,1.558877964
Sungai Selangor Fasa 3,7/5/2021,39.90475233,0.061450292,8.141208885,4.46979662,0.525,1.336891632,1.507026712
Sungai Selangor Fasa 3,8/5/2021,38.08007877,0.061886095,7.912191796,4.39582248,0.605,1.379276128,1.517768759
Sungai Selangor Fasa 3,9/5/2021,41.64196413,0.061521746,8.089376921,4.393231912,0.495,1.449766531,1.506447912
Sungai Selangor Fasa 3,10/5/2021,44.50109085,0.06170756,8.075333547,4.429378531,0.505,1.165097301,1.532526406
Sungai Selangor Fasa 3,11/5/2021,44.57253382,0.063321046,8.335008168,4.709220243,0.5,1.502769331,1.606089871
Sungai Selangor Fasa 3,12/5/2021,35.85153821,0.061444151,8.034355547,4.449072796,0.55,1.471732202,1.611550604
Sungai Selangor Fasa 3,13/5/2021,34.00300724,0.058823985,7.862411476,4.346337288,0.515,1.42717378,1.559478085
Sungai Selangor Fasa 3,14/5/2021,42.14141453,0.060551355,7.97391762,4.259263868,0.53,1.150984247,1.454561245
Sungai Selangor Fasa 3,15/5/2021,37.55943533,0.061296647,8.185961063,4.301048112,0.475,1.163025635,1.476342954
Sungai Selangor Fasa 3,16/5/2021,37.05552799,0.061685527,8.14387756,4.278682317,0.46,1.399722327,1.462586554
Sungai Selangor Fasa 3,17/5/2021,44.84968106,0.061512227,8.134541834,4.554175502,0.48,1.442744623,1.447874443
Sungai Selangor Fasa 3,18/5/2021,45.84255511,0.062984562,8.074158121,4.645932892,0.485,1.183205131,1.456308899
Sungai Selangor Fasa 3,19/5/2021,46.36767452,0.062115485,8.052122749,4.299034469,0.495,1.406261942,1.518289284
Sungai Selangor Fasa 3,20/5/2021,43.01841252,0.062043511,7.972385805,4.590313587,0.49,1.422368064,1.457901827
Sungai Selangor Fasa 3,21/5/2021,41.56082153,0.063816866,8.152567374,4.399829668,0.565,1.285005761,1.939187311
Sungai Selangor Fasa 3,22/5/2021,40.55116284,0.069462643,8.50142661,4.441494025,0.57,1.430396553,1.604682553
Sungai Selangor Fasa 3,23/5/2021,39.36188626,0.066436321,8.438567449,4.527281871,0.57,1.413125471,1.62026541
Sungai Selangor Fasa 3,24/5/2021,37.35071126,0.065576024,8.630543644,4.963795499,0.57,1.300680206,1.584457855
Sungai Selangor Fasa 3,25/5/2021,40.69600597,0.060362234,7.895758861,4.567261097,0.41,1.298701299,1.561821739
Sungai Selangor Fasa 3,26/5/2021,44.61567587,0.059682344,7.966995207,4.752240825,0.41,1.256311759,1.514068032
Sungai Selangor Fasa 3,27/5/2021,43.95585779,0.060112247,7.811503159,4.613843916,0.41,1.256586948,1.54714562
Sungai Selangor Fasa 3,28/5/2021,45.46685723,0.060935977,7.80016408,4.469884789,0.41,0.815468378,1.576561777
Sungai Selangor Fasa 3,29/5/2021,42.65659366,0.059841712,7.696984282,4.532901057,0.41,1.149135447,1.416928643
Sungai Selangor Fasa 3,30/5/2021,40.99639745,0.060296014,7.549541108,4.753832369,0.41,1.438500472,1.470113387
Sungai Selangor Fasa 3,31/5/2021,35.55448697,0.063293716,7.803580125,4.710467438,0.445,1.410975052,1.450785231
Sungai Selangor Fasa 3,1/6/2021,34.98802754,0.06313757,8.104922438,4.663642129,0.475,1.507390604,1.403020917
Sungai Selangor Fasa 3,2/6/2021,34.38180601,0.059850762,7.971262446,4.421235437,0.495,0.910538122,1.361651884
Sungai Selangor Fasa 3,3/6/2021,30.4923244,0.062137645,7.838388416,4.442273363,0.48,1.536643026,1.371198875
Sungai Selangor Fasa 3,4/6/2021,31.26425299,0.052474739,7.823039187,4.464134203,0.48,1.385420959,1.49540131
Sungai Selangor Fasa 3,5/6/2021,39.80291029,0.060264537,8.180034592,4.72483255,0.48,1.183394982,1.527331638
Sungai Selangor Fasa 3,6/6/2021,34.34932976,0.059917332,7.850899856,4.328709438,0.48,1.338865494,1.527449494
Sungai Selangor Fasa 3,7/6/2021,30.53915892,0.059932998,7.98352082,4.615498228,0.48,1.260338716,1.469153282
Sungai Selangor Fasa 3,8/6/2021,30.03257564,0.056840738,8.251161209,4.801718846,0.455,1.554327808,1.300119924
Sungai Selangor Fasa 3,9/6/2021,28.52870925,0.058759593,8.409716921,4.872196403,0.45,1.478834108,1.480825009
Sungai Selangor Fasa 3,10/6/2021,26.51276664,0.057123317,8.751860594,4.793777581,0.51,1.43973572,1.831825961
Sungai Selangor Fasa 3,11/6/2021,30.0648213,0.071410591,8.701496655,4.527738721,0.475,1.501023706,1.833641505
Sungai Selangor Fasa 3,12/6/2021,26.88156789,0.067474172,8.753232237,4.262442534,0.465,1.587797322,1.759562833
Sungai Selangor Fasa 3,13/6/2021,24.83687423,0.064898062,8.237676652,4.94379502,0.465,1.502953565,1.675283213
Sungai Selangor Fasa 3,14/6/2021,28.52076529,0.069574367,7.652911774,4.774505869,0.48,1.271696599,1.636939363
Sungai Selangor Fasa 3,15/6/2021,32.85594787,0.066308099,7.522455996,4.604677611,0.56,1.5625,1.615290635
Sungai Selangor Fasa 3,16/6/2021,32.52077805,0.066124171,7.55424033,4.708531525,0.495,0.944995446,1.65278501
Sungai Selangor Fasa 3,17/6/2021,30.09691021,0.050265736,7.538477547,4.610997259,0.495,1.55428261,1.612194998
Sungai Selangor Fasa 3,18/6/2021,35.9565868,0.058877994,7.449879923,4.9540715,0.52,1.540466733,1.584361289
Sungai Selangor Fasa 3,19/6/2021,29.32802405,0.070520933,7.809979156,4.58259773,0.52,1.448928121,1.337079123
Sungai Selangor Fasa 3,20/6/2021,27.59532908,0.07042465,7.75795852,4.673601502,0.505,1.179828029,1.310425607
Sungai Selangor Fasa 3,21/6/2021,34.036019,0.069571812,8.261192753,4.587682933,0.485,1.372309075,1.324557637
Sungai Selangor Fasa 3,22/6/2021,28.73467034,0.061985578,8.290425086,4.85065261,0.51,1.586345382,1.330329002
Sungai Selangor Fasa 3,23/6/2021,25.94063852,0.062495263,8.368165184,4.499786502,0.505,1.480672142,1.332340163
Sungai Selangor Fasa 3,24/6/2021,25.67401417,0.059348336,7.643996847,4.706203745,0.49,1.500024835,1.009079498
Sungai Selangor Fasa 3,25/6/2021,26.44884597,0.058767116,7.841748361,4.665805618,0.48,1.421971635,1.031501321
Sungai Selangor Fasa 3,26/6/2021,26.43297163,0.054648206,8.501195362,4.465816745,0.48,1.524640274,1.206163153
Sungai Selangor Fasa 3,27/6/2021,26.62097569,0.049085005,8.692154572,4.49315612,0.475,1.542352708,1.586957274
Sungai Selangor Fasa 3,28/6/2021,30.14309155,0.062739293,8.722327423,4.494452063,0.495,1.361426256,1.767828759
Sungai Selangor Fasa 3,29/6/2021,30.17349098,0.060103627,8.301026298,4.707587129,0.495,1.470114686,1.539703822
Sungai Selangor Fasa 3,30/6/2021,37.23451911,0.06414757,8.613122616,4.403858715,0.49,1.590212531,1.713609295
Sungai Selangor Fasa 3,1/7/2021,35.59352114,0.065389635,9.091635218,4.708097928,0.53,1.505301447,1.840406527
Sungai Selangor Fasa 3,2/7/2021,31.78667716,0.073151836,8.58164619,4.699817313,0.555,1.398933907,1.6387658
Sungai Selangor Fasa 3,3/7/2021,29.9701249,0.068660541,8.549713605,4.802875463,0.51,1.572988678,1.707910454
Sungai Selangor Fasa 3,4/7/2021,30.64795147,0.066547513,8.971629149,4.516545888,0.51,1.601378402,1.809886747
Sungai Selangor Fasa 3,5/7/2021,30.64821593,0.071263356,9.182579209,4.764603642,0.475,1.589460692,1.685153776
Sungai Selangor Fasa 3,6/7/2021,30.4486567,0.065211943,7.812507178,4.323254791,0.53,1.63722422,1.693597084
Sungai Selangor Fasa 3,7/7/2021,31.76513367,0.065041117,8.115159516,4.469944797,0.53,1.044009405,1.633435782
Sungai Selangor Fasa 3,8/7/2021,28.81045811,0.061716746,7.825405864,4.391908912,0.535,1.474885385,1.609874201
Sungai Selangor Fasa 3,9/7/2021,27.36192397,0.063141255,8.277449172,4.31854705,0.5,1.423360457,1.631170999
Sungai Selangor Fasa 3,10/7/2021,29.78204369,0.06282517,8.314799053,4.377963774,0.485,1.616957322,1.659030753
Sungai Selangor Fasa 3,11/7/2021,30.08464738,0.059053071,8.050960199,4.131166777,0.52,1.591755523,1.632063504
Sungai Selangor Fasa 3,12/7/2021,32.30586504,0.058723058,8.243769791,4.370338092,0.565,1.159869787,1.639813342
Sungai Selangor Fasa 3,13/7/2021,25.9876229,0.066518593,8.432099377,4.158413327,0.565,1.569404236,1.650113069
Sungai Selangor Fasa 3,14/7/2021,23.46530101,0.051928885,8.660233439,4.043425139,0.54,1.65580614,1.377525873
Sungai Selangor Fasa 3,15/7/2021,22.38808636,0.060767107,8.664672112,4.408610388,0.525,1.581890608,1.633192258
Sungai Selangor Fasa 3,16/7/2021,20.90335403,0.073911133,8.745476049,4.72624099,0.53,1.72409386,1.646733657
Sungai Selangor Fasa 3,17/7/2021,20.51634794,0.072680553,8.556013411,4.747178956,0.52,1.745639058,1.604083049
Sungai Selangor Fasa 3,18/7/2021,20.20889527,0.066465475,8.543346656,4.955634316,0.515,1.648945529,1.617900675
Sungai Selangor Fasa 3,19/7/2021,19.9657708,0.066389949,8.746521321,4.585071514,0.4,1.64878824,1.961897238
Sungai Selangor Fasa 3,20/7/2021,20.41917703,0.061704458,8.657136969,4.701812027,0.52,1.695041816,1.93729107
Sungai Selangor Fasa 3,21/7/2021,20.29966783,0.058455651,6.770122443,4.320910922,0.455,1.748999329,1.427088713
Sungai Selangor Fasa 3,22/7/2021,19.93280242,0.061001567,8.174911501,4.469524318,0.52,1.932308587,1.889436251
Sungai Selangor Fasa 3,23/7/2021,22.72231364,0.06316437,7.899197739,4.441702653,0.46,1.974090068,1.794228028
Sungai Selangor Fasa 3,24/7/2021,22.34160868,0.067256696,8.26320578,4.602586457,0.415,1.618957667,1.757984788
Sungai Selangor Fasa 3,25/7/2021,22.41187833,0.063768179,8.114247831,3.156020585,0.465,1.746298871,1.665567935
Sungai Selangor Fasa 3,26/7/2021,22.39315735,0.067160759,7.466691955,4.271624039,0.48,1.712759271,1.392282015
Sungai Selangor Fasa 3,27/7/2021,22.61248116,0.067187107,7.43156385,4.364475369,0.47,1.797492208,1.587892393
Sungai Selangor Fasa 3,28/7/2021,23.00535252,0.067559093,7.604116686,4.587709767,0.445,1.332850417,1.575956752
Sungai Selangor Fasa 3,29/7/2021,22.92442628,0.065115669,7.429764718,4.504439122,0.455,1.542201901,1.623279127
Sungai Selangor Fasa 3,30/7/2021,22.80232653,0.066310336,7.608644764,4.150446116,0.455,1.69983316,1.633475598
Sungai Selangor Fasa 3,31/7/2021,22.82479906,0.070323048,7.600434312,3.737368854,0.48,1.236522748,1.689110061
Sungai Selangor Fasa 3,1/8/2021,20.95138646,0.056148781,7.687032699,4.663642129,0.515,1.507390604,1.493693038
Sungai Selangor Fasa 3,2/8/2021,22.98424543,0.059477004,7.629338966,4.421235437,0.505,0.817675294,1.463047243
Sungai Selangor Fasa 3,3/8/2021,22.52970136,0.065624463,7.601294141,4.442273363,0.505,1.267670189,1.492625926
Sungai Selangor Fasa 3,4/8/2021,24.9451961,0.06674338,7.715105493,4.464134203,0.5,1.16724443,1.49799602
Sungai Selangor Fasa 3,5/8/2021,25.40924385,0.064224378,7.823573271,4.72483255,0.485,1.935669299,1.567704022
Sungai Selangor Fasa 3,6/8/2021,24.10569698,0.061855301,8.014650082,4.328709438,0.455,1.681942036,1.655482207
Sungai Selangor Fasa 3,7/8/2021,25.88947429,0.0729809,8.01163301,4.615498228,0.475,1.251723119,1.633801788
Sungai Selangor Fasa 3,8/8/2021,25.46719583,0.054712061,7.903194257,4.801718846,0.45,0.907305095,1.585469948
Sungai Selangor Fasa 3,9/8/2021,26.61225477,0.059052006,7.783093883,4.580760324,0.475,1.14579313,1.598493261
Sungai Selangor Fasa 3,10/8/2021,31.90207033,0.059677132,8.045910667,4.800911228,0.505,1.220221506,1.733918684
Sungai Selangor Fasa 3,11/8/2021,34.98064793,0.059618212,9.623211162,5.035058027,0.455,1.208897485,1.831748801
Sungai Selangor Fasa 3,12/8/2021,32.55784745,0.056494096,9.562031017,5.128575209,0.455,1.268913425,1.699353905
Sungai Selangor Fasa 3,13/8/2021,31.9331736,0.06253134,9.75158381,5.267923982,0.48,1.201371616,1.535435441
Sungai Selangor Fasa 3,14/8/2021,25.45588933,0.059083233,9.250515258,4.802007674,0.45,1.275307063,1.639518143
Sungai Selangor Fasa 3,15/8/2021,27.06918398,0.056002126,8.280430194,5.179861294,0.515,1.220273092,1.514794365
Sungai Selangor Fasa 3,16/8/2021,32.8099778,0.054729372,8.516942979,4.708531525,0.51,0.944995446,1.598452177
Sungai Selangor Fasa 3,17/8/2021,47.4495169,0.052151206,8.425897527,4.610997259,0.52,1.55428261,1.597956729
Sungai Selangor Fasa 3,18/8/2021,42.78686953,0.072020057,8.140758612,4.9540715,0.535,1.540466733,1.651087872
Sungai Selangor Fasa 3,19/8/2021,41.02279998,0.064934217,8.533106763,4.58259773,0.545,1.448928121,1.695954952
Sungai Selangor Fasa 3,20/8/2021,36.57520606,0.069098981,8.408723033,4.673601502,0.54,1.179828029,1.607040036
Sungai Selangor Fasa 3,21/8/2021,45.13445319,0.069778967,8.641456587,4.587682933,0.5,1.372309075,1.680646434
Sungai Selangor Fasa 3,22/8/2021,39.54734451,0.063540889,8.44452436,4.85065261,0.435,1.586345382,1.648146084
Sungai Selangor Fasa 3,23/8/2021,40.49541574,0.067283972,8.53581212,4.499786502,0.465,1.480672142,1.594380755
Sungai Selangor Fasa 3,24/8/2021,45.73109154,0.07112439,8.505002274,4.706203745,0.465,1.500024835,1.707389706
Sungai Selangor Fasa 3,25/8/2021,39.36811743,0.057022706,7.015399063,4.665805618,0.505,1.421971635,1.749463866
Sungai Selangor Fasa 3,26/8/2021,40.60528148,0.067512699,8.043797447,4.465816745,0.46,1.524640274,1.817520026
