Month,WTP,New WTP,SIpH,SIDO,SISS,SIBOD,SICOD,SIAN,WQI
1/31/2022,Intake Semantan (Langat 2),Intake Semantan (Langat 2),,,,,,,90.4
10/31/2021,BERNAM RIVER HEADWORKS,Bernam River Headworks (New),97.7548,92.9046624,76.39973485,92.9552,90.189,82.74593147,88.9
10/31/2021,RANTAU PANJANG,Rantau Panjang New,98.287955,90.603825,83.58961808,94.6049,87.529,72.79316921,88
10/31/2021,NORTH HUMMOCK,North Hummock,87.5212,6.6278944,95.69261497,89.2751,74.096,77.6300991,67.7
10/31/2021,BATANG KALI,Batang Kali,98.777008,83.2996432,96.89312275,93.9281,90.987,81.79423265,90.4
10/31/2021,KUALA KUBU BARU,Kuala Kubu Bharu,99.116837,100,96.89312275,94.6049,97.105,92.1,96.7
10/31/2021,KALUMPANG,Kalumpang,98.4337,100,96.89312275,94.055,96.174,87.9,95.8
10/31/2021,SELISEK,Sungai Selisek,98.042368,89.5861072,91.06289964,97.9043,92.716,74.0856644,90.6
10/31/2021,SG DUSUN,Sungai Dusun,96.853933,100,96.89312275,98.1581,93.913,75.3,94.1
10/31/2021,SG TENGI,Sungai Tengi,97.828693,100,94.50957173,93.3359,88.992,81.6,93.1
10/31/2021,SG BUAYA,Unknown,,,,,,,
1/31/2022,Sungai Selangor Fasa 2 Stream C,Sungai Selangor Fasa 2 Stream C,,,,,,,82.3
10/31/2021,SG SIREH,Sungai Sireh,94.9177,68.3855696,84.61040919,96.0854,48.18530554,87.15170205,79
10/31/2021,SG LANGAT,Sungai Langat,98.371813,86.9042134,83.08487939,87.1178,91.12,78.08338538,87.1
10/31/2021,BUKIT TAMPOI,Bukit Tampoi New,98.110925,16.3698,72.88305864,91.7708,84.47,17.0061847,60.5
10/31/2021,CHERAS MILE 11,Cheras Batu 11,98.494253,61.5026,88.30468878,87.71,88.194,71.10007401,80.9
10/31/2021,SALAK TINGGI,Salak Tinggi,97.972477,13.6849488,78.23894962,85.3412,84.47,68.62362696,67.3
10/31/2021,SG PANGSOON,Sungai Pangsoon,96.431555,100,96.89312275,92.0669,85.268,92.1,94
10/31/2021,SG LOLO,Sungai Lolo - Baru,99.600397,97.068975,96.29067101,91.2632,95.11,90,94.8
10/31/2021,SG SERAI,Sungai Serai,99.0595,100,96.89312275,94.0973,95.11,87.9,95.7
