wtp,Date,Column2,Column3,Year,Month,ChemicalCode,ChemicalName,TotalMTConsumed,UnitPrice,TotalRMAmount,Column1
North Hummock,1/8/2022,8,2022,2022,8,C03,Chloride of Lime Min 60% (50kg / drum),0.2,6000,1200,August
North Hummock,1/8/2022,8,2022,2022,8,E07,Oxalic Acid (25kg / bag),0.1,6800,680,August
North Hummock,1/8/2022,8,2022,2022,8,F01,Sodium Silico Fluoride (25kg / bag),0.325,3600,1170,August
North Hummock,1/9/2022,9,2022,2022,9,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),9.153,698,6388.794,September
North Hummock,1/9/2022,9,2022,2022,9,B02,Hydrated Lime (25kg / bag),3.875,450,1743.75,September
North Hummock,1/7/2022,7,2022,2022,7,C02,Liquid Chlorine (68kg / Cylinder),1.224,8400,10281.6,July
North Hummock,1/7/2022,7,2022,2022,7,C03,Chloride of Lime Min 60% (50kg / drum),0.2,6000,1200,July
North Hummock,1/7/2022,7,2022,2022,7,E07,Oxalic Acid (25kg / bag),0.125,6800,850,July
North Hummock,1/7/2022,7,2022,2022,7,F01,Sodium Silico Fluoride (25kg / bag),0.325,3600,1170,July
North Hummock,1/8/2022,8,2022,2022,8,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),9.56,698,6672.88,August
North Hummock,1/8/2022,8,2022,2022,8,B02,Hydrated Lime (25kg / bag),4.225,450,1901.25,August
North Hummock,1/6/2022,6,2022,2022,6,C02,Liquid Chlorine (68kg / Cylinder),1.632,8400,13708.8,June
North Hummock,1/6/2022,6,2022,2022,6,C03,Chloride of Lime Min 60% (50kg / drum),0.2,6000,1200,June
North Hummock,1/6/2022,6,2022,2022,6,E07,Oxalic Acid (25kg / bag),0.1,6800,680,June
North Hummock,1/6/2022,6,2022,2022,6,F01,Sodium Silico Fluoride (25kg / bag),0.35,3600,1260,June
North Hummock,1/7/2022,7,2022,2022,7,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),10.112,698,7058.176,July
North Hummock,1/7/2022,7,2022,2022,7,B02,Hydrated Lime (25kg / bag),4.025,450,1811.25,July
North Hummock,1/5/2022,5,2022,2022,5,C02,Liquid Chlorine (68kg / Cylinder),2.04,8400,17136,May
North Hummock,1/5/2022,5,2022,2022,5,C03,Chloride of Lime Min 60% (50kg / drum),0.2,6000,1200,May
North Hummock,1/5/2022,5,2022,2022,5,E07,Oxalic Acid (25kg / bag),0.075,6800,510,May
North Hummock,1/5/2022,5,2022,2022,5,F01,Sodium Silico Fluoride (25kg / bag),0.4,3600,1440,May
North Hummock,1/6/2022,6,2022,2022,6,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),9.379,698,6546.542,June
North Hummock,1/6/2022,6,2022,2022,6,B02,Hydrated Lime (25kg / bag),4.8,450,2160,June
North Hummock,1/4/2022,4,2022,2022,4,B02,Hydrated Lime (25kg / bag),5.95,450,2677.5,April
North Hummock,1/4/2022,4,2022,2022,4,C02,Liquid Chlorine (68kg / Cylinder),1.632,8400,13708.8,April
North Hummock,1/4/2022,4,2022,2022,4,E07,Oxalic Acid (25kg / bag),0.1,6800,680,April
North Hummock,1/4/2022,4,2022,2022,4,F01,Sodium Silico Fluoride (25kg / bag),0.375,3600,1350,April
North Hummock,1/5/2022,5,2022,2022,5,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),11.135,698,7772.23,May
North Hummock,1/5/2022,5,2022,2022,5,B02,Hydrated Lime (25kg / bag),6.15,450,2767.5,May
North Hummock,1/3/2022,3,2022,2022,3,B02,Hydrated Lime (25kg / bag),7.3,450,3285,March
North Hummock,1/3/2022,3,2022,2022,3,C02,Liquid Chlorine (68kg / Cylinder),2.04,8400,17136,March
North Hummock,1/3/2022,3,2022,2022,3,C03,Chloride of Lime Min 60% (50kg / drum),0.15,6000,900,March
North Hummock,1/3/2022,3,2022,2022,3,E07,Oxalic Acid (25kg / bag),0.1,6800,680,March
North Hummock,1/3/2022,3,2022,2022,3,F01,Sodium Silico Fluoride (25kg / bag),0.45,3600,1620,March
North Hummock,1/4/2022,4,2022,2022,4,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),11.129,698,7768.042,April
North Hummock,1/2/2022,2,2022,2022,2,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),14.495,698,10117.51,February
North Hummock,1/2/2022,2,2022,2022,2,B02,Hydrated Lime (25kg / bag),6.7,450,3015,February
North Hummock,1/2/2022,2,2022,2022,2,C02,Liquid Chlorine (68kg / Cylinder),2.448,8400,20563.2,February
North Hummock,1/2/2022,2,2022,2022,2,C03,Chloride of Lime Min 60% (50kg / drum),0.15,6000,900,February
North Hummock,1/2/2022,2,2022,2022,2,E07,Oxalic Acid (25kg / bag),0.1,6800,680,February
North Hummock,1/3/2022,3,2022,2022,3,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),12.725,698,8882.05,March
Rantau Panjang New,1/1/2022,1,2022,2022,1,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),29.288,698,20443.024,January
Rantau Panjang New,1/1/2022,1,2022,2022,1,B02,Hydrated Lime (25kg / bag),5,450,2250,January
Rantau Panjang New,1/1/2022,1,2022,2022,1,C02,Liquid Chlorine (68kg / Cylinder),3.808,8400,31987.2,January
Rantau Panjang New,1/1/2022,1,2022,2022,1,C03,Chloride of Lime Min 60% (50kg / drum),0.085,6000,510,January
Rantau Panjang New,1/1/2022,1,2022,2022,1,F01,Sodium Silico Fluoride (25kg / bag),0.925,3600,3330,January
Rantau Panjang New,1/12/2022,12,2022,2022,12,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),28.685,698,20022.13,December
Rantau Panjang New,1/12/2022,12,2022,2022,12,B02,Hydrated Lime (25kg / bag),7.2,450,3240,December
Rantau Panjang New,1/12/2022,12,2022,2022,12,C02,Liquid Chlorine (68kg / Cylinder),3.536,8400,29702.4,December
Rantau Panjang New,1/12/2022,12,2022,2022,12,F01,Sodium Silico Fluoride (25kg / bag),0.825,3600,2970,December
Rantau Panjang New,1/12/2022,12,2022,2022,12,C03,Chloride of Lime Min 60% (50kg / drum),0.004,6000,24,December
Rantau Panjang New,1/10/2022,10,2022,2022,10,C03,Chloride of Lime Min 60% (50kg / drum),0.04,6000,240,October
Rantau Panjang New,1/10/2022,10,2022,2022,10,F01,Sodium Silico Fluoride (25kg / bag),0.85,3600,3060,October
Rantau Panjang New,1/11/2022,11,2022,2022,11,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),26.121,698,18232.458,November
Rantau Panjang New,1/11/2022,11,2022,2022,11,B02,Hydrated Lime (25kg / bag),6.9,450,3105,November
Rantau Panjang New,1/11/2022,11,2022,2022,11,C02,Liquid Chlorine (68kg / Cylinder),3.264,8400,27417.6,November
Rantau Panjang New,1/11/2022,11,2022,2022,11,F01,Sodium Silico Fluoride (25kg / bag),0.775,3600,2790,November
Rantau Panjang New,1/9/2022,9,2022,2022,9,C02,Liquid Chlorine (68kg / Cylinder),3.536,8400,29702.4,September
Rantau Panjang New,1/9/2022,9,2022,2022,9,C03,Chloride of Lime Min 60% (50kg / drum),0.08,6000,480,September
Rantau Panjang New,1/9/2022,9,2022,2022,9,F01,Sodium Silico Fluoride (25kg / bag),0.8,3600,2880,September
Rantau Panjang New,1/10/2022,10,2022,2022,10,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),27.868,698,19451.864,October
Rantau Panjang New,1/10/2022,10,2022,2022,10,B02,Hydrated Lime (25kg / bag),8.7,450,3915,October
Rantau Panjang New,1/10/2022,10,2022,2022,10,C02,Liquid Chlorine (68kg / Cylinder),3.264,8400,27417.6,October
Rantau Panjang New,1/8/2022,8,2022,2022,8,B02,Hydrated Lime (25kg / bag),7.125,450,3206.25,August
Rantau Panjang New,1/8/2022,8,2022,2022,8,C02,Liquid Chlorine (68kg / Cylinder),3.536,8400,29702.4,August
Rantau Panjang New,1/8/2022,8,2022,2022,8,C03,Chloride of Lime Min 60% (50kg / drum),0.04,6000,240,August
Rantau Panjang New,1/8/2022,8,2022,2022,8,F01,Sodium Silico Fluoride (25kg / bag),0.775,3600,2790,August
Rantau Panjang New,1/9/2022,9,2022,2022,9,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),25,698,17450,September
Rantau Panjang New,1/9/2022,9,2022,2022,9,B02,Hydrated Lime (25kg / bag),5.85,450,2632.5,September
Rantau Panjang New,1/7/2022,7,2022,2022,7,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),25.678,698,17923.244,July
Rantau Panjang New,1/7/2022,7,2022,2022,7,B02,Hydrated Lime (25kg / bag),5.575,450,2508.75,July
Rantau Panjang New,1/7/2022,7,2022,2022,7,C02,Liquid Chlorine (68kg / Cylinder),3.536,8400,29702.4,July
Rantau Panjang New,1/7/2022,7,2022,2022,7,C03,Chloride of Lime Min 60% (50kg / drum),0.08,6000,480,July
Rantau Panjang New,1/7/2022,7,2022,2022,7,F01,Sodium Silico Fluoride (25kg / bag),0.825,3600,2970,July
Rantau Panjang New,1/8/2022,8,2022,2022,8,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),27.519,698,19208.262,August
Rantau Panjang New,1/5/2022,5,2022,2022,5,F01,Sodium Silico Fluoride (25kg / bag),0.825,3600,2970,May
Rantau Panjang New,1/6/2022,6,2022,2022,6,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),29.136,698,20336.928,June
Rantau Panjang New,1/6/2022,6,2022,2022,6,B02,Hydrated Lime (25kg / bag),5.25,450,2362.5,June
Rantau Panjang New,1/6/2022,6,2022,2022,6,C02,Liquid Chlorine (68kg / Cylinder),3.808,8400,31987.2,June
Rantau Panjang New,1/6/2022,6,2022,2022,6,C03,Chloride of Lime Min 60% (50kg / drum),0.04,6000,240,June
Rantau Panjang New,1/6/2022,6,2022,2022,6,F01,Sodium Silico Fluoride (25kg / bag),0.85,3600,3060,June
Rantau Panjang New,1/4/2022,4,2022,2022,4,C02,Liquid Chlorine (68kg / Cylinder),3.536,8400,29702.4,April
Rantau Panjang New,1/4/2022,4,2022,2022,4,C03,Chloride of Lime Min 60% (50kg / drum),0.04,6000,240,April
Rantau Panjang New,1/4/2022,4,2022,2022,4,F01,Sodium Silico Fluoride (25kg / bag),0.85,3600,3060,April
Rantau Panjang New,1/5/2022,5,2022,2022,5,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),29.693,698,20725.714,May
Rantau Panjang New,1/5/2022,5,2022,2022,5,B02,Hydrated Lime (25kg / bag),5.25,450,2362.5,May
Rantau Panjang New,1/5/2022,5,2022,2022,5,C02,Liquid Chlorine (68kg / Cylinder),3.264,8400,27417.6,May
Rantau Panjang New,1/3/2022,3,2022,2022,3,B02,Hydrated Lime (25kg / bag),4.425,450,1991.25,March
Rantau Panjang New,1/3/2022,3,2022,2022,3,C02,Liquid Chlorine (68kg / Cylinder),3.4,8400,28560,March
Rantau Panjang New,1/3/2022,3,2022,2022,3,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,March
Rantau Panjang New,1/3/2022,3,2022,2022,3,F01,Sodium Silico Fluoride (25kg / bag),0.825,3600,2970,March
Rantau Panjang New,1/4/2022,4,2022,2022,4,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),27.173,698,18966.754,April
Rantau Panjang New,1/4/2022,4,2022,2022,4,B02,Hydrated Lime (25kg / bag),5.9,450,2655,April
Rantau Panjang New,1/2/2022,2,2022,2022,2,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),26.06,698,18189.88,February
Rantau Panjang New,1/2/2022,2,2022,2022,2,B02,Hydrated Lime (25kg / bag),4.98,450,2241,February
Rantau Panjang New,1/2/2022,2,2022,2022,2,C02,Liquid Chlorine (68kg / Cylinder),3.2,8400,26880,February
Rantau Panjang New,1/2/2022,2,2022,2022,2,F01,Sodium Silico Fluoride (25kg / bag),0.83,3600,2988,February
Rantau Panjang New,1/3/2022,3,2022,2022,3,A04,Liquid Polyaluminium Chloride Min 10% (Bulk/Tanker),28.346,698,19785.508,March
Sungai Sireh,1/1/2022,1,2022,2022,1,A06,Aluminium Chlorohydrate (Bulk/Tanker),77.715,2400,186516,January
Sungai Sireh,1/1/2022,1,2022,2022,1,B02,Hydrated Lime (25kg / bag),13,450,5850,January
Sungai Sireh,1/1/2022,1,2022,2022,1,C01,Liquid Chlorine (930kg / drum),4.65,2260,10509,January
Sungai Sireh,1/1/2022,1,2022,2022,1,D04,Flopam AH 912 PWG (25kg / bag),0.4,13800,5520,January
Sungai Sireh,1/1/2022,1,2022,2022,1,D06,Superfloc C 591 PWG (210kg / drum),14.91,6500,96915,January
Sungai Sireh,1/1/2022,1,2022,2022,1,F01,Sodium Silico Fluoride (25kg / bag),0.4,3600,1440,January
Sungai Sireh,1/12/2022,12,2022,2022,12,C01,Liquid Chlorine (930kg / drum),3.72,2260,8407.2,December
Sungai Sireh,1/12/2022,12,2022,2022,12,D04,Flopam AH 912 PWG (25kg / bag),0.45,13800,6210,December
Sungai Sireh,1/12/2022,12,2022,2022,12,F01,Sodium Silico Fluoride (25kg / bag),0.4,3600,1440,December
Sungai Sireh,1/12/2022,12,2022,2022,12,C03,Chloride of Lime Min 60% (50kg / drum),0.1,6000,600,December
Sungai Sireh,1/11/2022,11,2022,2022,11,D04,Flopam AH 912 PWG (25kg / bag),0.45,13800,6210,November
Sungai Sireh,1/11/2022,11,2022,2022,11,D06,Superfloc C 591 PWG (210kg / drum),14.49,6500,94185,November
Sungai Sireh,1/11/2022,11,2022,2022,11,F01,Sodium Silico Fluoride (25kg / bag),0.425,3600,1530,November
Sungai Sireh,1/12/2022,12,2022,2022,12,A06,Aluminium Chlorohydrate (Bulk/Tanker),67.12,2400,161088,December
Sungai Sireh,1/12/2022,12,2022,2022,12,B02,Hydrated Lime (25kg / bag),14.5,450,6525,December
Sungai Sireh,1/12/2022,12,2022,2022,12,D06,Superfloc C 591 PWG (210kg / drum),15.75,6500,102375,December
Sungai Sireh,1/10/2022,10,2022,2022,10,D04,Flopam AH 912 PWG (25kg / bag),0.35,13800,4830,October
Sungai Sireh,1/10/2022,10,2022,2022,10,D06,Superfloc C 591 PWG (210kg / drum),5.88,6500,38220,October
Sungai Sireh,1/10/2022,10,2022,2022,10,F01,Sodium Silico Fluoride (25kg / bag),0.4,3600,1440,October
Sungai Sireh,1/11/2022,11,2022,2022,11,A06,Aluminium Chlorohydrate (Bulk/Tanker),75.29,2400,180696,November
Sungai Sireh,1/11/2022,11,2022,2022,11,B02,Hydrated Lime (25kg / bag),15,450,6750,November
Sungai Sireh,1/11/2022,11,2022,2022,11,C01,Liquid Chlorine (930kg / drum),4.65,2260,10509,November
Sungai Sireh,1/9/2022,9,2022,2022,9,D04,Flopam AH 912 PWG (25kg / bag),0.35,13800,4830,September
Sungai Sireh,1/9/2022,9,2022,2022,9,D06,Superfloc C 591 PWG (210kg / drum),7.98,6500,51870,September
Sungai Sireh,1/9/2022,9,2022,2022,9,F01,Sodium Silico Fluoride (25kg / bag),0.375,3600,1350,September
Sungai Sireh,1/10/2022,10,2022,2022,10,A06,Aluminium Chlorohydrate (Bulk/Tanker),35.74,2400,85776,October
Sungai Sireh,1/10/2022,10,2022,2022,10,B02,Hydrated Lime (25kg / bag),6,450,2700,October
Sungai Sireh,1/10/2022,10,2022,2022,10,C01,Liquid Chlorine (930kg / drum),1.86,2260,4203.6,October
Sungai Sireh,1/8/2022,8,2022,2022,8,D06,Superfloc C 591 PWG (210kg / drum),3.57,6500,23205,August
Sungai Sireh,1/8/2022,8,2022,2022,8,F01,Sodium Silico Fluoride (25kg / bag),0.375,3600,1350,August
Sungai Sireh,1/9/2022,9,2022,2022,9,A06,Aluminium Chlorohydrate (Bulk/Tanker),40.5,2400,97200,September
Sungai Sireh,1/9/2022,9,2022,2022,9,B02,Hydrated Lime (25kg / bag),9,450,4050,September
Sungai Sireh,1/9/2022,9,2022,2022,9,C01,Liquid Chlorine (930kg / drum),2.79,2260,6305.4,September
Sungai Sireh,1/9/2022,9,2022,2022,9,C03,Chloride of Lime Min 60% (50kg / drum),0.1,6000,600,September
Sungai Sireh,1/7/2022,7,2022,2022,7,D06,Superfloc C 591 PWG (210kg / drum),4.2,6500,27300,July
Sungai Sireh,1/7/2022,7,2022,2022,7,F01,Sodium Silico Fluoride (25kg / bag),0.4,3600,1440,July
Sungai Sireh,1/8/2022,8,2022,2022,8,A06,Aluminium Chlorohydrate (Bulk/Tanker),21,2400,50400,August
Sungai Sireh,1/8/2022,8,2022,2022,8,B02,Hydrated Lime (25kg / bag),5,450,2250,August
Sungai Sireh,1/8/2022,8,2022,2022,8,C01,Liquid Chlorine (930kg / drum),1.86,2260,4203.6,August
Sungai Sireh,1/8/2022,8,2022,2022,8,D04,Flopam AH 912 PWG (25kg / bag),0.325,13800,4485,August
Sungai Sireh,1/6/2022,6,2022,2022,6,F01,Sodium Silico Fluoride (25kg / bag),0.4,3600,1440,June
Sungai Sireh,1/7/2022,7,2022,2022,7,A06,Aluminium Chlorohydrate (Bulk/Tanker),39.03,2400,93672,July
Sungai Sireh,1/7/2022,7,2022,2022,7,B02,Hydrated Lime (25kg / bag),6,450,2700,July
Sungai Sireh,1/7/2022,7,2022,2022,7,C01,Liquid Chlorine (930kg / drum),2.79,2260,6305.4,July
Sungai Sireh,1/7/2022,7,2022,2022,7,C03,Chloride of Lime Min 60% (50kg / drum),0.1,6000,600,July
Sungai Sireh,1/7/2022,7,2022,2022,7,D04,Flopam AH 912 PWG (25kg / bag),0.375,13800,5175,July
Sungai Sireh,1/5/2022,5,2022,2022,5,F01,Sodium Silico Fluoride (25kg / bag),0.425,3600,1530,May
Sungai Sireh,1/6/2022,6,2022,2022,6,A06,Aluminium Chlorohydrate (Bulk/Tanker),34.12,2400,81888,June
Sungai Sireh,1/6/2022,6,2022,2022,6,B02,Hydrated Lime (25kg / bag),6,450,2700,June
Sungai Sireh,1/6/2022,6,2022,2022,6,C01,Liquid Chlorine (930kg / drum),2.79,2260,6305.4,June
Sungai Sireh,1/6/2022,6,2022,2022,6,D04,Flopam AH 912 PWG (25kg / bag),0.325,13800,4485,June
Sungai Sireh,1/6/2022,6,2022,2022,6,D06,Superfloc C 591 PWG (210kg / drum),3.78,6500,24570,June
Sungai Sireh,1/4/2022,4,2022,2022,4,F01,Sodium Silico Fluoride (25kg / bag),0.375,3600,1350,April
Sungai Sireh,1/5/2022,5,2022,2022,5,A06,Aluminium Chlorohydrate (Bulk/Tanker),33.28,2400,79872,May
Sungai Sireh,1/5/2022,5,2022,2022,5,B02,Hydrated Lime (25kg / bag),6.5,450,2925,May
Sungai Sireh,1/5/2022,5,2022,2022,5,C01,Liquid Chlorine (930kg / drum),1.86,2260,4203.6,May
Sungai Sireh,1/5/2022,5,2022,2022,5,D04,Flopam AH 912 PWG (25kg / bag),0.375,13800,5175,May
Sungai Sireh,1/5/2022,5,2022,2022,5,D06,Superfloc C 591 PWG (210kg / drum),3.15,6500,20475,May
Sungai Sireh,1/3/2022,3,2022,2022,3,F01,Sodium Silico Fluoride (25kg / bag),0.4,3600,1440,March
Sungai Sireh,1/4/2022,4,2022,2022,4,A06,Aluminium Chlorohydrate (Bulk/Tanker),28.6,2400,68640,April
Sungai Sireh,1/4/2022,4,2022,2022,4,B02,Hydrated Lime (25kg / bag),5,450,2250,April
Sungai Sireh,1/4/2022,4,2022,2022,4,C01,Liquid Chlorine (930kg / drum),2.79,2260,6305.4,April
Sungai Sireh,1/4/2022,4,2022,2022,4,D04,Flopam AH 912 PWG (25kg / bag),0.275,13800,3795,April
Sungai Sireh,1/4/2022,4,2022,2022,4,D06,Superfloc C 591 PWG (210kg / drum),3.57,6500,23205,April
Sungai Sireh,1/3/2022,3,2022,2022,3,A06,Aluminium Chlorohydrate (Bulk/Tanker),35.27,2400,84648,March
Sungai Sireh,1/3/2022,3,2022,2022,3,B02,Hydrated Lime (25kg / bag),8,450,3600,March
Sungai Sireh,1/3/2022,3,2022,2022,3,C01,Liquid Chlorine (930kg / drum),2.79,2260,6305.4,March
Sungai Sireh,1/3/2022,3,2022,2022,3,C03,Chloride of Lime Min 60% (50kg / drum),0.1,6000,600,March
Sungai Sireh,1/3/2022,3,2022,2022,3,D04,Flopam AH 912 PWG (25kg / bag),0.3,13800,4140,March
Sungai Sireh,1/3/2022,3,2022,2022,3,D06,Superfloc C 591 PWG (210kg / drum),5.04,6500,32760,March
Sungai Sireh,1/2/2022,2,2022,2022,2,A06,Aluminium Chlorohydrate (Bulk/Tanker),24.62,2400,59088,February
Sungai Sireh,1/2/2022,2,2022,2022,2,B02,Hydrated Lime (25kg / bag),6.5,450,2925,February
Sungai Sireh,1/2/2022,2,2022,2022,2,C01,Liquid Chlorine (930kg / drum),2.79,2260,6305.4,February
Sungai Sireh,1/2/2022,2,2022,2022,2,D04,Flopam AH 912 PWG (25kg / bag),0.25,13800,3450,February
Sungai Sireh,1/2/2022,2,2022,2022,2,D06,Superfloc C 591 PWG (210kg / drum),4.2,6500,27300,February
Sungai Sireh,1/2/2022,2,2022,2022,2,F01,Sodium Silico Fluoride (25kg / bag),0.375,3600,1350,February
Bukit Nanas,1/1/2022,1,2022,2022,1,A01,Liquid Aluminium Sulphate (Bulk/Tanker),98.24,398,39099.52,January
Bukit Nanas,1/1/2022,1,2022,2022,1,B01,Hydrated Lime - Powder (Bulk/Tanker),22.92,388,8892.96,January
Bukit Nanas,1/1/2022,1,2022,2022,1,C01,Liquid Chlorine (930kg / drum),6.51,2260,14712.6,January
Bukit Nanas,1/1/2022,1,2022,2022,1,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,January
Bukit Nanas,1/1/2022,1,2022,2022,1,D07,Superfloc N300 PWG (25kg / bag),0.225,17000,3825,January
Bukit Nanas,1/1/2022,1,2022,2022,1,F01,Sodium Silico Fluoride (25kg / bag),2.2,3600,7920,January
Bukit Nanas,1/12/2022,12,2022,2022,12,C01,Liquid Chlorine (930kg / drum),6.51,2260,14712.6,December
Bukit Nanas,1/12/2022,12,2022,2022,12,F01,Sodium Silico Fluoride (25kg / bag),3.2,3600,11520,December
Bukit Nanas,1/12/2022,12,2022,2022,12,C03,Chloride of Lime Min 60% (50kg / drum),0.5,6000,3000,December
Bukit Nanas,1/11/2022,11,2022,2022,11,B01,Hydrated Lime - Powder (Bulk/Tanker),26.4,388,10243.2,November
Bukit Nanas,1/11/2022,11,2022,2022,11,C01,Liquid Chlorine (930kg / drum),13.02,2260,29425.2,November
Bukit Nanas,1/11/2022,11,2022,2022,11,C03,Chloride of Lime Min 60% (50kg / drum),0.35,6000,2100,November
Bukit Nanas,1/11/2022,11,2022,2022,11,F01,Sodium Silico Fluoride (25kg / bag),3.1,3600,11160,November
Bukit Nanas,1/12/2022,12,2022,2022,12,A01,Liquid Aluminium Sulphate (Bulk/Tanker),58.89,398,23438.22,December
Bukit Nanas,1/12/2022,12,2022,2022,12,B01,Hydrated Lime - Powder (Bulk/Tanker),25.6,388,9932.8,December
Bukit Nanas,1/9/2022,9,2022,2022,9,F01,Sodium Silico Fluoride (25kg / bag),2.8,3600,10080,September
Bukit Nanas,1/10/2022,10,2022,2022,10,A01,Liquid Aluminium Sulphate (Bulk/Tanker),59.18,398,23553.64,October
Bukit Nanas,1/10/2022,10,2022,2022,10,B01,Hydrated Lime - Powder (Bulk/Tanker),30.2,388,11717.6,October
Bukit Nanas,1/10/2022,10,2022,2022,10,C01,Liquid Chlorine (930kg / drum),13.02,2260,29425.2,October
Bukit Nanas,1/10/2022,10,2022,2022,10,C03,Chloride of Lime Min 60% (50kg / drum),0.15,6000,900,October
Bukit Nanas,1/10/2022,10,2022,2022,10,F01,Sodium Silico Fluoride (25kg / bag),3,3600,10800,October
Bukit Nanas,1/8/2022,8,2022,2022,8,C03,Chloride of Lime Min 60% (50kg / drum),0.3,6000,1800,August
Bukit Nanas,1/8/2022,8,2022,2022,8,F01,Sodium Silico Fluoride (25kg / bag),3,3600,10800,August
Bukit Nanas,1/9/2022,9,2022,2022,9,A01,Liquid Aluminium Sulphate (Bulk/Tanker),78.06,398,31067.88,September
Bukit Nanas,1/9/2022,9,2022,2022,9,B01,Hydrated Lime - Powder (Bulk/Tanker),28.8,388,11174.4,September
Bukit Nanas,1/9/2022,9,2022,2022,9,C01,Liquid Chlorine (930kg / drum),13.02,2260,29425.2,September
Bukit Nanas,1/9/2022,9,2022,2022,9,C03,Chloride of Lime Min 60% (50kg / drum),0.5,6000,3000,September
Bukit Nanas,1/7/2022,7,2022,2022,7,C01,Liquid Chlorine (930kg / drum),13.02,2260,29425.2,July
Bukit Nanas,1/7/2022,7,2022,2022,7,C03,Chloride of Lime Min 60% (50kg / drum),0.4,6000,2400,July
Bukit Nanas,1/7/2022,7,2022,2022,7,F01,Sodium Silico Fluoride (25kg / bag),3.1,3600,11160,July
Bukit Nanas,1/8/2022,8,2022,2022,8,A01,Liquid Aluminium Sulphate (Bulk/Tanker),58.17,398,23151.66,August
Bukit Nanas,1/8/2022,8,2022,2022,8,B01,Hydrated Lime - Powder (Bulk/Tanker),28.74,388,11151.12,August
Bukit Nanas,1/8/2022,8,2022,2022,8,C01,Liquid Chlorine (930kg / drum),13.02,2260,29425.2,August
Bukit Nanas,1/6/2022,6,2022,2022,6,B01,Hydrated Lime - Powder (Bulk/Tanker),31.12,388,12074.56,June
Bukit Nanas,1/6/2022,6,2022,2022,6,C01,Liquid Chlorine (930kg / drum),19.53,2260,44137.8,June
Bukit Nanas,1/6/2022,6,2022,2022,6,C03,Chloride of Lime Min 60% (50kg / drum),0.6,6000,3600,June
Bukit Nanas,1/6/2022,6,2022,2022,6,F01,Sodium Silico Fluoride (25kg / bag),3.2,3600,11520,June
Bukit Nanas,1/7/2022,7,2022,2022,7,A01,Liquid Aluminium Sulphate (Bulk/Tanker),59.27,398,23589.46,July
Bukit Nanas,1/7/2022,7,2022,2022,7,B01,Hydrated Lime - Powder (Bulk/Tanker),29.86,388,11585.68,July
Bukit Nanas,1/5/2022,5,2022,2022,5,B01,Hydrated Lime - Powder (Bulk/Tanker),27.52,388,10677.76,May
Bukit Nanas,1/5/2022,5,2022,2022,5,C01,Liquid Chlorine (930kg / drum),6.51,2260,14712.6,May
Bukit Nanas,1/5/2022,5,2022,2022,5,C03,Chloride of Lime Min 60% (50kg / drum),0.25,6000,1500,May
Bukit Nanas,1/5/2022,5,2022,2022,5,D07,Superfloc N300 PWG (25kg / bag),0.025,17000,425,May
Bukit Nanas,1/5/2022,5,2022,2022,5,F01,Sodium Silico Fluoride (25kg / bag),2.2,3600,7920,May
Bukit Nanas,1/6/2022,6,2022,2022,6,A01,Liquid Aluminium Sulphate (Bulk/Tanker),58.77,398,23390.46,June
Bukit Nanas,1/4/2022,4,2022,2022,4,B01,Hydrated Lime - Powder (Bulk/Tanker),24.2,388,9389.6,April
Bukit Nanas,1/4/2022,4,2022,2022,4,C01,Liquid Chlorine (930kg / drum),13.02,2260,29425.2,April
Bukit Nanas,1/4/2022,4,2022,2022,4,C03,Chloride of Lime Min 60% (50kg / drum),0.45,6000,2700,April
Bukit Nanas,1/4/2022,4,2022,2022,4,D07,Superfloc N300 PWG (25kg / bag),0.075,17000,1275,April
Bukit Nanas,1/4/2022,4,2022,2022,4,F01,Sodium Silico Fluoride (25kg / bag),2.2,3600,7920,April
Bukit Nanas,1/5/2022,5,2022,2022,5,A01,Liquid Aluminium Sulphate (Bulk/Tanker),38.64,398,15378.72,May
Bukit Nanas,1/3/2022,3,2022,2022,3,B01,Hydrated Lime - Powder (Bulk/Tanker),24.84,388,9637.92,March
