wtp,Date,Column2,Column3,Year,Month,ChemicalCode,ChemicalName,TotalMTConsumed,UnitPrice,TotalRMAmount,Column1
Sungai Tengi,1/10/2022,10,2022,2022,10,B04,Soda Ash (25kg / bag),0.9,1900,1710,October
Sungai Tengi,1/10/2022,10,2022,2022,10,C02,Liquid Chlorine (68kg / Cylinder),0.136,8400,1142.4,October
Sungai Tengi,1/10/2022,10,2022,2022,10,F02,Sodium Fluoride (25kg / bag),0.05,4800,240,October
Sungai Tengi,1/8/2022,8,2022,2022,8,B04,Soda Ash (25kg / bag),1.075,1900,2042.5,August
Sungai Tengi,1/8/2022,8,2022,2022,8,C02,Liquid Chlorine (68kg / Cylinder),0.272,8400,2284.8,August
Sungai Tengi,1/8/2022,8,2022,2022,8,F02,Sodium Fluoride (25kg / bag),0.05,4800,240,August
Sungai Tengi,1/9/2022,9,2022,2022,9,A02,Kibbled Aluminium Sulphate (50kg / bag),0.65,1200,780,September
Sungai Tengi,1/9/2022,9,2022,2022,9,B04,Soda Ash (25kg / bag),0.975,1900,1852.5,September
Sungai Tengi,1/9/2022,9,2022,2022,9,C02,Liquid Chlorine (68kg / Cylinder),0.204,8400,1713.6,September
Sungai Tengi,1/6/2022,6,2022,2022,6,F02,Sodium Fluoride (25kg / bag),0.05,4800,240,June
Sungai Tengi,1/7/2022,7,2022,2022,7,A02,Kibbled Aluminium Sulphate (50kg / bag),0.7,1200,840,July
Sungai Tengi,1/7/2022,7,2022,2022,7,B04,Soda Ash (25kg / bag),0.925,1900,1757.5,July
Sungai Tengi,1/7/2022,7,2022,2022,7,C02,Liquid Chlorine (68kg / Cylinder),0.136,8400,1142.4,July
Sungai Tengi,1/7/2022,7,2022,2022,7,F02,Sodium Fluoride (25kg / bag),0.05,4800,240,July
Sungai Tengi,1/8/2022,8,2022,2022,8,A02,Kibbled Aluminium Sulphate (50kg / bag),0.9,1200,1080,August
Sungai Tengi,1/5/2022,5,2022,2022,5,B04,Soda Ash (25kg / bag),1,1900,1900,May
Sungai Tengi,1/5/2022,5,2022,2022,5,C02,Liquid Chlorine (68kg / Cylinder),0.204,8400,1713.6,May
Sungai Tengi,1/5/2022,5,2022,2022,5,F02,Sodium Fluoride (25kg / bag),0.075,4800,360,May
Sungai Tengi,1/6/2022,6,2022,2022,6,A02,Kibbled Aluminium Sulphate (50kg / bag),0.7,1200,840,June
Sungai Tengi,1/6/2022,6,2022,2022,6,B04,Soda Ash (25kg / bag),0.975,1900,1852.5,June
Sungai Tengi,1/6/2022,6,2022,2022,6,C02,Liquid Chlorine (68kg / Cylinder),0.204,8400,1713.6,June
Sungai Tengi,1/3/2022,3,2022,2022,3,F02,Sodium Fluoride (25kg / bag),0.05,4800,240,March
Sungai Tengi,1/4/2022,4,2022,2022,4,A02,Kibbled Aluminium Sulphate (50kg / bag),0.65,1200,780,April
