,New WTP,Month,WQI
142,Rantau Panjang,31/5/2022,85.5
143,North Hummock,31/5/2022,82.8
144,Batang Kali,31/5/2022,87.6
145,Kuala Kubu Baru,31/5/2022,93.7
146,Kalumpang,31/5/2022,92.7
147,Sungai Selisek,31/5/2022,87.4
148,Sungai Dusun,31/5/2022,91.4
149,Sungai Tengi,31/5/2022,92.3
150,Wangsa Maju,31/5/2022,71.8
151,Bukit Nanas,31/5/2022,68.7
152,Sungai Batu,31/5/2022,87.1
153,Sungai Gombak,31/5/2022,92.4
154,Ampang Intake,31/5/2022,89.5
155,Sungai Rangkap,31/5/2022,95.1
156,Kepong,31/5/2022,93.2
157,Sungai Rumput,31/5/2022,90.6
158,Sungai Selangor Fasa 1,31/5/2022,79.8
159,Sungai Selangor Fasa 2 Stream C,31/5/2022,80.9
160,Sungai Selangor Fasa 3,31/5/2022,85.6
161,Rasa,31/5/2022,85.6
162,Bukit Tampoi,31/5/2022,83.4
163,Salak Tinggi,31/5/2022,72.9
164,Sungai Semenyih,31/5/2022,81.7
165,Sungai Labu,31/5/2022,80.1
166,Semenyih 2,31/5/2022,88.0
167,Labohan Dagang,31/5/2022,92.1
168,Sungai Langat,31/5/2022,94.8
169,Cheras Batu 11,31/5/2022,88.0
170,Sungai Pangsoon,31/5/2022,93.5
171,Sungai Lolo,31/5/2022,93.7
172,Sungai Serai,31/5/2022,94.8
173,Langat 2,31/5/2022,92.7
174,Intake Semantan (Langat 2),31/5/2022,88.7
175,Sungai Sireh,30/6/2022,81.7
176,Bernam River Headworks,30/6/2022,87.9
177,Rantau Panjang,30/6/2022,85.4
178,North Hummock,30/6/2022,86.1
179,Batang Kali,30/6/2022,78.6
180,Kuala Kubu Baru,30/6/2022,93.1
181,Kalumpang,30/6/2022,94.9
182,Sungai Selisek,30/6/2022,86.5
183,Sungai Dusun,30/6/2022,87.9
184,Sungai Tengi,30/6/2022,90.5
185,Wangsa Maju,30/6/2022,71.4
186,Bukit Nanas,30/6/2022,78.1
187,Sungai Batu,30/6/2022,87.2
188,Sungai Gombak,30/6/2022,92.8
189,Ampang Intake,30/6/2022,92.7
190,Sungai Rangkap,30/6/2022,93.4
191,Kepong,30/6/2022,94.5
192,Sungai Rumput,30/6/2022,93.2
193,Sungai Selangor Fasa 1,30/6/2022,87.9
194,Sungai Selangor Fasa 2 Stream C,30/6/2022,88.7
