wtp,Date,Liquid Polyaluminium Chloride (mg/L) _avg,Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L) _avg,Hydrated Lime (Post) (mg/L) _avg,Liquid Chlorine (Post) (mg/L) _avg,Sodium Silico Fluoride (mg/L) _avg,Liquid Chlorine (Pre) (mg/L) _avg,Hydrated Lime (Pre) (mg/L) _avg
Sungai Selangor Fasa 1,21/2/2021,22.38585314,0.047136706,7.760364425,4.434675323,0.759091596,1.09751622,
Sungai Selangor Fasa 1,22/2/2021,25.34563176,0.067535161,9.617439953,4.629233116,0.869662123,1.084537725,
Sungai Selangor Fasa 1,23/2/2021,21.08654256,0.046425021,12.0799871,4.428570934,0.720031849,1.110932402,
Sungai Selangor Fasa 1,24/2/2021,22.06850357,0.047138139,11.25647808,4.414585351,0.765170651,1.253685905,
Sungai Selangor Fasa 1,25/2/2021,26.36089538,0.087869651,11.9858981,4.156629164,0.782761387,1.160582786,
Sungai Selangor Fasa 1,26/2/2021,25.84549648,0.047967386,11.0331146,4.674579354,0.700152921,1.313447897,
Sungai Selangor Fasa 1,27/2/2021,22.23089892,0.048118749,9.254387291,4.260676843,0.667157678,1.229921837,
Sungai Selangor Fasa 1,28/2/2021,21.45122916,0.025,10.72215241,4.310567158,0.826368998,1.305463288,
Sungai Selangor Fasa 1,1/3/2021,25.77762253,0.044436511,11.14627688,3.742513875,0.634058428,1.17365741,
Sungai Selangor Fasa 1,2/3/2021,21.07932963,0.04391527,10.35062303,4.10385555,0.624539322,1.160807513,
Sungai Selangor Fasa 1,3/3/2021,20.95978061,0.046616798,8.032965253,4.071192059,0.662730958,1.152046311,
Sungai Selangor Fasa 1,4/3/2021,26.30728689,0.043845478,12.35356068,4.142285677,0.713302772,1.157677954,
Sungai Selangor Fasa 1,5/3/2021,27.51114201,0.066633383,13.47218152,3.855728233,0.631069393,1.06521444,
Sungai Selangor Fasa 1,6/3/2021,29.87611204,0.047208561,13.06022349,4.066498036,0.71159944,1.222816377,
Sungai Selangor Fasa 1,7/3/2021,39.00672355,0.069422411,13.12141099,3.031013423,0.675671046,1.648688773,
Sungai Selangor Fasa 1,8/3/2021,31.36322199,0.047159035,13.23180554,4.501127698,0.659949317,1.398617192,
Sungai Selangor Fasa 1,9/3/2021,28.33740234,0.042961986,8.711844828,4.105217537,0.673380855,1.058453774,
Sungai Selangor Fasa 1,10/3/2021,23.3431895,0.063521341,9.494398,3.79378,0.690980549,1.105240364,
Sungai Selangor Fasa 1,11/3/2021,25.14233091,0.062712043,13.76849602,3.566739199,0.634715521,0.94772672,
Sungai Selangor Fasa 1,12/3/2021,29.69424952,0.048021695,9.973632791,4.405650318,0.696252672,0.959738245,
Sungai Selangor Fasa 1,13/3/2021,30.9524612,0.066891625,12.28590767,4.005579129,0.633817802,1.288368398,
Sungai Selangor Fasa 1,14/3/2021,29.46424367,0.069672213,12.09144251,3.973111017,0.746571532,1.285627722,
Sungai Selangor Fasa 1,15/3/2021,30.0410538,0.049702765,10.77436093,4.596468512,0.782534401,1.497664792,
Sungai Selangor Fasa 1,16/3/2021,41.37831791,0.048415138,11.96722587,4.765463457,0.759998132,1.39435598,
Sungai Selangor Fasa 1,17/3/2021,34.34875272,0.046906112,11.96245185,5.229524311,0.603565723,1.349567924,
Sungai Selangor Fasa 1,18/3/2021,42.63420139,0.071741401,8.54987544,4.996925419,0.752479273,1.419041618,
Sungai Selangor Fasa 1,19/3/2021,31.08334635,0.048088971,9.777540922,5.255789914,0.834480928,1.384962369,
Sungai Selangor Fasa 1,20/3/2021,26.9272028,0.049132254,10.03284218,5.484094606,0.696685076,1.179174099,
Sungai Selangor Fasa 1,21/3/2021,32.29680337,0.047648825,12.43415088,5.314811871,0.649049445,1.177156888,
Sungai Selangor Fasa 1,22/3/2021,28.69224477,0.051756282,11.60198239,5.215481202,0.747460808,1.17606881,
Sungai Selangor Fasa 1,23/3/2021,26.41282429,0.048487254,12.24250423,4.621447462,0.685367195,1.163694108,
