Month,WTP (Water Treatment Plant),wtp,Liquid Aluminium Sulphate (Bulk),Kibbled Aluminium Sulphate (50kg / bag),Modified Liquid Alum (Bulk),Hydrated Lime (powder) (Bulk),Hydrated Lime (25kg / bag),Hydrated Lime (1000kg / bag),Liquid Chlorine (930kg / drum),Liquid Chlorine (68kg / Cylinder),Liquid Polyaluminium Chloride (Bulk),Liquid Polyaluminium Chloride (25kg / carboy),Flopam FO 4290 PWG (25kg / bag),Flopam FO 4190 PWG (25kg / bag),Flopam FA 920 PWG (25kg / bag),Flopam AH 912 PWG (25kg / bag),Flopam FL 4520 PWG (210kg / drum),Superfloc C 591 PWG (210kg / drum),Superfloc N300 PWG (25kg / drum),Sodium Silico Fluoride,Sodium Fluoride,Microsand (1000kg / bag),Aluminium Chlorohydrate (bulk),Potassium Permanganate (50kg / drum),Soda Ash (25kg / bag),Chloride of Lime (50kg / drum),Sodium Hypochlorite (25kg / carboy),Sodium Aluminosilicate (25kg / bag),Sodium Aluminosilicate (500kg / bag OR 100kg /bag),Sodium Hydroxide (Min 48%) (Bulk OR 25kg / carboy),Sodium Hydroxide (Min 10% - 15%) (Bulk OR 25kg / carboy),Sodium Meta Bisulphite (25kg / carboy),Citric Acid (25kg / carboy),Oxalic Acid (25kg / bag),Activated Carbon (25kg / bag),Activated Carbon (500kg / 1000kg per bag),Snowflake GHMW PWG (25kg/bag),Snowflake ROO PWG (500kg/bag),Flopam AN934 PWG (25kg/bag),Flopam AH 912 PWG (25kg / bag),Polymer Tianfloc C3080,Polymer C8030
Jan,Sungai Semenyih,Sungai Semenyih,221642.6,0,0,103507.5,0,0,222642,0,0,0,0,0,0,0,7560,0,0,41152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37597.5,0,0,0,0
Jan,Sungai Labu,Sungai Labu,0,0,0,0,0,3335.76,23473.8,0,26800.62,0,0,2000,0,0,0,0,0,4080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0
Jan,Semenyih 2,Semenyih 2,0,0,0,5017.5,0,0,37134.3,0,71567.1,0,0,0,0,0,0,0,0,6640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0
Jan,Bukit Tampoi,Bukit Tampoi New,0,0,0,0,1753.125,0,0,18496,10043.88,0,0,0,0,0,0,0,0,400,0,0,0,0,450,0,0,5865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Salak Tinggi,Salak Tinggi,0,2646,0,0,637.5,0,0,4624,0,0,0,0,0,0,0,0,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Labohan Dagang,Labohan Dagang,54017,0,0,0,0,0,21483,0,0,0,2800,0,0,0,0,0,0,2960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20740,0,0,0,1750,0,0,0
Jan,Sungai Langat,Sungai Langat,125878.8,0,0,28740,0,0,87885,0,0,0,0,0,0,0,0,0,0,12480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7120,0,0,0,0,0
Jan,Cheras Mile 11,Cheras Batu 11,0,0,17875.2,0,3293.75,0,0,20230,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0,0,0,0,0
Jan,Sungai Serai,Sungai Serai,0,0,0,0,0,0,0,0,0,112.5,0,0,0,0,0,0,0,0,225,0,0,0,45,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Sungai Pangsoon,Sungai Pangsoon,0,0,0,0,0,0,0,3468,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Sungai Lolo,Sungai Lolo - Baru,0,0,0,0,0,0,0,6936,0,0,0,0,0,0,0,0,0,0,1012.5,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Langat 2,Langat 2,0,0,0,61612.5,0,0,98630.7,0,391512,0,0,0,0,6216,0,0,0,24544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58500,0
Feb,"Bernam River Headworks
(Old & New)",Bernam River Headworks (New),18609.74,0,0,1387.5,4165,0,0,59534,0,0,0,0,3150,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Batang Kali,Batang Kali,0,4900,0,0,0,0,0,6936,0,0,0,0,0,0,0,0,0,880,0,0,0,0,11160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,Sungai Dusun,Sungai Dusun,0,343,0,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,160,0,0,0,0,1980,0,0,0,0,0,0,0,0,0,0,0,160.2,0,0,0,0,0
Feb,Sungai Selisek,Sungai Selisek,0,539,0,0,0,0,0,1734,0,0,0,0,0,0,0,0,0,0,450,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,18.51,0,0,0,0,0
Feb,Sungai Tengi,Sungai Tengi,0,588,0,0,0,0,0,1734,0,0,0,0,0,0,0,0,0,0,450,0,0,0,1485,0,0,0,0,0,0,0,0,0,0,0,160.2,0,0,0,0,0
Feb,Kalumpang,Kalumpang,0,294,0,0,0,0,0,4624,0,0,0,0,0,0,0,0,0,400,0,0,0,0,1575,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
