,wtp,Month,TotalRMAmount,Production,Unit_cost
430,Sungai Sireh,Oct-22,137169.6,465.634,29.45867355
431,Sungai Sireh,Nov-22,299880,457.055,65.61135968
432,Sungai Sireh,Dec-22,286645.2,455.279,62.96033861
433,Sungai Tengi,Jan-22,5778.6,54.112,10.67896215
434,Sungai Tengi,Feb-22,5298.6,51.278,10.33308631
435,Sungai Tengi,Mar-22,5108.6,55.213,9.252531107
436,Sungai Tengi,Apr-22,4826.1,50.249,9.604370236
437,Sungai Tengi,May-22,4753.6,51.808,9.175416924
438,Sungai Tengi,Jun-22,4646.1,46.918,9.902596019
439,Sungai Tengi,Jul-22,3979.9,53.726,7.407772773
440,Sungai Tengi,Aug-22,5647.3,52.224,10.8136106
441,Sungai Tengi,Sep-22,5126.1,48.228,10.62888778
442,Sungai Tengi,Oct-22,3752.4,49.408,7.594721503
443,Sungai Tengi,Nov-22,5537,47.209,11.7286958
444,Sungai Tengi,Dec-22,4407.4,48.955,9.002961904
445,Wangsa Maju,Jan-22,30910.676,1177.476,2.625163995
446,Wangsa Maju,Feb-22,24289.028,1072.231,2.265279403
447,Wangsa Maju,Mar-22,34818.42,1172.788,2.968858822
448,Wangsa Maju,Apr-22,29339.814,1189.428,2.46671627
449,Wangsa Maju,May-22,28190.702,1164.332,2.421191035
450,Wangsa Maju,Jun-22,23467.112,1152.036,2.037012038
451,Wangsa Maju,Jul-22,24604.43,1178.507,2.087762737
452,Wangsa Maju,Aug-22,27719.808,1178.633,2.351860842
453,Wangsa Maju,Sep-22,26133.558,1150.387,2.271718822
454,Wangsa Maju,Oct-22,28012.83,1189.303,2.355398919
455,Wangsa Maju,Nov-22,27837.794,1142.773,2.435986324
456,Wangsa Maju,Dec-22,29932.234,1179.366,2.537993634
457,Sungai Lolo - Lama,Jan-22,,1.747,
458,Sungai Buaya,Feb-22,,0,
459,Sungai Lolo - Lama,Feb-22,,1.608,
460,Sungai Buaya,Mar-22,,0,
461,Sungai Lolo - Lama,Mar-22,,1.865,
462,Sungai Buaya,Apr-22,,0,
463,Sungai Lolo - Lama,Apr-22,,2.599,
464,Sungai Buaya,May-22,,0,
465,Sungai Lolo - Lama,May-22,,2.758,
466,Sungai Buaya,Jun-22,,0,
467,Sungai Lolo - Lama,Jun-22,,2.694,
468,Sungai Buaya,Jul-22,,0,
469,Sungai Lolo - Lama,Jul-22,,2.834,
470,Sungai Buaya,Aug-22,,0,
471,Sungai Lolo - Lama,Aug-22,,2.286,
472,Sungai Buaya,Sep-22,,0,
473,Sungai Lolo - Lama,Sep-22,,2.052,
474,Sungai Buaya,Oct-22,,0,
475,Sungai Lolo - Lama,Oct-22,,2.088,
476,Sungai Buaya,Nov-22,,0,
477,Sungai Lolo - Lama,Nov-22,,1.984,
478,Sungai Buaya,Dec-22,,0,
479,Sungai Lolo - Lama,Dec-22,,2.127,
