,pH_avg_chpctm,Turbidity_avg_chpctm,Color_avg_chpctm,Iron_avg_chpctm,Ammonia_avg_chpctm,Manganese_avg_chpctm,Disinfectant_chpctm,Flouridation_chpctm,pH Adjuster_chpctm,Coagulant_chpctm,Date,wtp,pH_avg,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Disinfectant,Coagulant,Flouridation,pH Adjuster
2195,-1.3888888888889002,-40.02890173410405,15.479876160990713,1.7241379310344844,-23.076923076923077,-33.33333333333333,-7.142857142857134,-11.428571428571423,-47.82608695652174,-13.64902506963788,2021-07-16,Sungai Semenyih,6.39,41.5,14.92,1.18,0.1,0.02,5.2,31.0,0.31,12.0
2196,-1.0802469135802513,-51.401734104046234,-23.219814241486066,9.482758620689664,-15.384615384615389,-33.33333333333333,-1.7857142857142794,-2.857142857142844,-47.82608695652174,-15.598885793871862,2021-07-17,Sungai Semenyih,6.41,33.63,9.92,1.27,0.11,0.02,5.5,30.3,0.34,12.0
2197,-1.5432098765432178,-45.85260115606937,-16.176470588235293,6.896551724137938,0.0,-33.33333333333333,-5.357142857142854,-5.714285714285704,-47.82608695652174,-15.041782729805012,2021-07-18,Sungai Semenyih,6.38,37.47,10.83,1.24,0.13,0.02,5.3,30.5,0.33,12.0
2198,-1.6975308641975357,-53.78612716763005,2.554179566563468,2.5862068965517264,-7.692307692307699,-66.66666666666666,0.0,-8.571428571428562,-4.3478260869565215,-12.534818941504177,2021-07-19,Sungai Semenyih,6.37,31.98,13.25,1.19,0.12,0.01,5.6,31.4,0.32,22.0
2199,-3.0864197530864224,-61.47398843930636,-4.566563467492259,0.8620689655172422,-15.384615384615389,-33.33333333333333,0.0,-19.999999999999986,-4.3478260869565215,-12.534818941504177,2021-07-20,Sungai Semenyih,6.28,26.66,12.33,1.17,0.11,0.02,5.6,31.4,0.28,22.0
2200,-2.469135802469138,-62.10982658959537,9.674922600619196,9.482758620689664,-30.769230769230777,-33.33333333333333,0.0,-11.428571428571423,8.695652173913043,-12.534818941504177,2021-07-21,Sungai Semenyih,6.32,26.22,14.17,1.27,0.09,0.02,5.6,31.4,0.31,25.0
2201,-2.006172839506185,-53.121387283237,-7.120743034055726,7.75862068965518,-23.076923076923077,-33.33333333333333,1.7857142857142954,2.85714285714286,-26.08695652173913,-11.97771587743732,2021-07-22,Sungai Semenyih,6.35,32.44,12.0,1.25,0.1,0.02,5.7,31.6,0.36,17.0
2202,-2.1604938271605025,-57.76011560693641,-30.340557275541798,2.5862068965517264,-15.384615384615389,-33.33333333333333,3.5714285714285747,2.85714285714286,-30.434782608695656,-13.370473537604449,2021-07-23,Sungai Semenyih,6.34,29.23,9.0,1.19,0.11,0.02,5.8,31.1,0.36,16.0
2203,-2.469135802469138,-62.442196531791915,25.15479876160992,3.448275862068969,-38.46153846153847,0.0,3.5714285714285747,-5.714285714285704,-30.434782608695656,-13.09192200557103,2021-07-24,Sungai Semenyih,6.32,25.99,16.17,1.2,0.08,0.03,5.8,31.2,0.33,16.0
2204,-2.777777777777787,-64.29190751445087,31.57894736842105,10.344827586206906,-38.46153846153847,-33.33333333333333,5.35714285714287,-28.571428571428566,-30.434782608695656,-13.64902506963788,2021-07-25,Sungai Semenyih,6.3,24.71,17.0,1.28,0.08,0.02,5.9,31.0,0.25,16.0
